sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
16002396,132,139,winampi,adit,"kui sonique korralikult töötaks , siis isegi kasutaks , aga viskab pidevalt erroreid ette ja jookseb kinni ... niiet kasutan ikkagi winampi",obj,"adit,com,sg"
561618,20,25,Marti,adit,"Kurjategijad peksid Marti , sidusid ta auto taha kinni ja vedasid ringi .",obj,"adit,com,sg"
14303916,29,35,klassi,adit,"Ühiskondlik suhtumine soosib klassi , mis on fiktsioon , elustiili , mida saab endale lubada vaid üliõhuke kiht .",obj,"adit,com,sg"
3749975,6,11,turgu,adit,Tartu turgu mõjutavad tudengid,obj,"adit,com,sg"
14391545,54,69,tollimaksumäära,adit,"- alates 1. märtsist 1986 kohaldab Portugali Vabariik tollimaksumäära , mille puhul baasmäära ja ühise tollitariifistiku määra vahelist erinevust on vähendatud 12,5% ;",obj,"adit,com,sg"
11321146,80,91,muinasjuttu,adit,"Kui minnakse Eesti iseseisvuse teistsuguse tõlgendamise teed , meenutab tulemus muinasjuttu keisri uutest rõivastest : kiidame keisri uhket rüüd , et meid lolliks või oma ametisse sobimatuks ei peetaks , kuigi näeme , et keiser on alasti .",obj,"adit,com,sg"
16562107,11,22,kaotushirmu,adit,"Seekord ma kaotushirmu ei tundnud , väitis Klandorf .",obj,"adit,com,sg"
2661094,51,59,igavikku,adit,"Loovuse ja joovuse võimas kombinatsioon , mille on igavikku tõstnud ka Eesti riiklik kultuurirahastamissüsteem .",obj,"adit,com,sg"
11791457,47,56,protsessi,adit,"Eelmise aasta lõpul üritasid Harrisonid veenda protsessi juhtinud kohtunikku , et neile öeldaks , millal skisofreeniat põdev Abram kavatsetakse vabadusse lasta .",obj,"adit,com,sg"
2963779,63,68,kohta,,""" Tahtsime ise koolitama hakata ja otsisime juba isegi selleks kohta , kui linnaosa ja ettevõtted tulid heale mõttele avada uuesti Kopli ametikool .",obj,post
12676729,46,55,leeklampi,adit,"Ehitusmehed väitsid Nädalisele , et kasutasid leeklampi viimati pühapäeval kella viie ajal .",obj,"adit,com,sg"
15839124,14,19,riski,,"Täna me oleme riski jaganud niimoodi , et riik on võtnud enda peale ressursiriski ja pank on võtnud enda peale intressiriski ( seesama 5% ) kandmise , mida ta küll laenulepingus on üsna osavasti teinud sisuliselt riskivabaks , kuna ta võtab kohe semestrilaenu väljaandmisel selle enda kätte .",obj,"aux,indic,neg,pres,ps"
13984003,45,51,kõnele,,"Paljud ütlevad , et ta ei vasta enam ühelegi kõnele .",obj,"af,imper,mod,pres,ps,ps2,sg"
19173754,76,82,teksti,adit,"Teiselt poolt muidugi puhtjuriidiliselt on küsimus selles , et juriidilisse teksti me toome mõisted , mis vajaksid omakorda defineerimist , olgu või mõisted “ labane ” ja “ pealetükkiv ” , millel ju legaaldefinitsioon samuti puudub .",obj,"adit,com,sg"
1850676,15,19,ahju,adit,"Maaroos näitab ahju , milles haruldased kristallid saadakse .",obj,"adit,com,sg"
9350087,198,216,kasumipotentsiaali,adit,"Liigseks optimismiks Vene naftasektoris siiski põhjust ei ole , sest oletatavasti kogu aastaks eelmise aasta keskmisest tunduvalt madalamaks jääv nafta hind vähendab tunduvalt Venemaa naftatootjate kasumipotentsiaali .",obj,"adit,com,sg"
10309203,8,18,aastakäiku,adit,"Vaadake aastakäiku , vaadake tootjamaad !",obj,"adit,com,sg"
17089869,35,42,võlusid,,"Ka Tea Oll kiidab Porvoo vanalinna võlusid , ehkki teab , et vanad majad on vanad vaid väljast : sees sahiseb duššidest soe vesi ja kiiskavad eurovalged seinad .",obj,"af,aux,impf,indic,pl,ps,ps3"
2237325,102,107,villa,adit,"Politsei otsis rahapesujuurdlusega seoses kolmapäeval läbi terrorimahitaja Osama bin Ladeni poolvenna villa Prantsuse Rivieras , vahendab BNS .",obj,"adit,com,sg"
12349089,87,96,põnevikku,adit,"Nelonen näitab kell 21 . 00 Paul Verhoeveni tempokat ja rohkete visuaalsete efektidega põnevikku "" Robocop "" ( 1987 ) .",obj,"adit,com,sg"
10937086,67,72,riski,,"“ Praegu ei hinda Eesti tehingu ärajäämisega kaasnevat poliitilist riski eriti kõrgeks , et selle nimel kahjulikke otsuseid teha .",obj,"aux,imper,neg,pres,ps,ps2,sg"
54872,51,61,vastuhakku,adit,Peaaegu et mässu mõõtmed omandanud KRPI seltskonna vastuhakku Noorsooteatri ehitamisele Tallinna vanalinna juhtis Jaan Tamm .,obj,"adit,com,sg"
1980256,15,19,EMSi,adit,"Telefon toetab EMSi , on kerge ja väike ning konkurentsivõimelise hinnaga , täpset hinda Sony Ericsson ei teatanud .",obj,"adit,nominal,sg"
14894341,7,12,kirja,adit,"loe mu kirja uuesti ja ilkumine on kohatu ... fakt ei ole faktina midagi väärt , lihtsalt , kuna ta juhtub olema fakt ... ju nou",obj,"adit,com,sg"
15827738,63,68,RAMMU,adit,"TÜKK HULLEM , KUI ÄRA JÄÄB EUROPULM , SEE VÕTAB TEILT VIIMSEGI RAMMU .",obj,"adit,com,sg"
