sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
12343252,0,6,Õnneks,nom,Õnneks ei määra minu maitse ETV programmi koostamist .,advmod,"nom,prop,sg"
6370604,0,4,Sama,nom,Sama üritasid teha ka Saksamaa sotsiaaldemokraadid .,advmod,"nom,sg"
9105177,0,6,Õnneks,nom,Õnneks ei saa kahtlused alati kinnitust .,advmod,"nom,prop,sg"
5542582,68,72,sama,nom,"Seejuures on mõlemad parteid kindlad , et Kosovo peab iseseisvuma , sama nõuab ka UCK varasema välikomandöri Ramush Haradinaj juhitav Kosovo Tuleviku Allianss .",advmod,"nom,sg"
18004321,0,6,Õnneks,nom,Õnneks ei saa arvutigurust kunagi üldrahvalikku kangelast .,advmod,"nom,prop,sg"
5640330,90,94,sama,gen,Tallinna Mustamäe haigla närvihaiguste kliiniku ravijuht professor Rein Zupping tunnistas sama : ega viimastest ravialustest enam õiget inimest saa .,advmod,"gen,sg"
16897356,21,25,sama,nom,"seebikarp ei tähenda sama mis näiteks « JUUST ! » , see tähendab et tegu on live preview kompaktkaameraga mis EI ole digipeegel .",advmod,"nom,sg"
3547010,0,6,Õnneks,nom,Õnneks ei andnud see tunda koondise mängus .,advmod,"nom,prop,sg"
10681145,89,93,sama,nom,"See on probleem kõikidele moodsatele parlamentidele , igal pool kurdab rahvas tavaliselt sama , et nad ei käi kohal , kuna nad ei istu oma toolidel , ” seletas Kelam .",advmod,"nom,sg"
10568945,0,4,Sama,nom,"Sama lubas Kert teha ka tänavu jaanuaris , kui SL-is hakkas ilmuma Jüri Kadaku “ Mängusõda ” .",advmod,"nom,sg"
13711388,10,14,sama,nom,Nüüd usub sama ka suusatamise sünnimaa rahvas .,advmod,"nom,sg"
13892496,43,47,sama,nom,"Hetk hiljem selgub , et jõgi voolab siiski sama pidi kui enne .",advmod,"nom,sg"
15389642,50,54,sama,nom,"to Hui Nuaar , pole midagi , oleksin eile Kyllile sama tahtnud öelda Aga muidugi pole kena kasutada teiste aliasi ja nickname / oleme leppinud ?? / Andestus soku poolt täielik !",advmod,"nom,sg"
17237568,56,60,sama,nom,Jüri Kruus : “ Balletis tähendab Helmi Puur eestlastele sama mis Lydia Koidula lüürikas . ”,advmod,"nom,sg"
2855039,0,4,Sama,nom,"Sama on nad püüdnud ka Eestis saavutada , kuid seda on samuti suudetud seni kõrvale tõrjuda .",advmod,"nom,sg"
2425782,54,58,sama,gen,Samas on ajatariifid ehk ootetasu pea kõigil firmadel sama ning odavatel firmadel lisaks öised või nn linnast välja tariifid ja Grossi sõnul peitubki siin lõks .,advmod,"gen,sg"
20796837,36,40,sama,gen,Hoochi_Mama: ma vaatan et seis ikka sama,advmod,"gen,sg"
5312429,34,38,sama,nom,Eestlased on välismaalaste suhtes sama sallivad nagu enamiku teiste riikide teismelised .,advmod,"nom,sg"
9183632,0,6,Õnneks,nom,Õnneks andis .,advmod,"nom,prop,sg"
14862112,226,230,sama,gen,"S. t . et sõber käis stuudios , mängis süntekaga mingi asja sisse ja pärast tuli koju , võttis sünteka , pani peale TÄPSELT SAMA , mitte sarnase , kordan TÄPSELT SAMA programmi , mida ta ise kasutas stuudios ja mängis täpselt sama moodi , kui ta mängis stuudios ?",advmod,"gen,sg"
7712903,30,34,sama,nom,"Toyota T Sport tähendab umbes sama mis Mercedesel AMG-variandid , BMW-l M-autod või Audil S-mudelid .",advmod,"nom,sg"
3619335,0,4,Sama,nom,"Sama kutsus ta tegema ka valitsuse liikmeid , tööstureid , pankureid , ettevõtjaid ja poliitikuid .",advmod,"nom,sg"
10004953,35,39,sama,nom,"Tema kaalu arvestades tähendab see sama , kui saada Mercedese ostmisel viis krooni hinnaalandust . ”",advmod,"nom,sg"
13651722,0,6,Õnneks,nom,Õnneks annab arvutiga häält madalamaks teha . ”,advmod,"nom,prop,sg"
15889489,50,54,sama,nom,"Soomlaste maitse peaks olema eestlaste omaga üsna sama tahtsime ju kunagi , nagu sajakrooniselt lugeda , sildagi üle lahe ehitada .",advmod,"nom,sg"
