text,id,label,review,annotator,annotation_id,created_at,updated_at,lead_time
"Enne esimesi öökülmi saab seal veel imetleda roosiõite lopsakust ja nuusutada õrna , suviselt magusat lillelõhna .",5000,"[{""start"": 0, ""end"": 20, ""text"": ""Enne esimesi öökülmi"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1,2365,2023-01-02T11:24:32.725421Z,2023-01-02T11:24:32.725481Z,7.408
""" Ilmselt pole inimesed veel uue peatuskohaga harjunud ning see vajab põhjalikumat sissetöötamist , "" ütles ta .",4999,"[{""start"": 29, ""end"": 45, ""text"": ""uue peatuskohaga"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2364,2023-01-02T11:24:23.443644Z,2023-01-02T11:24:23.443700Z,7.596
Eesti tarbijahinnaindeksi maikuu kasv oli Balti riikide suurim .,4998,"[{""start"": 42, ""end"": 55, ""text"": ""Balti riikide"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2363,2023-01-02T11:24:14.467040Z,2023-01-02T11:24:14.467105Z,5.41
Eesti dünaamiline majandusareng jätkub ka 1998. aastal .,4997,"[{""start"": 39, ""end"": 54, ""text"": ""ka 1998. aastal"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2362,2023-01-02T11:24:07.746715Z,2023-01-02T11:24:07.746774Z,3.944
""" Võin suurvõistlusele üsna julgelt vastu minna .",4996,"[{""start"": 7, ""end"": 22, ""text"": ""suurvõistlusele"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2361,2023-01-02T11:24:02.367113Z,2023-01-02T11:24:02.367165Z,3.273
Pronksikohtumiseks on isegi raskem häälestuda kui esikohamatshiks .,4995,"[{""start"": 0, ""end"": 18, ""text"": ""Pronksikohtumiseks"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1,2360,2023-01-02T11:23:57.757146Z,2023-01-02T11:23:57.757221Z,8.654
Pertelson meenutab sooja tundega tänavuse EMi absoluutkaalu pronksimatshi .,4994,"[{""start"": 19, ""end"": 32, ""text"": ""sooja tundega"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2359,2023-01-02T11:23:47.682811Z,2023-01-02T11:23:47.682874Z,5.972
Elasin nii nagu professionaalsele sportlasele kohane .,4993,"[{""start"": 16, ""end"": 45, ""text"": ""professionaalsele sportlasele"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2358,2023-01-02T11:23:39.178917Z,2023-01-02T11:23:39.178982Z,8.113
""" Pärast Atlanta olümpiamänge sai trenni pisut kergemalt võetud , "" arutleb ta .",4992,"[{""start"": 2, ""end"": 29, ""text"": ""Pärast Atlanta olümpiamänge"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1,2357,2023-01-02T11:23:29.587574Z,2023-01-02T11:23:29.587672Z,5.202
"Poolas sain tugeva õlatrauma , aeg-ajalt andis tunda mullune seljavigastus . """,4991,"[{""start"": 0, ""end"": 6, ""text"": ""Poolas"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2356,2023-01-02T11:23:22.503813Z,2023-01-02T11:23:22.503865Z,5.866
"Paraku jõudis tüdruk ikkagi Kaagvere erikooli , lisab Paddar .",4990,"[{""start"": 28, ""end"": 45, ""text"": ""Kaagvere erikooli"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1,2355,2023-01-02T11:23:15.147565Z,2023-01-02T11:23:15.147617Z,5.413
"Vanaema hinnangul peaks ka ema ise aru saama , et nii on õige .",4989,"[{""start"": 0, ""end"": 17, ""text"": ""Vanaema hinnangul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1,2354,2023-01-02T11:23:08.472442Z,2023-01-02T11:23:08.472496Z,6.491
"Vanaema on veendunud , et Karinat ei tohi emale kasvatada anda .",4988,"[{""start"": 42, ""end"": 47, ""text"": ""emale"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1,2353,2023-01-02T11:23:00.639453Z,2023-01-02T11:23:00.639504Z,7.785
""" Oota , Karinake , "" püüab vanaema Klavdia elavaloomulist last intervjuu ajaks ohjeldada .",4987,"[{""start"": 64, ""end"": 79, ""text"": ""intervjuu ajaks"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2352,2023-01-02T11:22:50.334036Z,2023-01-02T11:22:50.334093Z,8.052
""" Medio Perez valmistub sööduks nii kaua , et saadab lööjale esmalt teatise : "" Lähetus saabub õige pea . """,4986,"[{""start"": 53, ""end"": 60, ""text"": ""lööjale"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2351,2023-01-02T11:22:40.787492Z,2023-01-02T11:22:40.787544Z,12.623
""" Võta hamburgerid tagataskutest välja ! """,4985,"[{""start"": 19, ""end"": 32, ""text"": ""tagataskutest"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2350,2023-01-02T11:22:26.513392Z,2023-01-02T11:22:26.513440Z,5.752
""" Hei , Puhvetikapp ! "" hüüdis fänn kord tribüünilt .",4984,"[{""start"": 41, ""end"": 51, ""text"": ""tribüünilt"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2349,2023-01-02T11:22:19.352323Z,2023-01-02T11:22:19.352375Z,3.85
"Kui homme taas midagi säärast juhtub , taon nad kurikaga pehmeks .",4983,"[{""start"": 48, ""end"": 56, ""text"": ""kurikaga"", ""labels"": [""syntax_ignore_entity_obl""]}]",free,1,2348,2023-01-02T11:22:14.028165Z,2023-01-02T11:22:14.028236Z,4.686
