head_id|form|lemma|verb|verb_compound|morph_case|sentence|sentence_id|timex_tag|ekilex_tag|ner_tag
4379163|Moskvas|Moskva|süttima||in|Moskvas süttis põlema juhtimisinstituut , hukkunud on 6 inimest ja haiglaravi vajab veel 35.|2729940||location|LOC
1374086|Suzhous|Suzhou|arenema||in|"Telemees veendus oma silmaga , et siiditööstus on Suzhous arenenud kuni tänaseni : "" Sealses Siidiinstituudis asuvas töökojas tehakse uskumatut tööd ."|862982||location|LOC
1620478|kuus|kuu|kogunema||in|Viimasel veerandajal kogunes neid Magicule kuus ja lisaajal kaks .|1017872|||
11509956|regedele|regi|ronima||all|Aga need kui need Esä poolt armastuse ja hoolega tehtud lumelauad ilusa kollase leegiga põlema lõid , meile kõigile veel pisku sooja pakkudes , enne kui me oma külmadele regedele ronime , viirastus mulle veel korra me mäeküljetare , kuidas see põles – ja ma mõtlesin , et kas saan veel kunagi tagasi sellesse kohta , kus see oli seisnud , ja ka üles mäekuplile endale ning kas siis on veel seal kidurate kadakate ringis alles Peko tammepuust kuju .|7155623|||
28045293|piiritusse|piiritus|panema||adit|loomaporno 1 : panen tallele loomaporno 2 : olin tõhus loomaporno 3 : olin sõprade seas loomaporno 4 : sain sealt võimlaporno : panin kitse hamstriporno : panin põske linnuporno : panin tihasele pekki astroporno : panin tähele naljamaia taimetoitlasest elektrikuporno : panin pirni tiigiporno suurte elukatega : panin konna piiritusse botaanikaporno : panin juurde köögiviljaporno : panin peeti hiinlase kriminaalporno : bhandi mindi wangi äiaporno : panin tütre mehele äiuporno : panin tütre magama koduarestis tüübi porno : panin ukse lukku läbipüksteporno : panin su luku taha tubliporno : hästi paneb !|18521383|||
26914868|asulas|asula|ravima||in|Virtsu velsker Elvi Leit , kes on asulas 37 aastat haigeid ravinud , ei tööta .|17559432||location|
17149605|Brisbane'is|Brisbane|pidama||in|15 PÄEVA Peab Brisbane'is esimese kontrollvõistluse .|10701934||location|LOC
834595|Kadrinas|Kadrina|süttima||in|Lääne-Virumaal Kadrinas süttis ööl vastu laupäeva kaubarongi vedur , inimesed tulekahjus vigastada ei saanud .|529425||location|LOC
3703583|finantssüsteemi|finantssüsteem|tooma||adit|Septembrirünnak tõi rahvusvahelisse finantssüsteemi terrorismivastase võitluse näol mitmeid olulisi muutusi , eesmärgiks takistada kuritegelike aktsioonide rahastamist .|2313169|||
18287384|NBA-sse|NBA|olema||ill|NBA-sse on siirdumas teinegi varem draftis valitud jugoslaavlane .|11411601||location|
12386881|Albaaniast|Albaania|emigreeruma||el|1990. aastal Albaaniast Kreekasse emigreerunud Sabanisele ( isa albaanlane , ema kreeklanna - toim. ) oli olümpiakullast ilmajäämine justkui külm dushsh .|7726023||location|LOC
16494662|regulaareelarvesse|regulaareelarve|andma||ill|Vaatamata sellele , et 111 riiki on maailmaorganisatsiooni regulaareelarvesse oma panuse andnud , on ÜRO endiselt suures rahahädas .|10278045|||
2631273|Moskvast|Moskva|olema|ära|el|"Näiteks on tema see , kes asendab Sergei Kirijenkot , kui too on Moskvast ära , "" öeldakse avalduses ."|1653340||location|LOC
18634139|ootesaali|ootesaal|mahtuma|ära|adit|Nende täpset arvu ei taha Eesti Pank turvakaalutlustel avaldada , ent kindlasti mahuks kogu see raha ära Balti jaama suurde ootesaali .|11641014||location|
15097739|lüürikas|lüürika|jälgima||in|Eestlased tegelesid valdavalt spetsiifilisemate küsimustega :  Õnne Kepp  jälgis metsamõtet eesti lüürikas .|9402199|||
18347283|loosse|loog|ootama||ill|""" Ootasime loosse selgust ."|11451978|||
9258288|Estonias|Estonia|valitsema||in|Estonias on aastakümneid valitsenud teatud traditsioonid - virisemata töötamine , edasipüüdlikkus ning uute ideede rakendamine .|5771048|||
216295|laoruumis|laoruum|lõhkema||in|Variant kaks : laoruumis lõhkes toru ja pool kaupa kahjustus .|129134|||
197245|Lungus|Lungu|olema||in|Ometi on Lungus midagi muutumas .|117322||location|LOC
23216459|Raekööki|raeköök|külastama||adit|Raekööki külastanud politsei ei saanud restoraniperelt ühtegi kaebust , et neid oleks ahistatud .|14737349|||
6236542|tammilt|tamm|kukkuma||abl|Kaks umbes 60-aastast meest kukkusid vette Kristianstadi lähedal Östana vana paberivabriku tammilt .|3871962|||
8072705|Newarkist|Newark|suunduma||el|Uudistekanal CNN on pannud kokku Newarkist San Franciscosse suundunud lennukis hukkunute omaste meenutused telefonikõnedest , millest selgub , kuidas võisid areneda sündmused lennuki kaaperdamisest kuni alla kukkumiseni Pennsylvanias .|5029573||location|ORG
5136007|Chicagosse|Chicago|kerkima||ill|Chicago linnaplaneerimisosakond on uue torni suhtes oma entusiasmi avalikult näidanud , nii et on väga tõenäoline , et peagi kerkib Chicagosse terve USA kõrgeim ehitis .|3197711||location|LOC
13140039|muusikamaailmast|muusikamaailm|kostma||el|Seevastu moodsaid heliloojaid õpetasid konservatooriumis teenekad ja heatahtlikud õppejõud , igatahes muusikamaailmast suuremat lahingukära ei kostnud .|8186437|||
689011|kantslisse|kantsel|ronima||ill|Inglise vikaar ronis kantslisse Tähesõdade lurjuseks Darth Vaderiks maskeerununa , lootes nõnda meelitada kirikusse suurema koguduse .|440583|||
8504577|Puuviljakorvis|puuviljakorv|ilutsema||in|Puuviljakorvis ilutsevad seni nägemata viljad - valged ja sirged banaanid .|5301035|||
45726|rivist|rivi|olema|ära|el|Migreenikute elu on selline , et kui hoog tuleb võimsalt , siis oled ikka mitu aega rivist nii ära , et ei talu ei valgust ega heli .|26514|||
14216897|lõppfaasis|lõppfaas|vastutama||in|Kui kunstiline juht ja direktor on ühes isikus nagu mina praegu , sellist asja olla ei saa , sest lõppfaasis vastutan ka teatri raha eest ikkagi mina .|8849487|||
14923304|taskusse|tasku|jääma|alles|ill|Et linnas liikudes peksa ei saaks ja raha taskusse alles jääks .|9289566|||
3458361|Kundas|Kunda|juhtuma||in|Enam ei piisa ka paari kohaliku hääletõstja välismaale viimisest , nagu juhtus Kundas .|2164636||location|LOC
7421472|nädalasse|nädal|lubama||ill|Nädalast nädalasse on linnavolikogu esimees lubanud anda väetisemüügi kohta täiendavat informatsiooni , kuid pole mitmesugustel põhjustel seda teinud .|4617643|||
19373096|Kaug-Idas|Kaug-Ida|ründama||in|Venemaal Kaug-Idas ründas karu matkajate laagrit ja kiskus ühe turisti tükkideks .|12101526||location|
13753579|tänavasse|tänav|nägema||ill|Poodi sisenenu jooksis välja ja nägi kolme meest põgenemas mööda Kartuli tänavat Oa tänavasse .|8580186||location|
14417753|üliõpilasnädalasse|üliõpilasnädal|olema|vaja|ill|Milleks on vaja üliõpilasnädalasse pidusid Tartu ööklubides ?|8967906|||
17156458|restoranis|restoran|lindistama||in|Tunnised või veidi pikemad vestlussaated lindistas endise Mosfilmi osakonnast loodud erafirma linna ühes nooblimas restoranis Praha .|10706248||location|
5847051|kirikukohtusse|kirikukohus|andma||ill|Võrumaa praost Andres Mäevere andis Karma kirikukohtusse , sest too oli esitanud konsistooriumi kaebusi teiste kirikutöötajate peale .|3630769|||ORG
2741638|Tartus|Tartu|röövima||in|Tartu kriminaalpolitsei vahistas eile 21-aastase vene rahvusest Mihhaili , kes röövis eelmisel kolmapäeval Tartus Tallinna Panga kohalikust filiaalist 25 906 krooni .|1722330||location|LOC
12770290|reielihases|reielihas|rippuma||in|Ja ta haavatud reielihases rippus nagu sinna hammastega klammerdunud kiskja .|7964934|||
5100544|Kagu-Türgis|Kagu-Türk|ründama||in|DIYARBAKIR , 28. oktoober ( Reuters-EPLO ) - Kurdimässulised ründasid kolmapäeva õhtul Kagu-Türgis riigi sõjaväekonvoid , vähemalt üks sõdur sai surma ja kolm viga .|3176151|||LOC
7348008|Astrahanis|Astrahan|sündima||in|Eugen Kapp sündis Artur Kapi poja ja Joosep Kapi pojapojana 1908. aastal Astrahanis .|4571542||location|LOC
17575927|kivihunnikust|kivihunnik|avastama||el|Tartumaal Lammiku-Muuge külas tõid poisid koju käsigranaadi RGD-40 ning kohale kutsutud päästeameti töötajad avastasid külas kivihunnikust ka poiste poolt peidetud 75-millimeetrise soomustläbistava suurtükimürsu .|10973413|||
13578003|Tartus|Tartu|lõbutsema||in|27. novembril lõbutses Veiko Reinmägi koos sõbraga Tartus .|8471350||location|LOC
