sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_abstract,is_alive,is_time,is_event
9696585,15560703,25,visandama,,el,aeg,ajast,"Pühajärve kaitsjate poolt korruptsioonis süüdistatud keskkonnaministeeriumi ametnik Tiina Tallinn nõustas ärimeeste majaehitust Pühajärve äärde Põlend-Kolgale kui riigiametnik , majade paiknemise visandas arhitektina oma vabast ajast .",,,,no,"The phrase 'ajast' refers to time rather than place, so it was classified as 'no' for adverbial of place.",no,no,no,no
13266119,21224811,7,viima,,in,inimrööv,inimröövis,"Lugu , mis viis Winnie süüdimõistmiseni inimröövis .",,,,no,"The phrase 'inimröövis' specifies the type of crime rather than a physical location, so it is not adverbial of place.",no,no,no,yes
2076950,3314189,11,hoidma,,in,alatoitlus,alatoitluses,"See on olukord , mis hoiab suure hulga eesti lapsi alatoitluses , rääkimata täiskasvanutest .",,,,no,"The phrase 'alatoitluses' describes a condition or state rather than a physical location, so it is not adverbial of place.",no,no,no,no
9061330,14569548,9,ennustama,,all,ajakiri,ajakirjale,Keskkooli direktor Tõnu Valdma ennustas seda juba mullu ajakirjale Luup antud intervjuus .,,,,no,"The phrase 'ajakirjale' indicates a recipient of the action rather than a physical location, so it is not adverbial of place.",no,no,no,no
12674224,20279032,5,kehtima,,ad,lõppemine,lõppemisel,Kooli lõpetamise või töösuhte lõppemisel kehtib täiskasvanute ravikindlustus kaks kuud pärast kooli või töötamise lõpetamist .,,,,no,"The phrase 'lõppemisel' refers to the time of the end of something rather than indicating a specific place, so it is not an adverbial of place.",no,no,no,yes
6340453,10188183,14,kontrollima,,el,kapitalimaht,kapitalimahust,"Arreteeritud Platon Lebedev juhib Jukose finantskeskuseks olevat gruppi Menatep , mis kontrollib Jukose kapitalimahust 61 protsenti moodustavat eraomanike vara .",,,,no,"The phrase 'kapitalimahust' refers to a proportion of capital, which is not a reference to a location, hence it is not an adverbial of place.",no,no,no,no
3490887,5621274,15,vähenema,,all,650000,650 000-le,Tööga hõivatud inimeste arv on aga turumajanduslikele suhetele üleminekul vähenenud 200 000 võrra - 850 000-lt 650 000-le .,,,,no,"The phrase '650 000-le' represents a numerical value or quantity, not a location, therefore it is not an adverbial of place.",no,no,no,no
3407180,5483881,1,rippuma,,ad,üks,ühel,ühel neist ripuvad koguni õnnelike ja puhanud liikmete pildid seina peal .,,,,no,"The phrase 'ühel' refers to one of the objects but does not indicate a place, so it is not an adverbial of place.",no,no,no,no
15057347,23584955,10,rahuldama,,in,pära,päras,"b ) vastuvõtjaliikmesriigi skeem rahuldab täiendava hüvitisega seotud nõuded päras seda , kui päritoluliikmesriigi pädevad asutused on talle teatanud emmast-kummast artikli 2 lõikes 2 nimetatud otsusest .",,,,no,The phrase 'päras' signals a temporal relationship rather than indicating a specific location.,no,no,no,no
10845449,17368974,5,välistama,,all,vastutus,vastutusele,"Süüdimatus ei välista aga vastutusele võttu ning eksperdihinnangute järgi otsustades tuleb teda ravida , kinnitas süüdistaja .",,,,no,"The phrase 'vastutusele' was classified as 'no' because it refers to the concept of responsibility, not a physical or specific location.",no,no,no,yes
16773901,25813559,13,võlgnema,,all,ilmajäämine,ilmajäämisele,"kusjuures juba teist aastat võlgnen ma igasuguse tänu oma rattast/rattaosadest ilmajäämisele oma kallile boyfriendile , kes lihtsalt tõmbab kohe rattavargaid külge .",,,,no,The phrase 'ilmajäämisele' was classified as 'no' because it pertains to the concept of loss and not to a place.,no,no,no,no
8783357,14097513,19,võtma,,all,jooksva,jooksvale,Eile 80 aastat tagasi kandis Eesti Pank 10 miljoni margase põhikapitali panga pearaamatusse ning pank võttis esimese summa jooksvale arvele .,,state,,no,"The phrase 'jooksvale' describes the state or target of the action rather than specifying a location, so it is not classified as an adverbial of place.",no,no,no,no
11812642,18905396,10,panema,,abl,pakitu,pakitult,« Tegelikult panevad inimesed oma vanad katkised sukkpüksid ilusasti pakitult meie kasti .,,,,no,"The phrase 'pakitult' describes the condition or manner in which something is packed, not a physical location, so it is not classified as an adverbial of place.",no,no,no,no
5155776,8271170,24,kuulutama,välja,in,esinemine,esinemises,Kroonprints Willem-Alexanderi ( 33 ) ja blondi argentiinlanna Maxima Zorreguieta ( 30 ) kihluse kuulutas märtsi eelviimasel päeval televisioonis ja raadios üle kantud esinemises välja Hollandi kuninganna Beatrix .,,,,no,"The phrase 'esinemises' is not an adverbial of place because it refers to 'in the performance', which is a context or setting, not a physical location.",no,no,no,yes
