head_id|form|lemma|verb|verb_compound|morph_case|sentence_id|sentence|timex_tag|ekilex_tag|ner_tag
22222603|Globenisse|Globen|võtma|kaasa|ill|13959468|Kolmest korpulentsest naislauljast koosnev The Rounder Girls on Globenisse kaasa võtnud inimesesuuruse heatahtliku ja rääkiva roboti .|||ORG
19340058|plagiaadikahtluses|plagiaadikahtlus|kaevama||in|12081233|Vähe sellest , et tema müüginumbreid raske lüüa on Browni plagiaadikahtluses kohtusse kaevanud kirjanik Lewis Perdue jäi New Yorgi kohtus pika ninaga .|||
19817151|hilispronksajal|hilispronksaja|paiknema||ad|12378462|Otse Kaali peakraatri nõlval paiknes hilispronksajal , 8 . sajandil e . Kr . rajatud linnus-asula .|||
4426350|Eestis|Eesti|üürima||in|2759941|Kolm päeva enne röövi üürisid vargad saadud instruktsioonide kohaselt Eestis auto ja sõitsid sellega Münchenisse .||location|LOC
14341056|eestlastele|eestlane|valguma||all|8921549|Ei mõtle siin mitte niivõrd 1940. aastal eestlastele idast kaela valgunud tapmiste ja röövimiste laviini .||alive|
10276538|kaubanduskeskustesse|kaubanduskeskus|jooksma||ill|6393208|Kiri Portugalist : inimesed lausa jooksevad kaubanduskeskustesse .||location|
10255246|kaubakataloogist|kaubakataloog|tellima||el|6380731|Eriti kui näed , et mõni sõbralik sugulane on järelmaksuga kaubakataloogist tellinud kalli vidina , mille tarvis ta veel tükk aega peab püksirihma pingutama .|||
27789100|pagendusse|pagendus|pidama||adit|18327903|Millegipärast enamik represseeritute ühinguid ei pea neid pagendusse läinuteks , vaid peab repressioonide eest põgenejateks .||state|
5298719|Boliiviasse|Boliivia|eksportima||ill|3296151|2003. aastal eksportis Eesti Boliiviasse kaupu 281 000 krooni eest ja importis 430 000 krooni eest , peamiselt puuvilju .||location|LOC
24908439|Kõvaketast|kõvaketa|röövima||el|16021669|-> Kõvaketast röövib ca 9 giga .|||
19135753|kasukasse|kasukas|tekkima||ill|11957386|Pikakarvalist kassi tuleb sageli kammida , et tema kasukasse ei tekiks ebameeldivaid pulstunud kohti ja et ta ei saaks ennast noolides kõhtu karvapalle , mis panevad ta oksendama .|||
14715788|parlamendis|parlament|laiutama||in|9153636|Mitmed fraktsioonid on lõhki läinud , suurenenud on iseseisvate , ilma poliitilise vastutuseta saadikute hulk , nii et parlamendis laiutab soo .||location|
18319890|piiripunktidesse|piiripunkt|takistama||ill|11432977|Hetkel takistab andmebaasi lülitamist piiripunktidesse tehnika puudumine , väitis Kõuts .||location|
9276223|toolinirakasse|toolinirakas|mahtuma|ära|ill|5781486|See ei mahu mingi nõidusega ühteainumasse toolinirakasse ära !|||
8478079|Tallinnas|Tallinn|lõbutsema||in|5285207|Politseipatrull peatas laupäeval veel Tallinnas Grillfestil lõbutsenud Martin Müürsepa maasturi Range Rover pühapäeva varahommikul kell 5.55 Pärnu kesklinnas silla juures ja palus korvpallitähel alkomeetrisse puhuda .||location|LOC
9144009|Bulgaarias|Bulgaaria|andma|üle|in|5701120|Täna , 22. märtsil andis Eesti erakorraline ja täievoliline suursaadik Bulgaarias Aivo Orav üle oma volikirja president Petar Stojanovile .||location|LOC
3229209|Floridasse|Florida|olema||ill|2023315|"Tavapäraste talviste tormide asemel on ilmaennustajate teatel Mehhiko lahelt tulemas Floridasse veel ja veel jõulisi "" tapja-tornaadosid "" ."||location|LOC
7589171|Hansapanka|Hansapank|kandma||adit|4723817|90ndate keskel kandis Vene riigiraudtee Hansapanka ühele salajasele arvelevähemalt 80 miljonit krooni .|||ORG
13489277|kirjeldustesse|kirjeldus|pidama||ill|8416099|Kosmoloogias esineb nn antroopsusprintsiip , mille mõni versioon toob operaatori 'peab' ka Universumi kirjeldustesse : Universumi algtingimused peavad olema sellised , et selles võiks tekkida ja eksisteerida vaatleja .|||
8575112|kinnisvarabüroost|kinnisvarabüroo|tellima||el|5345564|Lennart Meri kavandatud Eesti Asumi asukohtadena nimetatud Vaivara , Luunja ja Ämari piirkondade kohta tellis KredEx kinnisvarabüroost Uus Maa turu-uuringu .||location|
18554637|vallamajast|vallamaja|võtma|kaasa|el|11587717|Seni tabamata kurikaelad võtsid vallamajast kaasa arvuti , kolm kuvarit , printeri , telefoni ja muusikakeskuse ning seifist 3700 krooni , teatas politseiameti pressiesindaja Sõnumilehele .||location|
