sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,classification,explanation,classification2,explanation2,timex_tag,ekilex_tag,ner_tag,is_time,is_abstract
9344322,15008647,14,tervitama,,in,ekstaas,ekstaasis,"Tahtsin lihtsalt lõpetada ja mõned punktid saada , ” tunnistas sakslane , keda ekstaasis publik autasustamispoodiumil ovatsioonide ja raketipaukudega tervitas .",no,"The word 'ekstaasis' translates to 'in ecstasy' and refers to an emotional state, not a physical location.",no,"The phrase 'ekstaasis' refers to an emotional state and does not indicate a physical location, so it is not adverbial of place.",,,,no,no
11102573,17784543,6,ravima,,in,seis,seisus,"Kaks kuud ravis perenaine armetus seisus koera , kaotamata siiski lootust .",no,The phrase 'seisus' refers to 'condition' or 'state' and does not signify a location.,no,"The phrase 'seisus' refers to a condition or state rather than a location, so it is not adverbial of place.",,,,no,no
16252383,25172405,39,minema,ära,el,koosseis,koosseisust,"Kolm näidet , mis ma oskan öelda nende kohta , kes on ise lahkunud ( peale selle on lahkujaid ka seoses struktuuri ümberkorraldamisega , ministeeriumist on ära viidud näiteks haldusbüroo ja tehtud muid niisuguseid asju , mistõttu ministeeriumi koosseisust ära läinud isikuid on rohkem ) : näiteks Tallinna linn on saanud Haridusministeeriumist personalijuhi , kes oli töötanud ministeeriumis 13 aastat ja tahtis vaheldust ; üks daam läheb meil järgmisel nädalal Islandile mehele ; üks daam on läinud arvutiõpetajaks Rocca al Mare kooli .",no,The phrase 'koosseisust' pertains to organizational structure and not a geographic location.,no,"The phrase 'koosseisust' is not adverbial of place because it refers to membership or composition, rather than specifying a location.",,,,yes,yes
15500381,24205992,12,panema,,adit,hooldeprojekt,hooldeprojekti,""" Vajaduse korral panevad Veerpalu ja loodetavasti õed Šmigunid isiklikku raha hooldeprojekti , sest kehvade suuskadega kaugele ei sõida .",no,"The phrase 'hooldeprojekti' refers to a project or initiative, not a geographic location, so it is not classified as a location.",no,"The phrase 'hooldeprojekti' was classified as 'no' because it does not indicate a location or answer the question 'where', but rather refers to a project related to care.",,,,yes,yes
18375902,27858061,22,ütlema,,ill,eelnev,eelnevasse,Mind lihtsalt huvitas kuidas Sa vastaksid .. neile kahele küsimusele ja ka sellele kolmandale mille Teekäija esitas .. tõesti sekkumata üldse eelnevasse kus mida keegi ütles - tahtsin teada lihtsalt mida Sina arvad v ütled selle kohta !,no,"The word 'eelnevasse' refers to a preceding context or matter, not a physical or geographical location.",no,"The phrase 'eelnevasse' refers to something previously mentioned or an earlier situation, not indicating a specific place.",,,,yes,yes
8099731,12997190,8,pöörama,,ill,langus,langusesse,"Pigem on see madal või pöörab sootuks langusesse . """,no,"The word 'langusesse' refers to a state or condition (decline) rather than a physical location, so it is classified as 'no'.",no,The phrase 'langusesse' describes a state or condition (decline) rather than a physical location or place.,,,,yes,yes
10060758,16137721,6,jõudma,tagasi,el,lisaraha,lisarahast,"200 miljonit ettevõtete kätte jäävast lisarahast jõuab riigile tagasi üksikisiku tulumaksuna , käibemaksuna ja aktsiisidena .",no,"The phrase 'lisarahast' refers to additional funding and does not denote a location, hence classified as 'no'.",no,"The phrase 'lisarahast' refers to additional funding or resources, not specifying a place.",,,,no,no
12633679,20215816,2,toimuma,,ill,krae,kraesse,Raudteelaste kraesse toimunud õnnetusi Rentiku sõnul siiski veeretada ei saa .,no,"The phrase 'kraesse' does not indicate a location; it metaphorically implies blame, so it was classified as 'no'.",no,"The phrase 'kraesse' does not indicate a location but rather has a figurative meaning related to blame, so it is not classified as an adverbial of place.",,,,no,no
9787399,15703680,13,maanduma,,all,ema,emale,"Mõneski kultuuris tähendab öösel nähtud liblikas surma , või kui äsja sünnitanud emale maandub ööliblikas , siis sureb laps .",no,"The phrase 'emale' refers to 'to the mother' and is related to a person, not a location, so it was classified as 'no'.",no,"The phrase 'emale' refers to a person and not a physical location, so it is not classified as an adverbial of place.",,,,no,no
2891090,4635435,3,saama,,adit,Risbiter,Risbiteri,[ Saab Risbiteri mõõga kätte .,no,The phrase 'Risbiteri' was classified as 'no' because it appears to refer to a specific object (possibly a sword) rather than a location.,no,The phrase 'Risbiteri' was not classified as an adverbial of place because it refers to a proper noun (likely a name) rather than a location or spatial context.,,,,no,no
3126437,5021032,3,põrkama,kokku,in,algus,alguses,Viimase ringi alguses põrkas Tobreluts raja lahknemiskohas sloveenlasega kokku .,no,"'alguses' refers to the timing of an event, not a specific location.",no,The phrase 'alguses' was not classified as an adverbial of place because it refers to a temporal context (the beginning) rather than a spatial one.,,,,no,no
14293818,22692055,3,laskma,,adit,Narusk,Naruski,Mae laskis Naruski üheksasekundilisse eduseisu ja alustas siis karmi tagaajamist .,no,'Naruski' is not classified as a location because it appears to refer to a person's name rather than a geographical location.,no,"The phrase 'Naruski' was classified as 'no' because it refers to a person and not a place, so it does not indicate an adverbial of place.",,,LOC,no,no
2066247,3296559,23,pagema,,adit,peit,peitu,"Valdo Lips lõi tempo alla , Ivo Saksakulm ja Chris Moore kontrollisid lauavõitlust , Indrek Varblane ja Andrus Nagel pagesid kaitse haardest peitu ja tulistasid kaugvisetega .",no,"The phrase 'peitu' was classified as 'no' because it describes a state or action of hiding, not a location.",no,The phrase 'peitu' is not classified as an adverbial of place because it indicates a movement to hide rather than specifying a precise location.,,,,no,no
11302806,18113893,34,olema,,ill,eelarve,eelarvesse,"Tallinna rahandusküsimustega tegelev abilinnapea Ants Leemets kinnitas esmaspäeva õhtul oma kabinetis “ Postimehele ” selge sõnaga , et vähemalt selleks aastaks on Nomura laenu tagasimaksmiseks linnal raha juba olemas , s.o sisse planeeritud eelarvesse , mille volikogu nii või teisiti peagi vastu võtab .",no,The phrase 'eelarvesse' refers to a budget rather than a geographical or physical location.,no,The phrase 'eelarvesse' was classified as 'no' because it indicates a target or goal (to the budget) rather than a specific place.,,,,yes,yes
9623819,15445097,16,hakkama,,ill,sisu,sisusse,"See oli aeg , kus raamatuhuviline poest kõik ilmunud uudiskirjanduse koju tassis ja alles siis sisusse hakkas süvenema .",no,"The phrase 'sisusse' refers to content or substance of something, not a physical location.",no,"The phrase 'sisusse' was classified as 'no' because it refers to delving into the substance or content, not a physical location or place.",,,,yes,yes
17186422,26387717,33,saama,,adit,Powercolor,Powercolori,"Esmalt panin monitori VGA auku ja kaasasolnud plaadilt driverid peale , pilt imelikult väike , virvendab kui krt ( vaatamata sellele , et refresh kasvõi 200Hz keerata ) Sai installit drivereid nii Powercolori kui ka ATI saidilt ( powered by ATI ) kuid ei ss-gi , ikka sama .",no,"The phrase 'Powercolori' refers to a brand or company name, not a location.",no,The word 'Powercolori' refers to a specific brand and does not indicate location or place; hence it is not an adverbial of place.,,,PER,no,no
7650753,12269706,6,pidama,,ill,kes,kellesse,"Kohustuslikult sisse toodud naiskolleeg , kellesse mõlemad armuma peavad , küündimatu metroojaamade esisolge , kellele koha näitamiseks tervelt poolteist tundi aega läheb , on võõrkehad .",no,"The word 'kellesse' indicates a direction or relationship rather than a physical location, so it is classified as 'no'.",no,"The phrase 'kellesse' refers to a person rather than a place, so it is not classified as an adverbial of place.",,,,no,no
