sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,tags,timex_tag,ekilex_tag,ner_tag
18127738,27543493,1,põdema,,adit,Mumpsorhiit,Mumpsorhiiti,"Mumpsorhiiti põdenud mehi oli 5,1 - 10 mln/ml spermatosoidiga meeste rühmas enam kui kontrollrühmas .",,,,
3422121,5508720,2,surema,,adit,nälg,Nälga,""" Nälga on surnud vähemalt pool miljonit inimest , kuid tegelik arv on ilmselt lähemal miljonile või koguni kahele miljonile , "" ütles rahvusvahelise abiorganisatsiooni World Vision asepresident Andrew Natsios CNN-ile .",,,,
2567310,4119313,1,surema,,adit,viinasurm,Viinasurma,"Viinasurma suri möödunud aastal 37 000 venemaalast , peamiselt tööealised mehed .",|E|AE|EL|ET|AET|ELT|,,event,
4239255,6822609,9,surema,,adit,hepatiit,hepatiiti,"Pihkva rajooni naabruses asuvas Sverdlovski oblastis on toksilisse hepatiiti surnud väidetavalt kolm inimest ja veel 60 inimest sattus selle diagnoosiga haiglasse pärast seda , kui nad olid joonud viinapudelites müüdud etanoolibaasilist klaasipuhastusvahendit .",|S|AS|LS|ST|AST|LST|,,state,
2571254,4125821,17,haigestuma,,adit,ajukelmepõletik,ajukelmepõletikku,"; Väljaots lükkas Lümanda valla sotsiaaltöötaja Aksel Penu väite BNS-le , et nädala jooksul on viiruslikku ajukelmepõletikku haigestunud üle 20 lapse .",|S|AS|LS|ST|AST|LST|,,state,
937831,1493424,26,nakatuma,,adit,suguhaigus,suguhaigusse,"Ootamatu vahekorra puhul või uue inimesega kohtudes tuleb kindlasti kasutada kondoomi , sest spiraal ei kaitse seksuaalsel teel levivate haiguste eest ja kui spiraalikasutaja mõnda suguhaigusse nakatub , kulgeb see palju raskemalt .",|S|AS|LS|ST|AST|LST|,,state,
6357995,10216379,9,surema,,adit,kuulihaav,kuulihaava,"Lahkamisest selgus , et kõik kolm surid mitmesse kuulihaava , mille tekitas kaprali käes olnud M-16 .",|S|AS|LS|ST|AST|LST|,,state,
2819282,4521341,10,surema,,adit,hing,Hinge,"Eile , 7. märtsil suri pärast rasket haigust prokurör Hinge Brand .",|A|AE|AL|AS|AT|AET|ALT|AST|,,,PER
18064302,27483889,16,surema,,adit,säng,sängi,"Nemad on kõige vajalikumad ja altruistlikumad virulased , kes surevad tavaliselt pärast rasket elutoimetust oma sängi , ja nende najal , võite kindlad olla , püsib Virumaa , püsib Eesti riik .",|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,
401277,624273,10,haigestuma,,adit,tuberkuloos,tuberkuloosi,"WHO teatel haigestus eelmisel aastal Venemaa 150 miljonist elanikust tuberkuloosi 120 000 kuni 200 000 inimest , kellest suri 25 000.",|S|AS|LS|ST|AST|LST|,,state,
9587023,15387570,22,surema,,adit,uppumissurm,uppumissurma,"Vanemuurija Arno Põldre märkis , et hukkunutel puudusid välised vigastused , vaid autojuhi randmel oli lõikehaav : “ Ilmselt surid mehed uppumissurma .",|E|AE|EL|ET|AET|ELT|,,event,
524373,826465,3,haigestuma,,adit,B-hepatiit,B-hepatiiti,"Mullu haigestus B-hepatiiti ligi 500 inimest , tänavu 11 kuuga on haigestunuid 249.",,,,
5654815,9068765,12,nakatuma,,adit,veresoon,veresoonde,1 206 HIV juhtumist 71% ehk 836 inimest nakatusid HIVsse uimastite süstimisega veresoonde .,,,,
1897671,3023340,4,haigestuma,,ill,silmahaigus,silmahaigusesse,"Ootamatult haigestus poiss silmahaigusesse klaukoomi , mille taga-järjel saabus pimedus .",|S|AS|LS|ST|AST|LST|,,state,
505887,795964,4,nakatuma,,adit,puukentsefaliit,puukentsefaliiti,"Kui inimene on puukentsefaliiti nakatunud , siis ilmnevad üks-kaks nädalat pärast puugihammustust gripisarnased haigusnähud - kerge palavik koos pea ja lihasevaluga .",|S|AS|LS|ST|AST|LST|,,state,
666112,1058782,9,haigestuma,,ill,buliimia,buliimiasse,Esinduskohustuste ja mehe truudusetuse tõttu kannatav Diana haigestus buliimiasse ja püüdis endalt isegi elu võtta .,|S|AS|LS|ST|AST|LST|,,state,
12783370,20448969,4,nakatuma,,adit,vähk,vähki,Esimene komponent mõõdab vähki nakatunud rakkude hulka organismis .,,,,
5267160,8449028,6,haigestuma,,ill,tuulerõuged,tuulerõugetesse,Tervisekaitseinspektsiooni andmetel haigestus Tallinnas jaanuaris tuulerõugetesse 323 inimest ehk saja võrra rohkem kui mullu samal ajal.,|S|AS|LS|ST|AST|LST|,,state,
1684550,2681665,22,surema,,adit,tsüaniidi-mürgitus,tsüaniidi-mürgitusse,"Jaapani politsei alustas eile põhjalikku uurimist , kahtlustades massimõrva pühapäevasel suvepeol Wakayamas , kus pärast karrikastmes riisi söömist suri neli inimest tsüaniidi-mürgitusse ja haiglasse sattus 40 inimest .",,,,
8319965,13334988,7,nakatuma,,adit,külmatõbi,külmatõppe,"Kui mõni kolleeg on aga juba külmatõppe nakatunud , soovitavad spetsialistid ennast hoida järgmiste nippide abil .",|S|AS|LS|ST|AST|LST|,,state,
8335181,13356977,16,surema,,adit,suhkrutõbi,suhkrutõppe,"Tarmo Pihlap  ( 47 ) -- estraadilaulja ( “ Valged roosid ” ) , suri suhkrutõppe",,,,
