lause|form|classification
Seevastu tüdrukud on isa Toivo sõnul Markole hoogsalt amokki jooksnud .|Markole|NONE
“ Lahkusin poliitikast 1999. aastal .|poliitikast|NONE
Nüüd käib koheva karvaga kass tähtsal ilmel aias ringi , põõnutab põõsaste all ja on pererahva rõõmuks isegi paar nurjatut hiirt kinni nabinud .|ilmel|NONE
Kuna nii suurte ruumide koristamine on tööl käivale naisele raske , käib Kelamitel abiks üks lahke vanadaam .|Kelamitel|NONE
Olen paaril aastavahetusel koolides tasuta jõuluvana mängimas käinud .|aastavahetusel|NONE
“ Lahkusin ajakirjandusest ju oma tippajal - pärast aasta ajakirjaniku tiitli saamist , ” mainib ta .|tippajal|NONE
Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .|Kohilas|LOC
Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .|üritusel|NONE
Käime Karliga laupäeviti Musamaris laulutunnis .|laulutunnis|NONE
Helen Sürje istub Ateenas modellide ühisköögis ja räägib Kreekast , mahlade varastamisest , Ita Everist ning arhitektuurist .|Ateenas|LOC
Minnie aga palkas kleiti õmblema Vera Wangi ning käis Barbra teadmata isegi kleidiproovis .|kleidiproovis|NONE
Viimati liikus paar teineteise käevangus Ita Everi juubelipeol aprillis .|aprillis|NONE
Järgmine , Ayesha põlvkond on koolis käinud Ameerika Ivy League'i eliitülikoolides .|eliitülikoolides|LOC
"""Samamoodi tuli Marika mitte just väga ammu koju shampuse ja juhilubadega , teatades , et käis siis nüüd autokoolis ära ."|autokoolis|"LOC"""
Et maal elavatelt sugulastelt toidulauale söögikraami saada , käis väike Tiina koos perega suvel talus abiks .|talus|LOC
Moesõpru tabas hiljaaegu Chaneli moemaja kevad-suvise kollektsiooni esitlusel shokk - Chaneli disainer Karl Lagerfeld astus pärast showd lavale iseendast mitu numbrit väiksemana .|iseendast|NONE
Igal suvel käib ta treti Jaan Tätte juures Vilsandil .|Vilsandil|LOC
Ja siis on minu keldris käinud näiteks varas !|keldris|LOC
Tundus , nagu poleks ma Bronxist kunagi lahkunud .|Bronxist|LOC
Koos käisid nad ka Eurovisiooni finaalvõistlusel ( pildil ) .|finaalvõistlusel|NONE
Aga maigu sai suhu küll , iga laps või noor või vana , kes telepurgist läbi käis , oli korrapealt tuntud ja kõigile tänaval vastutulijaile kui teretuttav .|telepurgist|NONE
"""Äärmuslik armukadedus on põrgulikumaid asju : lõpuks istud iga oma vastassugupoolest sõbraga hirmus , et äkki teeb su partner sellest oma järeldusi . ”"|vastassugupoolest|"NONE"""
Nad käisid meiega sageli Venemaal kaasas .|Venemaal|LOC
Üksteist aastat tagasi käis Lääne-Saksamaa koolitüdruk Ute noortevahetuse korras Eestis .|korras|NONE
Alles hiljuti käis Koit Toome sõbra Mikko Maltise maakodus .|maakodus|LOC
” Põõsast jookseb välja naerul poiss , pall kaenlas , telefon teises käes .|naerul|"NONE"""
Kuni filmigrupp Veronas ringi liigub , käivad Romeo ja Julia õue uudistamas ka teised õnnekad .|Veronas|LOC
“ Ükskord talveööl käis metsavend ka meil .|talveööl|NONE”
Näiteks see , kus mina ja Marianne'i-nimeline tüdruk istume korvtoolidel .|korvtoolidel|LOC
Anne Kahro ütleb : “ Kõige suurem šokk oli tagasi tulles , et inimesed käivad üksteisest läbi nagu mühakad .|üksteisest|NONE
Käisid hiljuti Pariisi ja Milano kangamessidel - kuhu mood suundub ?|kangamessidel|LOC
Üldiselt treenin enda jaoks , aga olen käinud ka maratonidel .|maratonidel|NONE
Ta lahkus pärast võitlust oma vennaga itta , lubades sealt kunagi tagasi tulla .|itta|LOC
Vaatamata ühiskonna eitavale hoiakule astus valitsus siiski juba 1993. aastal samme , et võimalikest kriisidest puhtana välja tulla .|hoiakule|NONE
1972. aasta detsembrini käis kuue Apollo-laevaga Kuul kokku 12 meest .|Kuul|LOC
