sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation
7108634,11432411,7,tasuma,,ad,kord,korral,"“ Ei tea , kas esimesel korral tasub lõpuni minna , ” kahtlesin .",,,,no,"The phrase 'korral' refers to 'occasion' and does not indicate a location, hence it is not adverbial of place."
2601827,4175718,12,pakkuma,,ad,juhatus,juhatusel,"Eesti Filharmoonia Kammerkoor ja Tallinna Kammerorkester pakuvad täna õhtul Tõnu Kaljuste juhatusel Tallinna Metodisti kirikus toimuval kontserdil valiku teostest , mida koor ja orkester esitavad reedel algaval kolmenädalasel USA ja Kanada turneel .",,,,no,"The phrase 'juhatusel' refers to 'under the direction' and is describing leadership or guidance, not location, so it is not adverbial of place."
1677278,2670999,3,seletama,,all,patsient,patsiendile,"Kullamaa seletab patsiendile alati , et iga protees on organismile võõrkeha ja ümber selle tekitab organism poole aasta jooksul sidekoelise kapsli .",,,,no,
750912,1196732,14,virutama,,all,reisija,reisijale,"Kaks aastat tagasi oli Eesti Päevalehe ajakirjanik tunnistajaks , kuidas kontrollija piletita sõitnud reisijale jalaga vastu tagumikku virutas ja vihaselt sõimles .",,alive,,no,
4733683,7604499,14,lülitama,,ad,poolaeg,poolajal,""" Seda ma paraku ei tea , sest lülitasin teleka sisse alles teisel poolajal . """,,time,,no,
14922621,23437007,3,külastama,,ad,nahkkuu,nahkkuul,"Pealegi külastas nahkkuul kahel korral mulkide väravaraamistikku , ohtlikke olukordi jätkus veelgi .",,,,no,
10299850,16529878,9,laskma,,ad,KMÜ,KMÜl,Miks te seda kohe ei öelnud ja lasite KMÜl veel koalitsioonileppe projekti ette valmistada ?,,,,no,
7950871,12740282,35,suhtuma,,adit,idealiseerimine,idealiseerimisse,"Ma usun , et lugejad siiski tajusid , vastupidi , ideoloogiavastast subversiooni , õõnestust või vähemalt ambivalentsust , sest tegelikult oli Hansen-Tammsaare antifašist ning suhtus oma teostes kriitiliselt ka talupoegluse ning "" juurte "" idealiseerimisse .",,,,no,
15337147,23952644,11,tutvustama,,ad,hulk,hulgal,Ulmekirjandus ja -filmid on meile viimastel aastakümnetel tutvustanud arvutul hulgal mõtlemisvõimelisi masinaid .,,,,no,
95952,162188,10,tulema,kokku,ad,lõpetamine,lõpetamisel,"“ Ühelt poolt on muidugi hea , et keskkooli lõpetamisel ja ülikooli sisseastumisel ei tule kokku ligi kümmet eksamit teha , teisalt võetakse mul riigieksamitega teine võimalus .",,event,,no,
13016963,20826469,3,karjuma,,all,kiskuja,kiskujale,"« Karjusin kiskujale : ei , ei , lükka auto püsti !",,,,no,"The phrase 'kiskujale' refers to a person, not a place, so it is not an adverbial of place."
13567621,21694794,10,nimetama,,el,esinelik,esinelikust,Hooaja jooksul on Klandorf mitu korda nimetanud A . Le Coqi esinelikust meelepäraseimaks vastaseks .,,,,yes,"The phrase 'esinelikust' refers to a specific place or group, making it an adverbial of place."
12825358,20516338,3,saama,üle,el,5.05,5.05st,"Mõlemad said 5.05st üle , kolm ebaõnnestunud katset tegi Šebrle 5.15-l ja sellest kõrgusest loobunud Nool 5.25-l.",,,,yes,"The phrase '5.05st' indicates a location related to a height, classifying it as an adverbial of place."
10517633,16861298,1,mõjuma,,all,aatom,Aatomitele,"Aatomitele , mis käituvad pisimagnetitena , mõjub raskusjõust suurem jõud ning siirup ei saa üle magnetkausi servade välja voolata .",,,,no,
2638805,4234155,2,proovima,,all,inimene,inimestele,"Aga inimestele proovid sa jällegi vihjata , et tegu on kurja karvase käe , hämarate motiivide ja salajase omakasuga , "" kirjutab Lao .",,alive,,no,
367679,568736,26,püüdma,,all,kõver,kõverale,"Semper arutleb , et Norra mägimaastikele iseloomulik kõverjoon on omane Knut Hamsuni tegelastele ; Ibseni traagika arvab ta peituvat seigas , et see püüdis Norra kõverale joonele peale suruda õgujoone külmjulma loogikat .",,,,yes,"The phrase 'kõverale' specifies a location in a symbolic or illustrative manner, thus it qualifies as an adverbial of place."
6866965,11044861,4,ilmnema,,ad,majanduskasv,majanduskasvul,Seejuures ilmnes kiiremal majanduskasvul hoopis ebavõrdsust vähendav roll .,,,,no,
12537089,20066544,7,esitlema,,all,piduline,pidulistele,Sajandi meeldejäävaimaist hetkedest tehtud filmi esitleb pidulistele Steven Spielberg .,,alive,,no,
6186079,9932912,19,korraldama,,all,kontor,kontorile,"Regionaalprokurör Juri Ketov lausus , et relvastatud rühmitus korraldas rünnaku siseministeeriumile ja regionaalsele föderaalse julgeolekubüroo ( FSB ) kontorile .",,location,,yes,"The phrase 'kontorile' specifies a physical place, making it an adverbial of place."
3058141,4907186,26,sõltuma,,el,aines,ainesest,""" Igal institutsioonil on vaja töörahu , kus muuhulgas kõik dokumendid pole avalikkusele ligipääsetavad , "" ütles Kallas , täpsustades , et "" kõik sõltub ainesest "" .",,,,no,
18514356,28036088,5,kuulama,,ad,menetlemine,menetlemisel,Praegu me oleme eelarve menetlemisel kannatlikult kuulanud opositsiooni kriitikat .,,,,no,
4120887,6633233,8,teavitama,,ad,eemaldamine,eemaldamisel,Samuti teavitavad Tallinn ja Helsingi vastastikku grafiti eemaldamisel ja pindade kaitsmisel kasutatavatest uutest tehnoloogiatest jms.,,,,no,
6313845,10144762,11,pajatama,,el,mäss,mässust,"Rääkimata romaanist "" Waverly "" , mis pajatab 1745. aasta mässust , mille käigus šotlased üritasid oma meest Inglismaa troonile tagasi panna .",,,,yes,"The phrase 'mässust' refers to the uprising and functions to specify the location of an event in relation to the context, which is why it is classified as adverbial of place."
11663641,18670158,5,vestlema,,ad,eeldus,eeldusel,""" Vestlesin temaga alguses eeldusel , et ta on kuriteo sooritanud , "" räägib Einike .",,,,no,
14061675,22389273,11,tulema,kohale,ad,Mühlenbeck,Mühlenbeckil,"SV Mühlenbecki ja Birkenwerder BC mängu algul selgus , et Mühlenbeckil tuli kohale kuus meest .",,,LOC,yes,"The phrase 'Mühlenbeckil' refers to the location where an event happened (e.g., the state of the team at a particular site), making it adverbial of place."
8247308,13232622,9,kuulama,,ad,õu,õuel,"Meie ei ütle midagi , meie kuulame lummemattunud õuel hämmeldunult märtsikuist punarinna laulu , mis ei saa küll kuidagimoodi olla alamlaul , vaid ikka ülemlaul , sest Juhan Liiv ju kirjutas , et",,,,yes,"The phrase 'õuel' specifies the location where something is being heard, showing its function as an adverbial of place."
1601566,2548480,8,helistama,,all,emale-isa,emale-isale,Ta helistas kohe pärast tulemuste selgumist Väike-Maarjasse emale-isale .,,,,no,
4425456,7116674,16,nakatuma,,el,loomariik,loomariigist,"Miks ei võiks siis imetaja inimenegi nakatuda sellest pisikust , kui juba tema lähedasemad sugulased loomariigist sellest nakatuvad ?",,,,yes,"The phrase 'loomariigist' indicates origin or source, which is a spatial relationship, so it is classified as an adverbial of place."
4611029,7410819,13,pakkuma,,all,Jim,Jimile,"Ühel kontserdil sattus teda kuulama plaadikompanii Warp juht Steve Beckett , kes Jimile kohe lepingut pakkus .",,,PER,yes,"The phrase 'Jimile' refers to the recipient of something, which is not a spatial indication, so it is not adverbial of place."
685016,1089414,12,võistlema,,ad,etapp,etapil,Peaaegu kolm kuud tervist taastanud Michael Schumacher võistleb F1-e kahel viimasel etapil : Malaisias 17. oktoobril ning Jaapani Suzukas 31. oktoobril .,,,,yes,"The phrase 'etapil' points to specific stages of a race, describing the location of the events, so it is an adverbial of place."
5053218,8109495,13,kasutama,,ad,kaubamärk,kaubamärgil,"Omaniku valitud uus rentnik , osaühing Wostock Oil , kasutab sirpi-vasarat oma kaubamärgil .",,,,yes,"The phrase 'kaubamärgil' refers to a location where the sirpi-vasarat symbol is used, making it an adverbial of place."
9105951,14641235,14,ärkama,,ad,keskväljak,keskväljakul,"Eesti suurim , 7000-kohaline vabaõhu ooperiteater ärkab suvel üheks päevaks ellu Tõrva linna keskväljakul .",,location,,yes,"The phrase 'keskväljakul' describes a location where the ooperiteater comes to life, qualifying it as an adverbial of place."
12746239,20388907,3,suhtuma,,adit,eliit,eliiti,Kõik suhtuvad eliiti põlgusega .,,alive,,yes,"The phrase 'eliiti' refers to a group rather than a physical location, so it is not an adverbial of place."
19210395,28968663,2,märkima,,ad,arutlus,arutlusel,"Sellel arutlusel te ise ka märkisite , et häid pakkumisi raudtee erastamiseks ei ole me tegelikult saanud .",,,,yes,"The phrase 'arutlusel' identifies a metaphorical location or context for discussion, so it is considered an adverbial of place."
11993836,19195890,4,tasuma,,ad,eestlanna,eestlannadel,Valdo Randpere : eestlannadel ei tasu pisku eest mängida,,alive,,no,"The phrase 'eestlannadel' refers to people and not a place, so it is not an adverbial of place."
731377,1165170,5,võitma,,ad,Saksamaa,Saksamaal,Korjus ja Jakk võitsid Saksamaal .,,location,LOC,yes,"The phrase 'Saksamaal' specifies a location where the action of winning occurred, making it an adverbial of place."
2571838,4126778,12,võtma,ära,abl,kohtunik,kohtunikelt,"Pärast seda , kui põhiseaduskomisjonis läksid läbi ettepanekud , mis võtavad kohtunikelt ära loodetud staažitasud ja mõned sotsiaalsed garantiid , on võimuparteide esindajad pidanud maha mitu tulist arutelu .",,alive,,no,
14949694,23462330,16,viitama,,all,alammõõt,alammõõdule,"- lisatakse järgmine joonealune märkus , mis viitab hariliku stauriidi ( Trachurus spp . ) alammõõdule 15 cm piirkondades 1-5 , välja arvatud Skagerrak ja Kattegat : “ Assooridega külgnevates vetes , mis kuuluvad Portugali suveräänsete õiguste ja jurisdiktsiooni alla , ei kohaldata hariliku stauriidi ( Trachurus picturatus ) suhtes alammõõtu . ”",,,,no,
