sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
1677278,2670999,3,seletama,,all,patsient,patsiendile,"Kullamaa seletab patsiendile alati , et iga protees on organismile võõrkeha ja ümber selle tekitab organism poole aasta jooksul sidekoelise kapsli .",,,,no,,no,yes,no,no,yes,actor
750912,1196732,14,virutama,,all,reisija,reisijale,"Kaks aastat tagasi oli Eesti Päevalehe ajakirjanik tunnistajaks , kuidas kontrollija piletita sõitnud reisijale jalaga vastu tagumikku virutas ja vihaselt sõimles .",,alive,,no,,no,yes,no,no,yes,actor
13016963,20826469,3,karjuma,,all,kiskuja,kiskujale,"« Karjusin kiskujale : ei , ei , lükka auto püsti !",,,,no,"The phrase 'kiskujale' refers to a person, not a place, so it is not an adverbial of place.",no,yes,no,no,yes,actor
2638805,4234155,2,proovima,,all,inimene,inimestele,"Aga inimestele proovid sa jällegi vihjata , et tegu on kurja karvase käe , hämarate motiivide ja salajase omakasuga , "" kirjutab Lao .",,alive,,no,,no,yes,no,no,yes,actor
12537089,20066544,7,esitlema,,all,piduline,pidulistele,Sajandi meeldejäävaimaist hetkedest tehtud filmi esitleb pidulistele Steven Spielberg .,,alive,,no,,no,yes,no,no,yes,actor
1601566,2548480,8,helistama,,all,emale-isa,emale-isale,Ta helistas kohe pärast tulemuste selgumist Väike-Maarjasse emale-isale .,,,,no,,no,yes,no,no,yes,actor
11394702,18259707,3,valmistama,,all,Bondarenko,Bondarenkole,"Lisarõõmu valmistas Bondarenkole tõsiasi , et punkt saadi tänavu esmakordselt looduslikul murul mängides .",,,PER,no,"The phrase 'Bondarenkole' refers to the recipient of the action (dative case) rather than indicating a place, so it is not an adverbial of place.",no,yes,no,no,yes,actor
1063467,1690574,4,mõistma,,all,Maarika,Maarikale,"Hea õpetaja tähendab Maarikale mõistvat inimest , sellist , nagu oli õpetaja Laur .",,,LOC,no,,no,yes,no,no,yes,actor
141503,235978,3,helistama,,all,Meelis,Meelisele,"Mait helistas Meelisele ja tahtis kokku saada , aga Meelis oli siis Venemaal .",,,PER,no,,no,yes,no,no,yes,actor
508489,800245,18,muutuma,,all,kalastaja,kalastajatele,"Alates esmaspäevast keelas Pärnu maavanem Toomas Kivimägi jäälemineku ka Pärnu lahel , sest nõrk jää on muutunud kalastajatele eluohtlikuks .",,alive,,no,,no,yes,no,no,yes,actor
6645362,10692993,19,karjuma,,all,turvaja,turvajale,""" Siin kamandan mina , teie istuge aga autosse , "" karjus heledapäine turvaülem vene keeles patriarhi Vene-poolsele turvajale , kes ilmselt ei soovinud nii tulise rutuga lennuväljalt lahkuda , kui kohalik turvaplaan ette nägi .",,alive,,no,,no,yes,no,no,yes,actor
9685826,15543549,23,lugema,,all,kastraat,kastraadile,"Nüüd juba üle aasta tagasi , kui film kinodes linastus , kirjutas üks eesti kultuuriprominent midagi sellist , et no mis see kastraadile ikka loeb , see on ju ainult tükike liha .",,alive,,no,,no,yes,no,no,yes,actor
14152577,22496666,3,pakkuma,,all,Harry,Harryle,"Peterburi kultuuriväärtused Harryle huvi ei pakkunud : « Kui keegi üldse vaatamisväärsuste pärast ekskursioonile läheb , on see õpetaja .",,,PER,no,,no,yes,no,no,yes,actor
6274458,10080296,5,raatsima,,all,keegi,kellelegi,"Vähe sellest , et kellelegi teisele ei raatsi kulutada .",,,,no,,no,yes,no,no,yes,actor
11521346,18451523,5,kõlama,,all,kultuuritöötaja,kultuuritöötajatele,"Banaalselt kõlab näiteks Tartu kultuuritöötajatele , et "" professionaalne tantsuteater on Eesti provintside jaoks midagi väljakannatamatult uut "" .",,alive,,no,,no,yes,no,no,yes,actor
17908793,27298115,5,vaatama,vastu,all,valitsus,valitsusele,"Kuna samalaadne pilt vaatas valitsusele vastu mitmel pool eelarves , viitab see tungivale vajadusele uuendada otsustavalt meie eelarveseadust , muuta eelarve koostamine avatumaks , läbipaistvamaks ja ausamaks .",,,,no,,no,yes,no,no,yes,actor
3104112,4984370,14,ulatama,,all,apteeker,apteekrile,"Kui selgus selles asjas "" meie õuele "" saabus ja ma osalise kergendusega apteekrile raha ulatasin , ei andnud ta koos ravimiga selle süstimist võimalikuks tegevaid nõelu .",,alive,,no,,no,yes,no,no,yes,actor
4064583,6542651,12,pruukima,,all,lavastaja,lavastajale,"Noorsooteatri peanäitejuhi aeg ( 1970-74 ) ei pruukinud olla lavastajale endale kõige pingevabam ja õnnelikum periood , "" Orpheust "" ja "" Kuuenda raamatu lõppu "" ( mõlemad 1973 ) on ta hiljem maininud kui asju , mis talle endale korda läksid .",,alive,,no,,no,yes,no,no,yes,actor
13708259,21903548,1,seletama,,all,ametivõim,Ametivõimudele,"Ametivõimudele seletas Sergei , et soovis Rootsist edasi pääseda Venemaale .",,,,no,,no,no,no,yes,yes,actor
239340,382777,3,soovitama,,all,eurokadakas,eurokadakatele,"Meie “ eurokadakatele ” ( Jaan Kaplinski termin ) aga soovitaksin enne mis tahes Euroopa Liidu järjekordse viguri ( lolluse , sigaduse - asi pole terminis , vaid sisus ) omaksvõttu läbi lugeda raamatu 15. peatükk , mis just sellest räägibki .",,,,no,"The phrase 'eurokadakatele' refers to a group of people and not a location, so it is not classified as an adverbial of place.",no,yes,no,no,yes,actor
1602270,2549403,7,helistama,,all,dirigent,dirigendile,"Pärast kurjategijate lahkumist helistas koori vanem dirigendile , kes kutsus välja politsei .",,,,no,,no,yes,no,no,yes,actor
14349260,22777576,5,vaidlema,vastu,all,Matici,Maticile,"Kendrick Johnsoni hääl vaidles Maticile midagi vastu , ent peatreeneri kriitika sai tema argumentidest vaid hoogu juurde .",,,PER,no,,no,yes,no,no,yes,actor
12003786,19212010,5,elama,kaasa,all,abikaasa,abikaasadele,Naised elasid sõjas olevatele abikaasadele või armsamatele kaasa ja vastupidi .,,alive,,no,The phrase 'abikaasadele' is not classified as adverbial of place ('no') because it refers to recipients of emotions rather than a location.,no,yes,no,no,yes,actor
7110699,11436232,13,meenuma,,all,Ruti,Rutile,"Noormehed tõotavad ja lähevad hanereas läbi madala ukseava ; alles nüüd meenub Rutile , et õigupoolest oleks ta pidanud küsima Lumetüdrukut .",,,LOC,no,,no,yes,no,no,yes,actor
