sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,classification,explanation,classification2,explanation2,timex_tag,ekilex_tag,ner_tag
3417425,5500831,11,tekkima,,ill,aste,astmetesse,"Möödunud nädalal riigihankega välja valitud Pinnatöötluse OÜ puhastab ja täidab astmetesse tekkinud praod , värvib siis betooni akrüülvärviga üle , mis kaitseb vihma , jää ja muu keskkonnamõju eest .",no,"The phrase 'astmetesse' refers to steps or levels, which are not specific locations, so it was classified as 'no'.",yes,,,,
13305402,21286081,3,peitma,,ill,abihoone,abihoonetesse,Peitis ohvrid abihoonetesse,yes,,yes,,,location,
3519081,5666613,7,tulema,ära,el,eestlane,eestlasest,Kümnest kevadel Iirimaale Kerry Foodsi läinud eestlasest on ära tulnud neli .,no,'eestlasest' is not classified as a location because it refers to a person or nationality instead of a geographical location.,no,"The phrase 'eestlasest' refers to a specific group of people and does not describe a location or place, so it is not classified as an adverbial of place.",,alive,
17981481,27361936,13,juhatama,,in,maja,majas,"Sealt uksest sisenenud külastajaid võtab vastu sekretär , kes juhatab tulija suures majas õigesse kohta .",yes,,yes,,,,
14293818,22692055,3,laskma,,adit,Narusk,Naruski,Mae laskis Naruski üheksasekundilisse eduseisu ja alustas siis karmi tagaajamist .,no,'Naruski' is not classified as a location because it appears to refer to a person's name rather than a geographical location.,no,"The phrase 'Naruski' was classified as 'no' because it refers to a person and not a place, so it does not indicate an adverbial of place.",,,LOC
13245152,21190562,3,pesema,,in,infotund,infotunnis,Riigikogu eilses infotunnis end seaduserikkumisest puhtaks pesnud siseminister Olar Taal on nõus esitama veelkord valitsusjuhile lahkumisavalduse  .,no,"The phrase 'infotunnis' refers to an informative session, which is an event or occasion and not a location, hence classified as 'no'.",yes,,,event,
599049,949943,5,laskma,,adit,galopp,galoppi,Taamal lasid vett pritsides galoppi laulukaare lähistelt jalutuskäigule toodud hobused - umbe kasvanud lahesopis sulberdavate jõnglaste ning emmede seltsis kaldavees paterdanud mudilaste keskel .,no,"'galoppi' refers to a mode of movement (galloping), not a location, so it's classified as 'no'.",no,The phrase 'galoppi' is not an adverbial of place because it describes the action or manner ('galloping') rather than a specific location.,,,
2258209,3614290,5,ajama,,in,asi,asjus,""" Isemajandava Eesti raha asjus ajas Rahvarinne selgelt Moskva-meelset poliitikat .",no,The word 'asjus' means 'about' or 'regarding' and does not denote a location.,no,"The word 'asjus' specifies a topic or subject related to 'Eesti raha' and does not indicate location, so it is not an adverbial of place.",,,
6935443,11145673,1,astuma,sisse,ill,aedik,Aedikusse,Aedikusse astub sisse neljaliikmeline 30-40-aastates meeste kamp .,yes,,yes,,,location,
5355405,8590503,2,ründama,,in,Misso,Missos,"Võrumaal Missos ründavad hundid koeri , kohalike talumeeste sõnul on sel talvel hundid ära söönud vähemalt seitse koera .",yes,,yes,,,location,LOC
12467533,19958355,3,tulistama,,in,kinosaal,kinosaalis,Tudeng tulistas kinosaalis,yes,"The phrase 'kinosaalis' refers to a cinema hall, which is a physical location, so it is classified as 'yes'.",yes,,,location,
8915676,14331762,13,maanduma,,ill,esine,esisesse,"14. minutil ebaõnnestus Ruslan Mussajevi pealelöök , ent pall maandus Transi värava esisesse lompi ning Dmitri Ustritski ennetas üllatunud puurivahti Aleksandr Rjabtshuni .",no,"The word 'esisesse' does not indicate a specific geographic location but rather describes a general area or position, so it is classified as 'no'.",yes,,,location,
2720335,4363599,2,startima,,abl,kroon,kroonilt,"82,5 kroonilt startinud Tallinki aktsia langes 2006. aasta esimesel poolel nagu komeet .",no,"The phrase 'kroonilt' refers to a currency unit, not a location.",no,It is classified as 'no' because 'kroonilt' describes the starting monetary value rather than a location.,,,
18769256,28358862,8,valguma,,all,klavjatuur,klavjatuurile,"Pühi lõug puhtaks , kuidu valgub ila klavjatuurile , siis on jama kui palju",yes,,yes,,,,
