sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,classification2
7108634,11432411,7,tasuma,,ad,kord,korral,"“ Ei tea , kas esimesel korral tasub lõpuni minna , ” kahtlesin .",,,,no,"The phrase 'korral' refers to 'occasion' and does not indicate a location, hence it is not adverbial of place.",no,no,no,no
2601827,4175718,12,pakkuma,,ad,juhatus,juhatusel,"Eesti Filharmoonia Kammerkoor ja Tallinna Kammerorkester pakuvad täna õhtul Tõnu Kaljuste juhatusel Tallinna Metodisti kirikus toimuval kontserdil valiku teostest , mida koor ja orkester esitavad reedel algaval kolmenädalasel USA ja Kanada turneel .",,,,no,"The phrase 'juhatusel' refers to 'under the direction' and is describing leadership or guidance, not location, so it is not adverbial of place.",no,no,no,no
14922621,23437007,3,külastama,,ad,nahkkuu,nahkkuul,"Pealegi külastas nahkkuul kahel korral mulkide väravaraamistikku , ohtlikke olukordi jätkus veelgi .",,,,no,,no,no,no,no
10299850,16529878,9,laskma,,ad,KMÜ,KMÜl,Miks te seda kohe ei öelnud ja lasite KMÜl veel koalitsioonileppe projekti ette valmistada ?,,,,no,,no,no,no,no
7950871,12740282,35,suhtuma,,adit,idealiseerimine,idealiseerimisse,"Ma usun , et lugejad siiski tajusid , vastupidi , ideoloogiavastast subversiooni , õõnestust või vähemalt ambivalentsust , sest tegelikult oli Hansen-Tammsaare antifašist ning suhtus oma teostes kriitiliselt ka talupoegluse ning "" juurte "" idealiseerimisse .",,,,no,,no,no,no,no
15337147,23952644,11,tutvustama,,ad,hulk,hulgal,Ulmekirjandus ja -filmid on meile viimastel aastakümnetel tutvustanud arvutul hulgal mõtlemisvõimelisi masinaid .,,,,no,,no,no,no,no
10517633,16861298,1,mõjuma,,all,aatom,Aatomitele,"Aatomitele , mis käituvad pisimagnetitena , mõjub raskusjõust suurem jõud ning siirup ei saa üle magnetkausi servade välja voolata .",,,,no,,no,no,no,no
6866965,11044861,4,ilmnema,,ad,majanduskasv,majanduskasvul,Seejuures ilmnes kiiremal majanduskasvul hoopis ebavõrdsust vähendav roll .,,,,no,,no,no,no,no
3058141,4907186,26,sõltuma,,el,aines,ainesest,""" Igal institutsioonil on vaja töörahu , kus muuhulgas kõik dokumendid pole avalikkusele ligipääsetavad , "" ütles Kallas , täpsustades , et "" kõik sõltub ainesest "" .",,,,no,,no,no,no,no
11663641,18670158,5,vestlema,,ad,eeldus,eeldusel,""" Vestlesin temaga alguses eeldusel , et ta on kuriteo sooritanud , "" räägib Einike .",,,,no,,no,no,no,no
14949694,23462330,16,viitama,,all,alammõõt,alammõõdule,"- lisatakse järgmine joonealune märkus , mis viitab hariliku stauriidi ( Trachurus spp . ) alammõõdule 15 cm piirkondades 1-5 , välja arvatud Skagerrak ja Kattegat : “ Assooridega külgnevates vetes , mis kuuluvad Portugali suveräänsete õiguste ja jurisdiktsiooni alla , ei kohaldata hariliku stauriidi ( Trachurus picturatus ) suhtes alammõõtu . ”",,,,no,,no,no,no,no
2101376,3353927,11,juhinduma,,el,sisekord,sisekordadest,"Nendes küsimustes langetavad otsuse meie piirkonnad , kes juhinduvad meie sisekordadest ja eetikakoodeksist .",,,,no,,no,no,no,no
13228328,21164291,13,lisanduma,,ad,kca,kcal,"Kui lubada endale ka 200grammine tops küpsise tiramisut , lisandub veel 536,2 kcal ja 26,4 g rasva .",,,,no,,no,no,no,no
553550,874459,12,tundma,,el,eelisõigus,eelisõigusest,"Häbenesin seda kangesti , kuigi salamisi tundsin kergendust raamatu- ja vorstiostu eelisõigusest .",,,,no,,no,no,no,no
9442787,15162496,12,pälvima,,ad,viljelemine,viljelemisel,"Lavastaja Merle Karusoo pälvis preemia järjepideva loomingulise tegevuse eest dokumentaalse teatri viljelemisel , uurimisel ja arendamisel ja 1997. aasta lavastuste “ Kured läinud , kurjad ilmad ” ( Eesti Draamateater ) , “ Laste riskiretk ” ( VAT Teater ) ja “ Sügis 1944 ” ( Viljandi kultuurikolledzh ) eest .",,,,no,,no,no,no,no
6659617,10715650,24,pöörduma,,ad,hääl,häälel,""" Mul on kavaleride jaoks Accessi andmebaas … "" * Kohvikusse siseneb ilmselgelt rase naine , istub raske ohkega lauda ja pöördub kaeblikul häälel ettekandja poole : "" Neiu , mul on arvatavasti 0,3e vaja … "" "" Kuidas-kuidas ? "" satub ettekandja ärevusse .",,,,no,,no,no,no,no
14801153,23280006,21,toetama,,ad,rahapuudus,rahapuudusel,"Mullu maksti hulkuri eest 25 krooni , tänavu Pärnu kommunaalamet Terveksit , mis muu hulgas ka loomade magamapanemisega tegeleb , rahapuudusel enam ei toeta .",,state,,no,,no,no,no,no
2715728,4356407,13,tuginema,,ad,alandamine,alandamisel,"Üldine hinnalangus peaks Selverites Puusepa sõnul jääma kuue protsendi piiresse , hindade alandamisel tugines Tallinna Kaubamaja kontsern Eesti Konjunktuuriinstituudi koostatavale neljaliikmelise pere toidukorvile , mille kohaselt on seniste ja tulevaste hindade keskmine vahe 6,19 protsenti .",,,,no,,no,no,no,no
14442211,22870428,2,vastama,,all,andme,andmele,Igale andmele vastab 32-bitine sõna .,,,,no,,no,no,no,no
6398117,10284635,14,jääma,kõrvale,el,teadmine,teadmistest,Selle tagajärjel islam isoleeris end ja jäi sajanditeks kõrvale nii maailmas levivatest uutest teadmistest kui ka majanduslikust ning tehnoloogilisest arengust .,,state,,no,,no,no,no,no
6675804,10741057,5,külastama,,ad,rai,Rail,Teisipäeval külastasid Valgat projekti Rail Baltica Euroopa Komisjoni poolne koordinaator Pavel Telička ja Tšehhi investeerimisfirma OKD Doprava esindajad .,,alive,,no,,no,no,no,no
7767524,12452835,13,nõudma,,ad,korraldus,korraldusel,"“ Tekkisid kolme tööpäeva ja tariifide vahed , mille tasumist nõudsime pearaamatupidaja korraldusel lastevanematelt .",,,,no,,no,no,no,no
1782392,2838432,22,austama,,ad,arendamine,arendamisel,Riigikontroll austab oma medaliga postuumselt viimast Teise maailmasõja eelset Eesti riigikontrolöri Karl Johannes Soonpääd tema tegevuse eest Eesti tollase riikliku kontrollisüsteemi arendamisel .,,,,no,,no,no,no,no
916744,1460298,17,arvestama,,ad,omistamine,omistamisel,"Pangandussektorit ja välistasakaalu ehk jooksevkonto puudujääki puudutavad raskused , millega Fitch arvestas 1997.aastal esimese reitingu omistamisel , on praeguseks möödas .",,,,no,"The phrase 'omistamisel' refers to the time or occasion when the rating was assigned, not a location, so it is not an adverbial of place.",no,no,no,no
5003671,8034090,19,lõppema,,ad,initsiatiiv,initsiatiivil,""" Keskmine hüvitise suurus , kui töölepingu lõpetab tööandja , on 7,5 kuupalka , kui tööleping lõppeb töötaja initsiatiivil , on keskmine hüvitise suurus 4,7 kuupalka , "" märkis Orula .",,,,no,,no,no,no,no
13140500,21026293,12,käskima,,ad,partei,parteil,"Ja varem , esmaspäeval , käskis parlamendi juurde loodud sõltumatu parlamendieetikakomisjon parteil raha miljonärile tagasi maksta .",,alive,,no,,no,no,no,no
7032455,11296676,5,lendama,,ad,ide,idel,"British Airwaysi Concorde'idel on veerand sajandi jooksul lennanud 2,5 miljonit inimest .",,,,no,"The phrase 'idel' does not specify a location but is part of a compound noun, so it is not an adverbial of place.",no,no,no,no
523282,824591,7,tulenema,,el,ettepanek,ettepanekust,"Vajadus seaduste täiendamise järele tulenes õiguskantsleri ettepanekust , millega tehti ettepanek parkimisseaduse ja haldusõiguserikkumiste seadustiku põhiseadusega kooskõlla viimiseks .",,,,no,,no,no,no,no
17758394,27113813,4,saama,üle,el,pask,pasast,Saage sellest poliitilisest pasast üle ja hakake ka elu väärtustele mõtlema .,,,,no,,no,no,no,no
15182446,23724200,7,kasutama,,el,lõige,lõigetest,"Kui üks lepinguosalistest kasutab käesoleva artikli lõigetest 2-5 tulenevat õigust nõuda materjali või seadmete tagastamist , kompenseerib ta enne nende äraviimist teise lepinguosalise territooriumilt või kontrolli alt teisele lepinguosalisele viivitamata nende õiglase turuväärtuse ja sellise äraviimisega tekitatud kulud .",,,,no,,no,no,no,no
15237353,23796898,21,püüdma,,all,seletamine,seletamisele,"Ise ma esitaks ühe mõttekäigu , mis käib ka kuidagi filosoofiliste tuulte alla , aga ei püüa just kõrgemate elusaladuste seletamisele .",,,,no,,no,no,no,no
378462,587681,19,kukkuma,läbi,ad,rahapuudus,rahapuudusel,"Eesti telekanal TV 1 on sunnitud mõni päev enne aastavahetust muutma vana-aastaõhtu programmi , sest rahvusvaheline hiigelprojekt kukkus rahapuudusel läbi .",,state,,no,,no,no,no,no
5015406,8050331,11,asendama,,ad,heakskiit,heakskiidul,"Ning kuigi Ferguson veerand tundi enne lõpuvilet väravat nõudva publiku heakskiidul Michael Stewarti kogenud Ryan Giggsiga asendas , hoidis Poom seljataguse puhtana .",,,,no,,no,no,no,no
623207,988799,9,alustama,,ad,juhtimine,juhtimisel,21. oktoobril alustavad Hiina kommunistlikud väed Mao Zedongi juhtimisel,,,,no,,no,no,no,no
271988,429473,13,seonduma,,ad,alune,alusel,"Eesti tööturu näitajate andmeil tehtud analüüside põhjal esineb küll seos , mille alusel madalam töötuse määr seondub kõrgema mobiilsuse tõenäosusega tööturu erinevate seisundite vahel .",,,,no,,no,no,no,no
7184774,11557020,2,johtuma,,el,jal,jalist,"Mater jalist ja tehnikast johtuvad probleemid on neis töödes taandunud ole muslikkust väljendava idee ees , vaimukuse ja vai mu rikkuse ees .",,,,no,,no,no,no,no
12370393,19805127,11,lülituma,,ad,palve,palvel,Sonia Gandhi ( sündinud Triestis Itaalias ) lülitus poliitikasse Kongressipartei palvel .,,,,no,,no,no,no,no
3547050,5711659,25,tegema,,ad,MM-tasand,MM-tasandil,""" Kui vähegi realistlikult asjadele vaadata , siis enam ettepoole ei anna trügida , "" hindas Kaurit , kelle sõnul teeb ta motokrossiga vähemalt MM-tasandil lõpparve .",,,,no,,no,no,no,no
2246409,3594009,27,kippuma,,ad,allakäigutee,allakäiguteel,"Just aktsiahindade hoogsa langemise ajal astus USA president Bill Clinton üleeile lennukisse ning võttis suuna Moskvasse , kus rahaturu kokkuvarisemine on juba üle elatud , samaväärsel allakäiguteel kipub olema kogu riik .",,,,no,,no,no,no,no
17035329,26181622,33,määrama,,all,ajukasvaja,ajukasvajale,"Maailma ajakirjandus pööras 236sentimeetrisele ja 180 kilogrammi kaaluvale Yao Defenile esimest korda suuremat tähelepanu tänavu juunis , kui naine läks Shanghai haiglasse , kus arstid määrasid esialgse ravi tema erakordset kasvu põhjustavale ajukasvajale .",,state,,no,"The phrase 'ajukasvajale' refers to the target of the treatment, not a location, so it is not an adverbial of place.",no,no,no,no
463246,726460,21,vastama,,ad,teade,teatel,"Peavarjuta jäänud inimeste kurtmise peale , et neil pole võimalik end pesta ega tualetis käia , vastas minister ajalehe Hürriyet teatel : "" Peske ennast meres .",,,,no,,no,no,no,no
4264829,6862260,3,oskama,,all,kvaliteet,kvaliteedile,Sealse ravi kvaliteedile ei osanud Levin hinnangut anda .,,,,no,,no,no,no,no
2686844,4310060,18,pruukima,,all,see,sellele,"Tulevane ostja peab aga arvestama seda , et laev pole siiski nii kindel elukoht kui maja ja sellele ei pruugi saada pandilaenu .",,,,no,,no,no,no,no
6200975,9958141,1,püüdma,,all,sisu,Sisule,"Sisule on autorid püüdnud leida adekvaatset vormi , mis on rahuldanud nii omanikke kui ka külastajaid .",,,,no,,no,no,no,no
12854830,20562095,3,meenuma,,ad,tulek,tulekul,EÜS-i jutuks tulekul meenub mulle ikka 1997 . aastal Postimehes toimunu .,,event,,no,,no,no,no,no
6571477,10573629,9,väsima,,el,jõulumöll,jõulumöllust,""" Tahame kutsuda inimesi , kes on väsinud jõulumöllust või kes tahaksid midagi teha , kui on vaba päev ja kuhugi loodusesse pole võimalik minna , "" rääkis Siibak .",,,,no,,no,no,no,no
5386441,8637045,4,vastama,,ad,sönu,sönul,"Abilinnapea Liisa Pakosta sönul vastas rahataotlus igati tingimusele , et linn annab reservfondist raha spordiüritustele , millel on suur publikumenu .",,,,no,,no,no,no,no
130864,219173,2,astuma,,ad,juht,juhul,Igal juhul oleme ka sellel rindel astunud Euroopasse .,,,,no,"The phrase 'juhul' refers to a condition or circumstance, not a place, so it is not classified as an adverbial of place.",no,no,no,no
9909311,15895777,1,nimetama,,el,pult,Puldist,"Puldist nimetas ta vaid seda , et kolmikliidu valitsusel on tulnud teha ebapopulaarseid otsuseid , sealhulgas koondada politseinikke .",,location,,no,,no,no,no,no
13708259,21903548,1,seletama,,all,ametivõim,Ametivõimudele,"Ametivõimudele seletas Sergei , et soovis Rootsist edasi pääseda Venemaale .",,,,no,,no,no,no,no
