text,id,label,review,text_id,las,uas,la
"Ma sattusin uimastite võrku , kaklesin , tegin asju , mida ma poleks pidanud tegema .",4002,"[{""start"": 12, ""end"": 27, ""text"": ""uimastite võrku"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,9,100.0,100.0,100.0
Oleksin võinud vangi sattuda .,4004,"[{""start"": 15, ""end"": 20, ""text"": ""vangi"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,12,100.0,100.0,100.0
"Filmi lõppedes jääb tunne , et unistus saab teoks .",4008,"[{""start"": 0, ""end"": 5, ""text"": ""Filmi"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,40,100.0,100.0,100.0
"Piisav raha on suhteline , ka väikese sissetulekuga on võimalik end mugavalt ära elatada .",4013,"[{""start"": 30, ""end"": 51, ""text"": ""väikese sissetulekuga"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,103,100.0,100.0,100.0
"“ Kurb on vaadata seda tavalist maailma , kus tegeldakse suurte muredega , kuid ei osata hinnata seda kõige olulisemat - elu ja tervist . ”",4022,"[{""start"": 57, ""end"": 72, ""text"": ""suurte muredega"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,156,100.0,100.0,100.0
"Ukrainas elab umbes 4200 eestlast , kel paraku ei ole oma kooli ja kelle keeleoskus on hääbumas .",4032,"[{""start"": 0, ""end"": 8, ""text"": ""Ukrainas"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,263,100.0,100.0,100.0
"Tegutses , kuigi klassiruumis oli vaid neli pinki ja koolis käis kokku 16 õpilast .",4036,"[{""start"": 53, ""end"": 59, ""text"": ""koolis"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,283,100.0,100.0,100.0
Enam kui kaks kolmandikku kirjadest sisaldab abipalveid ja on tulnud meeleheitlikus olukorras peredest .,4047,"[{""start"": 69, ""end"": 102, ""text"": ""meeleheitlikus olukorras peredest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,385,100.0,100.0,100.0
"Ta kirjutab ( kirjaviis muutmata ) : “ Eesti tulevik sõltub siiski lastest , mite riigi ametnikude reisidest ja puhkustest .",4052,"[{""start"": 67, ""end"": 74, ""text"": ""lastest"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,428,100.0,100.0,100.0
"Modifitseeritud organismid võivad levida , muteeruda ja ristuda looduses esinevatega .",4063,"[{""start"": 64, ""end"": 72, ""text"": ""looduses"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,575,100.0,100.0,100.0
Tagajärjeks on vastupidiselt ootustele sealsete põllupidajate veelgi süvenev vaesumine .,4069,"[{""start"": 29, ""end"": 38, ""text"": ""ootustele"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,600,100.0,100.0,100.0
"Kukk oskas nimelt vene keelt väga hästi , ent oli selle omandanud peamiselt ilukirjandusklassika lugemise põhjal .",4078,"[{""start"": 66, ""end"": 112, ""text"": ""peamiselt ilukirjandusklassika lugemise põhjal"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,696,100.0,100.0,100.0
Kõik muu asja juurde käiv on kaup või teenus .,4093,"[{""start"": 0, ""end"": 20, ""text"": ""Kõik muu asja juurde"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,839,100.0,100.0,100.0
"Andrei igapäevane töö võib koosneda kümmekonnast erinevast teenusest : surnu riietamine , alkoholikompress , osaline või täielik balsameerimine , keha pesemine ja desinfitseerimine , näopesu ja habemeajamine ning surnu dekoratiivkosmeetika .",4096,"[{""start"": 36, ""end"": 239, ""text"": ""kümmekonnast erinevast teenusest : surnu riietamine , alkoholikompress , osaline või täielik balsameerimine , keha pesemine ja desinfitseerimine , näopesu ja habemeajamine ning surnu dekoratiivkosmeetika"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,862,100.0,100.0,100.0
"Peamiseks kodumaiseks artikliks on riidest surnusussid , mida tehakse Võrumaal .",4099,"[{""start"": 70, ""end"": 78, ""text"": ""Võrumaal"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,875,100.0,100.0,100.0
Kirstude hinnad algavad 480 kroonist .,4101,"[{""start"": 24, ""end"": 36, ""text"": ""480 kroonist"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,884,100.0,100.0,100.0
"Mustamäel asuva matusetarvete kaupluse kõrval on töökoda , kus õmmeldakse kirstude sisusid - kattelinu , patju .",4103,"[{""start"": 0, ""end"": 9, ""text"": ""Mustamäel"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,893,100.0,100.0,100.0
Need võivad olla tavalisest musterpaberist kõige peenema valge siidini .,4104,"[{""start"": 17, ""end"": 42, ""text"": ""tavalisest musterpaberist"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,894,100.0,100.0,100.0
"Kirstud on väga erineva suurusega , poolteise meetri sügavune hauakaevik aga standardne .",4113,"[{""start"": 36, ""end"": 52, ""text"": ""poolteise meetri"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,972,100.0,100.0,100.0
"Oluline on eelkõige see , et Eesti poliitikud ja riigiametnikud ilmutasid antud juhul täiesti selgelt asjatundmatust ja ebakompetentsust .",4121,"[{""start"": 80, ""end"": 85, ""text"": ""juhul"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1007,100.0,100.0,100.0
"Tuginedes ajaloolisele kogemusele eeldame , et hoiu-laenuühistud omavad regionaalpoliitilist tähtsust .",4124,"[{""start"": 10, ""end"": 33, ""text"": ""ajaloolisele kogemusele"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1023,100.0,100.0,100.0
"Sajandivahetuseks oli samalaadseid juba 17 , kuid need kuulusid mitte-eestlastele .",4125,"[{""start"": 64, ""end"": 81, ""text"": ""mitte-eestlastele"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1029,100.0,100.0,100.0
"Geograafiliselt paiknesid need kõikides Eesti linnades ja väikeasulates , mis muutis nad rahvalähedaseks ja usaldusväärseks .",4127,"[{""start"": 31, ""end"": 123, ""text"": ""kõikides Eesti linnades ja väikeasulates , mis muutis nad rahvalähedaseks ja usaldusväärseks"", ""labels"": [""syntax_ignore_entity_obl""]}]",bound,1039,100.0,100.0,100.0
