,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
203,obl,root,nmod->obl,1175,6.152798868932293,19097,4.694479064496543
272,nsubj:cop,root,root->nsubj:cop,665,11.8728798428852,5601,1.3768538116062803
251,nmod,obl,obl->nmod,655,6.72070593063821,9746,2.3957895461372622
926,nmod,obj,obl->nmod,638,10.489970404472212,6082,1.4950946049257985
718,advcl,root,conj->advcl,624,13.56521739130435,4600,1.130785133617013
201,obl,root,root->obl,526,2.7543593234539454,19097,4.694479064496543
355,conj,root,advcl->conj,489,6.791666666666667,7200,1.7699245569657593
113,nsubj,root,obj->nsubj,461,3.136054421768707,14700,3.6135959704717586
323,parataxis,root,conj->parataxis,461,13.220533409807858,3487,0.8571842958527226
717,advcl,root,root->advcl,454,9.869565217391305,4600,1.130785133617013
568,obj,root,nmod->obj,427,4.853375767219823,8798,2.1627494794701043
452,nmod,nsubj,obl->nmod,427,7.34181568088033,5816,1.4297057254601189
163,nmod,conj,conj->nmod,421,14.971550497866287,2812,0.6912538686371826
350,conj,root,ccomp->conj,343,4.763888888888889,7200,1.7699245569657593
349,conj,root,acl:relcl->conj,325,4.513888888888888,7200,1.7699245569657593
211,obl,root,obj->obl,301,1.576163795360528,19097,4.694479064496543
723,advcl,root,acl:relcl->advcl,289,6.282608695652174,4600,1.130785133617013
185,conj,nmod,nmod->conj,285,13.380281690140844,2130,0.5236026814357038
1156,obl,conj,nmod->obl,250,5.55926173004225,4497,1.1054653795381972
354,conj,root,parataxis->conj,246,3.4166666666666665,7200,1.7699245569657593
565,obj,root,nsubj->obj,232,2.636962946124119,8798,2.1627494794701043
856,nsubj:cop,conj,conj->nsubj:cop,209,18.079584775086506,1156,0.28417122053505806
356,conj,root,root->conj,202,2.8055555555555554,7200,1.7699245569657593
903,advmod,root,root->advmod,201,1.5434231743837825,13023,3.2013510424118174
328,parataxis,root,root->parataxis,197,5.649555491826785,3487,0.8571842958527226
1460,obl,acl,nmod->obl,192,5.38418395961862,3566,0.876604301408319
92,conj,obl,obl->conj,192,9.333981526494895,2057,0.505657613010912
720,advcl,root,ccomp->advcl,189,4.108695652173913,4600,1.130785133617013
900,aux,root,cop->aux,187,2.8252001812962684,6619,1.6271014781328281
1031,advcl,conj,conj->advcl,179,19.866814650388456,901,0.22148639247585405
1151,obl,conj,conj->obl,167,3.7135868356682233,4497,1.1054653795381972
1120,obl,acl:relcl,nmod->obl,166,6.1917195076464004,2681,0.6590510746146112
700,nmod,nmod,obl->nmod,165,2.3282065754197827,7087,1.7421465743356024
1871,obl,advcl,nmod->obl,163,5.0231124807395995,3245,0.7976951649102624
112,nsubj,root,root->nsubj,162,1.1020408163265307,14700,3.6135959704717586
1610,appos,nmod,nmod->appos,162,24.0,675,0.16593042721553994
109,nsubj,root,nmod->nsubj,160,1.0884353741496597,14700,3.6135959704717586
1102,obl,amod,nmod->obl,155,22.52906976744186,688,0.16912612433228366
566,obj,root,obl->obj,152,1.7276653784951124,8798,2.1627494794701043
202,obl,root,conj->obl,146,0.7645179871183956,19097,4.694479064496543
325,parataxis,root,acl:relcl->parataxis,146,4.186980212216805,3487,0.8571842958527226
329,parataxis,root,advcl->parataxis,145,4.158302265557786,3487,0.8571842958527226
257,nmod,obl,obj->nmod,143,1.4672686230248306,9746,2.3957895461372622
1821,conj,parataxis,parataxis->conj,141,9.425133689839573,1496,0.36775099128066335
904,advmod,root,compound:prt->advmod,138,1.059663671964985,13023,3.2013510424118174
16,ccomp,root,conj->ccomp,137,7.632311977715878,1795,0.44125202496576915
326,parataxis,root,ccomp->parataxis,133,3.8141669056495555,3487,0.8571842958527226
808,orphan,conj,advmod->orphan,131,27.521008403361346,476,0.11701167904384742
1413,cop,root,aux->cop,127,2.0149135332381407,6303,1.5494214559104418
531,parataxis,conj,conj->parataxis,126,20.792079207920793,606,0.14896865021128475
752,nmod,root,root->nmod,122,5.202558635394456,2345,0.5764545952895425
306,nsubj,conj,conj->nsubj,121,4.382470119521913,2761,0.6787169030253418
653,xcomp,root,obl->xcomp,121,4.430611497619919,2731,0.6713422173713178
209,obl,root,xcomp->obl,120,0.6283709483164895,19097,4.694479064496543
2332,compound:prt,root,advmod->compound:prt,118,6.666666666666667,1770,0.43510645358741584
352,conj,root,obl->conj,118,1.638888888888889,7200,1.7699245569657593
309,nsubj,conj,obj->nsubj,117,4.2375950742484605,2761,0.6787169030253418
111,nsubj,root,nsubj:cop->nsubj,117,0.7959183673469388,14700,3.6135959704717586
929,nmod,obj,obj->nmod,116,1.907267346267675,6082,1.4950946049257985
18,ccomp,root,advcl->ccomp,116,6.462395543175488,1795,0.44125202496576915
