lemma;form;naitelause;margend
Marko;Markole;tüdrukud on isa sõnul Markole hoogsalt amokki jooksnud;owner
poliitika;poliitikast;Lahkusin poliitikast aastal;loc_a
ilme;ilmel;Nüüd käib kass ilmel aias ringi;manner
Kelam;Kelamitel;raske käib Kelamitel abiks vanadaam;owner
aastavahetus;aastavahetusel;Olen aastavahetusel koolides mängimas käinud;time
tippaja;tippajal;Lahkusin ajakirjandusest ju tippajal pärast saamist;time
Kohila;Kohilas;Käisin Kohilas üritusel;loc_c
üritus;üritusel;Käisin Kohilas üritusel;event
laulutund;laulutunnis;Käime Karliga laupäeviti Musamaris laulutunnis;event
Ateena;Ateenas;Helen istub Ateenas ühisköögis;loc_c
kleidiproov;kleidiproovis;käis Barbra teadmata kleidiproovis;event
aprill;aprillis;Viimati liikus teineteise käevangus juubelipeol aprillis;time
eliitülikool;eliitülikoolides;põlvkond on koolis käinud eliitülikoolides;loc_a
autokool;autokoolis;käis siis nüüd autokoolis ära;loc_a
talu;talus;saada käis Tiina koos perega suvel talus abiks;loc_c
iseenese;iseendast;disainer astus pärast showd lavale iseendast numbrit väiksemana;loc_c
Vilsandi;Vilsandil;suvel käib ta treti Vilsandil;loc_c
kelder;keldris;siis on keldris käinud varas;loc_c
Bronx;Bronxist;poleks ma Bronxist kunagi lahkunud;loc_c
finaalvõistlus;finaalvõistlusel;Koos käisid nad finaalvõistlusel;event
telepurk;telepurgist;kes telepurgist läbi käis;loc_a
vastassugupool;vastassugupoolest;lõpuks istud iga vastassugupoolest hirmus teeb;other
Venemaa;Venemaal;Nad käisid meiega sageli Venemaal kaasas;loc_c
kord;korras;aastat tagasi käis koolitüdruk korras Eestis;other
maakodu;maakodus;hiljuti käis maakodus;loc_c
naer;naerul;Põõsast jookseb välja naerul poiss;state
Verona;Veronas;filmigrupp Veronas ringi liigub;loc_c
talveöö;talveööl;talveööl käis metsavend meil;time
korvtool;korvtoolidel;mina tüdruk istume korvtoolidel;loc_c
üksteise;üksteisest;inimesed käivad üksteisest läbi mühakad;other
kangamess;kangamessidel;Käisid hiljuti kangamessidel suundub;event
maraton;maratonidel;olen käinud maratonidel;event
ida;itta;Ta lahkus pärast võitlust vennaga itta lubades;loc_a
hoiak;hoiakule;Vaatamata hoiakule astus valitsus siiski aastal samme tulla;other
kuu;Kuul;detsembrini käis Kuul kokku meest;loc_c
valitsus;valitsuses;Pidevalt valitsuses istunud;loc_a
Narva;Narvas;Narvas ei käinud koolis;loc_c
maosein;maoseinast;Leidmata eest pisikuid ei lahku immuunrakud ometi maoseinast;loc_c
otsing;otsinguil;läks lahkus siitkandist otsinguil inimesi;manner
üldjuht;üldjuhul;mis üldjuhul rahulikult liiguvad;other
pesula;pesulas;Korra käid pesulas liitrit;loc_c
