sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
2950005,4730673,6,hääletama,,el,uuskodanik,uuskodanikest,"Ometigi hääletab enamik Iisraeli vene-heebreakeelsetest uuskodanikest radikaalsete , ilmaliku orientatsiooniga parteide poolt - peapõhjuseks on nende nõukogude või postnõukogude kasvatus ja mentaliteet .",,,,no,,no,yes,no,no,yes,actor
8974744,14429257,9,pooldama,,el,tudengikandidaat,tudengikandidaatidest,Pärast sisseastumiseksameid kuni aastaks armeeteenistusse minekut ei poolda tudengikandidaatidest peaaegu keegi .,,,,no,,no,yes,no,no,yes,actor
9453854,15180681,7,lugema,,el,juut,juutidest,"Juudi keelt lugesid oma emakeeleks 61% juutidest , ukraina keelt tunnistasid 40% ukrainlastest ja valgevene keelt 22,8% valgevenelastest .",,alive,,no,"The phrase 'juutidest' refers to a group of people ('of Jews') rather than a specific location, so it is not classified as adverbial of place.",no,yes,no,no,yes,actor
355575,549627,12,mäletama,,el,mees,mehest,Pool sajandit tagasi pool aastat abielus olnud proua ei mäleta enam mehest suurt midagi .,,,,no,,no,yes,no,no,yes,actor
845,1540,10,abielluma,,el,ise,endast,"Kuuldes , et läheb peagi mehest lahku , abiellub endast palju noorema mehega ja sünnitab veel poja , ei langenudki ta minestusse .",,,,no,,no,yes,no,no,yes,actor
448817,702560,10,lükkama,tagasi,el,kommunist,kommunistist,"Ukrainlased lükkasid piisavalt suure ülekaaluga püha-päevases teises valimisvoorus tagasi kommunistist riigipeaks pürgija , eelistades viimaste aastate majandusraskustele vaatamata anda veel ühe võimaluse senisele presidendile .",,alive,,no,,no,yes,no,no,yes,actor
12816934,20503060,5,uskuma,,el,ajakirjanik,ajakirjanikest,"McCaini sõnul uskusid ta ajakirjanikest tuttavad , et ta oskaks oma kogemuste najal julgustada neid ameeriklasi , kes kardavad kõrghooneid ja lennukiga lendamist ega tunne ennast enam õieti kuskil turvaliselt .",,alive,,no,,no,yes,no,no,yes,actor
10291671,16515929,9,sõltuma,,el,Kogani,Koganist,"Teie seisukoht opositsiooniliidrina on siis , et sõltub Koganist , kas Tallinna võimuliitu tehakse ühtede või teiste parteide vahel ?",,,,no,,no,yes,no,no,yes,actor
10469162,16788903,4,püsima,,el,tõusja,tõusjatest,"Viimase aja suurtest tõusjatest püsis kõige kindlamalt  Tallinna Farmaatsiatehase  aktsia , mille sulgemishind jäi päev varasemaga praktiliselt samale tasemele .",,,,no,,no,yes,no,no,yes,actor
1207096,1919728,5,surema,,el,haavatu,haavatutest,"RIA teatel suri üks haavatutest eile hommikul haiglas , mis teeks ohvrite koguarvuks kaheksa , veel kuni kümne vigastatu seisund on väga tõsine .",,alive,,no,,no,yes,no,no,yes,actor
6729182,10825176,11,tundma,,el,arst,arstist,""" Kalinina möönis siiski , et sünnitusosakond tunneb puudust ühest arstist .",,alive,,no,,no,yes,no,no,yes,actor
16182685,25097896,7,nimetama,,el,nõunik,nõunikest,Õiguskantsleri ettepanekul nimetab Riigikogu ühe õiguskantsleri nõunikest tema asetäitjaksnõunikuks .,,alive,,no,,no,yes,no,no,yes,actor
3384316,5446435,18,pajatama,,el,marssal,marssalist,"Kolmapäeval linastuv kahetunnine vestern "" Blueberry , salajane kogemus "" pajatab indiaanlaste maailmaga tuttavaks saanud Palomito linna marssalist Mike Blueberryst , kes püüab säilitada ebakindlat tasakaalu kahe tsivilisatsiooni vahel .",,alive,,no,,no,yes,no,no,yes,actor
15263654,23839800,6,hoolima,,el,Vova,Vovast,"Karin tunnistab , et hoolib Vovast .",,,PER,no,,no,yes,no,no,yes,actor
7630664,12240239,19,töötama,,el,miljonär,miljonäridest,Texase A & M ülikoolis on geneetikud 1997. aastast alates töötanud kolli ja laika ristandi Missy kloonimise kallal miljonäridest abielupaarile ja arvatavasti kannavad praegu vähemalt seitse koera kloonitud embrüoid .,,alive,,no,,no,yes,no,no,yes,actor
13681933,21862188,5,langetama,,el,eksminister,eksministritest,Rahvas langetas oma kohtuotsuse eksministritest saadikute Arja Alho ja Kauko Juhantalo üle .,,alive,,no,,no,yes,no,no,yes,actor
8747132,14041300,6,kubisema,,el,tegija,tegijatest,Kohalike valimiste nimekirjad kubisevad vanadest tegijatest,,,,no,,no,yes,no,no,yes,actor
3368114,5418925,9,surema,,el,perekond,perekonnast,"Ramone suri magades oma Los Angelesi kodus ümbritsetuna perekonnast ja sõpradest , ütles tema pressiesindaja .",,,,no,"The phrase 'perekonnast' identifies the people present, not a location, so it is not an adverbial of place.",no,yes,no,no,yes,actor
4924986,7907525,12,olenema,,el,kasutaja,kasutajast,"Aeg on ja oli antud kõigile üks - kõik oleneb alati kasutajast , täpselt nagu tänagi .",,alive,,no,,no,yes,no,no,yes,actor
8171701,13117258,10,arvama,,el,Tiiu,Tiiust,"( Seal vasakus servas rääkisid inimesed , mida nad Tiiust arvavad . )",,,PER,no,,no,yes,no,no,yes,actor
3375663,5431662,6,pajatama,,el,poiss,poisist,Kristiina Kass pajatab jälle Lauri-nimelisest poisist ja tema enadepäeva kingist .,,,,no,,no,yes,no,no,yes,actor
