sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,classification,explanation,classification2,explanation2,timex_tag,ekilex_tag,ner_tag
10591726,16977822,13,süütama,,in,foor,fooris,"Nimelt olid algul autod eri värvi , kuid FIA süütas selles küsimuses fooris punase tule .",no,"The phrase 'fooris' indicates a traffic light, which is not a location but a device or object.",no,"The phrase 'fooris' refers to a specific object (traffic light) and not to a general location, so it is not adverbial of place.",,,
10492061,16823506,11,võimutsema,,in,lõpp,lõpus,Taani raskerokibändid Mercyful Fate ja King Diamond võimutsesid eelmise nädala lõpus ööklubis Dekoltee .,no,lõpus indicates a temporal reference ('at the end') and not a location.,no,"The word 'lõpus' refers to time rather than a place, so it is not classified as adverbial of place.",,,
8094438,12989056,4,koolitama,,in,magistriõpe,magistriõppes,Tõlke koolitavad Eestis magistriõppes Tallinna Pedagoogikaülikool ( TPÜ ) ja Tartu Ülikool .,no,"The phrase 'magistriõppes' refers to a type or level of education, not a physical location.",no,"The phrase 'magistriõppes' refers to 'in master's studies', which indicates a type or mode of education rather than a specific location, so it is not an adverbial of place.",,,
15214119,23755960,6,lamama,,in,kumama,kumas,"Ruumi kaugemais nurgas lamas hõbedases kumas loom , tema pea oli nukralt norgus ja tema suured pruunid silmad keerasid ükskõikselt tulijate poole .",no,"The word 'kumas' refers to a glow or shimmer, which is not a physical location.",no,"The phrase 'kumas' describes the quality of light or atmosphere, not a specific location, so it is not classified as an adverbial of place.",,,
8277559,13276604,16,kaevama,,in,jope,jopes,"Inimesed olevat näinud , et reedel kella 16 – 18 paiku kaevas üks keskealine pruunis jopes mees labidaga alajaama lähedal maad .",no,"jopes was classified as 'no' because it refers to a piece of clothing, not a location.",no,"The phrase 'jopes' refers to the coat the man is wearing, which describes his appearance and not a location, so it is not adverbial of place.",,,
3632527,5849844,5,kostma,,el,draamateos,draamateosest,"Kui pähesööbinud repliigid tuntud draamateosest saalist kostavadki , siis vaid selleks , et anda publikule väike vihje , mis teema ja motiiviga parasjagu tegu on .",no,The word 'draamateosest' refers to a literary work (a drama) and not a physical location.,no,"The phrase 'draamateosest' is not an adverbial of place because it indicates the source of content, not a location.",,,
16748881,25772848,6,jalutama,,in,kontorikostüüm,kontorikostüümis,"Londoni vilkal äritänaval jalutab kallis kontorikostüümis naisterahvas , kaenla all mapp ja telefon kõrva ääres .",no,"'kontorikostüümis' refers to attire, not a location, so it's classified as 'no'.",no,The phrase 'kontorikostüümis' is not an adverbial of place because it describes attire and not a physical location.,,,
12812557,20496126,5,kasvama,üles,in,muusika,muusikas,Me vennaga kasvasime selles muusikas üles .,no,The phrase 'muusikas' was not classified as a location because it refers to music and not a geographic location.,no,"The phrase 'muusikas' describes the metaphorical environment or context ('in the music') rather than a physical location, so it is not adverbial of place.",,,
17288890,26535201,10,ronima,,all,700,700'le,"Ma pigem usun , et see tibi kes ronib 700'le BMWle peale on sama loll ja samasugune rullnokk nagu sa ise .",no,"The phrase '700'le' refers to an object (a BMW), indicating possession or relation, but not a location.",no,"The phrase '700'le' refers to a specific object (a BMW), and not a location, so it is not classified as an adverbial of place.",,,
13061757,20900291,9,askeldama,,in,õhtupimedus,õhtupimeduses,Kiievi kesklinna vaikses kvartalis ühe instituudi hoovil askeldavad õhtupimeduses erariides raadiosaatjatega turvamehed .,no,"The phrase 'õhtupimeduses' refers to a time of day (darkness of evening), not a specific physical location.",no,"The phrase 'õhtupimeduses' describes the time (when the security guards are bustling), not the place, so it is not an adverbial of place.",,state,
