sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation
9344322,15008647,14,tervitama,,in,ekstaas,ekstaasis,"Tahtsin lihtsalt lõpetada ja mõned punktid saada , ” tunnistas sakslane , keda ekstaasis publik autasustamispoodiumil ovatsioonide ja raketipaukudega tervitas .",,,,no,"The phrase 'ekstaasis' was classified as not a location because it refers to an emotional state, not a physical place."
11102573,17784543,6,ravima,,in,seis,seisus,"Kaks kuud ravis perenaine armetus seisus koera , kaotamata siiski lootust .",,,,no,"The phrase 'seisus' was classified as not a location because it refers to a condition or state, not a physical place."
16252383,25172405,39,minema,ära,el,koosseis,koosseisust,"Kolm näidet , mis ma oskan öelda nende kohta , kes on ise lahkunud ( peale selle on lahkujaid ka seoses struktuuri ümberkorraldamisega , ministeeriumist on ära viidud näiteks haldusbüroo ja tehtud muid niisuguseid asju , mistõttu ministeeriumi koosseisust ära läinud isikuid on rohkem ) : näiteks Tallinna linn on saanud Haridusministeeriumist personalijuhi , kes oli töötanud ministeeriumis 13 aastat ja tahtis vaheldust ; üks daam läheb meil järgmisel nädalal Islandile mehele ; üks daam on läinud arvutiõpetajaks Rocca al Mare kooli .",,,,no,"The phrase 'koosseisust' was classified as not a location because it refers to composition or structure, not a physical place."
15500381,24205992,12,panema,,adit,hooldeprojekt,hooldeprojekti,""" Vajaduse korral panevad Veerpalu ja loodetavasti õed Šmigunid isiklikku raha hooldeprojekti , sest kehvade suuskadega kaugele ei sõida .",,,,no,"The phrase 'hooldeprojekti' was classified as not a location because it refers to a project or initiative, not a physical place."
18375902,27858061,22,ütlema,,ill,eelnev,eelnevasse,Mind lihtsalt huvitas kuidas Sa vastaksid .. neile kahele küsimusele ja ka sellele kolmandale mille Teekäija esitas .. tõesti sekkumata üldse eelnevasse kus mida keegi ütles - tahtsin teada lihtsalt mida Sina arvad v ütled selle kohta !,,,,no,"The phrase 'eelnevasse' was classified as not a location because it refers to a prior context or situation, not a physical place."
8099731,12997190,8,pöörama,,ill,langus,langusesse,"Pigem on see madal või pöörab sootuks langusesse . """,,,,no,"The phrase 'langusesse' was classified as not a location because it refers to a state of decline, not a physical place."
10060758,16137721,6,jõudma,tagasi,el,lisaraha,lisarahast,"200 miljonit ettevõtete kätte jäävast lisarahast jõuab riigile tagasi üksikisiku tulumaksuna , käibemaksuna ja aktsiisidena .",,,,no,"The phrase 'lisarahast' was classified as not a location because it refers to additional resources or money, not a physical place."
12633679,20215816,2,toimuma,,ill,krae,kraesse,Raudteelaste kraesse toimunud õnnetusi Rentiku sõnul siiski veeretada ei saa .,,,,no,"The phrase 'kraesse' was classified as not a location because it is used metaphorically to mean attribution of blame, not a physical place."
9787399,15703680,13,maanduma,,all,ema,emale,"Mõneski kultuuris tähendab öösel nähtud liblikas surma , või kui äsja sünnitanud emale maandub ööliblikas , siis sureb laps .",,,,no,"The phrase 'emale' was classified as not a location because it refers to a person (a mother), not a physical place."
2891090,4635435,3,saama,,adit,Risbiter,Risbiteri,[ Saab Risbiteri mõõga kätte .,,,,no,"The phrase 'Risbiteri' was classified as not a location because it is the name of a sword, not a physical place."
3126437,5021032,3,põrkama,kokku,in,algus,alguses,Viimase ringi alguses põrkas Tobreluts raja lahknemiskohas sloveenlasega kokku .,,,,no,The word 'alguses' refers to a point in time (the beginning) and not a specific location.
