COLLECTION	SPANSTART	TYPE	TEXT
705173	50483	O	gatty: mulle meeldib jalka rohkem kui koss , muide
705173	50483	S	Gatty : mulle meeldib jalka ,
			
180175	175	O	Pindi Kinnisvara haldusgrupi juhi Tarmo Zernanti sõnul mõjutasid tudengid tänavu Tartu korteriturgu rohkem kui kunagi varem .
180175	175	S	Pindi Kinnisvara haldusgrupi juhi Tarmo Zernanti sõnul mõjutasid tudengid Tartu korteriturgu .
			
454587	1387	O	Narva abilinnapea Elle Väli saatis kuu alguses rohkem kui pooled eesti keele õpetajad keeletaseme kontrolli .
454587	1387	S	Narva abilinnapea Elle Väli saatis kuu alguses keeletaseme kontrolli .
			
64115	5	O	Eesti Päevaleht aitas politseid piraatplaatidega äritseja kinninabimisel rohkem kui vaja .
64115	5	S	Eesti Päevaleht aitas politseid piraatplaatidega äritseja kinninabimisel .
			
668689	241028	O	Esimene , mis mulle hetkel meelde tuleb , on kuulus korruptsiooniseadus , mis selle parlamendikoosseisu esimesel perioodil parlamenti jõudis ja kuidagi edasi ei nihku , sest probleeme on selles eelnõus rohkem kui vastuseid .
668689	241028	S	Esimene , mis mulle hetkel meelde tuleb , on kuulus korruptsiooniseadus , mis selle parlamendikoosseisu esimesel perioodil parlamenti jõudis ja edasi ei nihku , sest probleeme on selles eelnõus rohkem kui vastuseid .
			
387183	2162	O	Võib julgelt väita , et eesti rahvas ei suuda anda aastas selliseid noori inimesi keskmiselt rohkem kui viis .
387183	2162	S	Võib väita , et eesti rahvas ei suuda anda aastas selliseid noori inimesi .
			
270040	356	O	Lepingu järgi on linnal võimalus saada ka täiendavat parkimistulu , kui kogu parkimistulu laekub kuu jooksul rohkem kui 1,7 miljonit krooni .
270040	356	S	Lepingu järgi on linnal võimalus saada täiendavat parkimistulu , kui kogu parkimistulu laekub kuu jooksul .
			
659710	157	O	“ Aasta tagasi oli ELi toetajaid maal palju vähem kui linnades .
659710	157	S	“ Aasta tagasi oli ELi toetajaid maal vähem kui linnades .
			
252449	2158	O	Novembrikuus arvas veidi rohkem kui pool soomlastest , et neid isiklikult töötus ei ähvarda .
252449	2158	S	Novembrikuus arvas , et neid töötus ei ähvarda .
			
450280	743	O	“ Näiteks kaks peol viibinud Islandi suurärimeest annetasid kumbki rohkem kui 100 000 krooni . ”
450280	743	S	“ kaks peol viibinud Islandi suurärimeest annetasid kumbki . ”
			
3275	1038	O	Pettunuid oli vähem kui kunagi varem viimase viie aasta jooksul .
3275	1038	S	Pettunuid oli vähem kui varem viimase viie aasta jooksul .
			
13628	576	O	Tema sõnul vajaks põhjalikku remonti kogu Pika jala äärne linnamüür , sest müüri parandati viimati rohkem kui 30 aastat tagasi .
13628	576	S	Tema sõnul vajaks põhjalikku remonti kogu Pika jala äärne linnamüür , sest müüri parandati .
			
459415	2082	O	Polaris viitas varakindlustuse üldtingimustele ning firma üldistele kindlustustingimustele , mis lubab Polarisel hüvitada mitte rohkem kui kahjusumma suurus .
459415	2082	S	Polaris viitas varakindlustuse üldtingimustele ning firma üldistele kindlustustingimustele , mis lubab Polarisel hüvitada .
			
369326	624	O	Teatamistähtaeg on lühem kaupade puhul , mille vedu kestab vähem kui ühe ööpäeva .
