verb,verb_compound,morph_case,classification2,sentence_id,head_id,head_loc,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,is_abstract
kommenteerima,,el,UNK,15349472,23974102,18,otsus,otsusest,""" Arvan , et Murutar oleks saate juhtimisega ka üksi suurepäraselt toime tulnud , "" kommenteeris Murutari otsusest teha saadet koos Tammeriga Pihlamägi .",,,,no,"The phrase 'otsusest' refers to the decision, which is an abstract concept and not a location, so it is not classified as an adverbial of place.",no,no,no,no,no
kommenteerima,,el,UNK,1278042,2031361,8,saavutamine,saavutamisest,Palestiinlased ei ole veel Iisraeli teadet kokkuleppe saavutamisest kommenteerinud .,,,,no,"The phrase 'saavutamisest' refers to an action or process, not specifying any place, so it is classified as 'no'.",no,no,no,no,no
kommenteerima,,el,UNK,4168369,6708738,14,säilitamine,säilitamisest,Mihhail Petrov kommenteeris Euroopa vene kogukondade nõukogu poolt Riias esitletud Vene doktriini rahvuse säilitamisest .,,,,no,"The phrase 'säilitamisest' was not classified as an adverbial of place because it does not describe a location or spatial relation; instead, it relates to the concept of preservation.",no,no,no,no,no
kommenteerima,,el,actor,5360794,8598798,1,kohalolija,Kohalolijatest,"Kohalolijatest kommenteeris Office'i eestikeelsust Megale tehnokratt Peeter Marvet , kes süüdistas riiki ühtse eestikeelse arvutiterminoloogia välja töötamata jätmises .",,alive,,no,"The phrase 'Kohalolijatest' refers to attendees or participants present at a location, but it does not describe a specific place, so it is not classified as an adverbial of place.",no,yes,no,no,no
kommenteerima,,el,actor,11398301,18265871,18,kaasmaalane,kaasmaalasest,""" Kui teaksin , millega ta üllatab , siis see poleks enam üllatus , "" kommenteeris Goes kaasmaalasest kolleegi sõnu .",,alive,,no,"The word 'kaasmaalasest' indicates a relationship or origin and does not refer to a physical place, so it is not an adverbial of place.",no,yes,no,no,no
kommenteerima,,el,actor,6212784,9977923,28,sumokuulsus,sumokuulsusest,""" Ma näen nüüd kõike oma silmaga ja see on hämmastav - hoopis teine asi kui ajalehest lugeda , "" kommenteeris eile õhtul Jaapanis pilvelõhkuja 21. korrusel sumokuulsusest pojaga koos aega veetnud Tiina Pudel .",,,,no,The phrase 'sumokuulsusest' is not classified as an adverbial of place because it refers to a person or status rather than a location.,no,yes,no,no,no
ajama,,el,UNK,10017647,16069510,10,keskmine,keskmisest,"Toompeal , Kadriorus ja muudes riigilossides ajavad meie asju keskmisest enamasti jõukamad inimesed .",,,,no,"The phrase 'keskmisest' was not classified as adverbial of place because it implies comparison, not location.",no,no,no,no,no
ajama,,el,UNK,11259903,18044651,4,miski,millestki,( Ainuüksi mõte millestki nii võikast ajab « Lihtsa elu » piigadel ihukarvad püsti . ),,,,no,"The phrase 'millestki' is not describing a location but rather something abstract, so it is not an adverbial of place.",no,no,no,no,no
ajama,,el,UNK,8043117,12909667,10,lahkam,lahkamist,Seetõttu ei aja ta lõpuks kõikidele eksistentsialistidele lähedaste probleemide lahkamist liiga keeruliseks ( nagu Heidegger ) .,,,,no,"The phrase 'lahkamist' refers to the act of dissecting or analyzing rather than designating a location, so it is not an adverbial of place.",no,no,no,no,no
ajama,,el,UNK,7729701,12392976,24,faktor,faktorist,"Prognooside koostamise aluseks on informatsioon põhjavee seisundi looduslikest muutustest , mis sõltuvad geoloogilisest ehitusest , asendist reljeefis ja meteoroloogilistest tingimustest kui ajas muutuvast faktorist .",,,,no,"The phrase 'faktorist' refers to a factor and not a specific location, so it is not classified as an adverbial of place.",no,no,no,no,no
ajama,,el,UNK,3150871,5059586,14,aru,arust,"Midagi pole parata , Toomas Kall on kirjanik , isegi kui ta omast arust pada ajab ja tarbeteksti toodab .",,,,no,"The phrase 'arust' refers to a personal perspective or opinion, not a location, so it is not adverbial of place.",no,no,no,no,no
ajama,,el,loc,12312694,19712375,21,kõlar,kõlarist,"Aga sõidame liinibussiga ja tahame süveneda raamatusse või oma mõtteisse ja siis ajavad õhu vastikult pinevaks pealetükkivad helid pea kohalt kõlarist , jänesediskot mõnest kohalikust mölaraadiost või kalamehelaule haibitud kassetilt .",,,,yes,"The phrase 'kõlarist' indicates the location from which the sounds come, making it adverbial of place.",,,,,
ajama,,el,loc,6410099,10304601,29,pung,pungadest,"Vastupidiselt eelmisele suvele , mil põuakuumus hulgaliselt puid ja taimi närtsitas , on tänavune paarinädalane soojus hoopis positiivselt mõjunud talveperioodil soola- ja külmakahjustusi saanud puudele , mis uinunud pungadest usinasti uusi kasvusid ajavad .",,,,yes,,,,,,
ajama,,el,loc,17009281,26146236,62,Eestimaa,Eestimaast,"Seesinane tatari päritoluga isand Šatarov , Vene Riigiduuma , õieti Moskva duuma liige olevat Moskva küllaltki energilise ja ambitsioonika linnapea Luškovi poolt nagu pandud või sattunud kureerima Baltikumi , eeskätt Eesti küsimust , aga kõik meie Riigikogus olevad vene saadikud , tähendab Riigikogu liikmetest kolleegid ütlevad , et Šatarov on neile tundmatu ja nemad ajavad Eesti asja siin kohapeal lähtuvalt ikkagi Eestimaast jne.",,location,,yes,,,,,,
ajama,,el,loc,4676229,7513549,10,postkast,postkastidest,"Valvas majaelanik võttis vahele Rapose postiljoni , kes võõraist postkastidest lehti oma kotti ajas .",,,,yes,,,,,,
ajama,,el,loc,927958,1478263,20,luuletajamina,luuletajaminast,"Kui luuletusi nende ajalises järjepidevuses edasi lugeda , süveneb veendumus ajas üha enam avanevast , väga haavatavast ja tundlikust luuletajaminast .",,,,yes,,,,,,
alistuma,,all,UNK,21121367,29933150,9,norm,normidele,marco: sa oled nõrk ja alistud ühiskonna normidele,,,,no,"The phrase 'normidele' refers to societal norms, which are conceptual and not physical locations, so it is not an adverbial of place.",no,no,no,no,no
alistuma,,all,UNK,4674030,7510518,13,kogusumma,kogusummale,"Ta ponnistas visalt vastutuult murdes , alistus ajaga 2.10 , 35 naiskonna senise liidri kogusummale napilt , kuid tõusis kolmandale kohale .",,,,no,"It was classified as 'no' because 'kogusummale' refers to the total amount, not a location.",no,no,no,no,no
alistuma,,all,UNK,1904743,3034924,13,nõudmine,nõudmistele,"Holbrooke painutas teised riigid kiiresti Ameerika eesmärkidele , mitte ei alistunud nende nõudmistele , milleks USA välisministeerium näib nüüd Kosovo asjus valmis olema .",,,,no,"The phrase 'nõudmistele' refers to demands rather than a physical place, so it is not an adverbial of place.",no,no,no,no,no
alistuma,,all,UNK,7460855,11976965,3,see,sellele,"Oleme alistunud sellele tõsiasjale , et kõik uudiskaubad ja -teenused õllest-jäätisest üritusteni kannavad millegipärast millenniumi nime .",,,,no,"The phrase 'sellele' refers to an object or concept ('that'), not a location, so it is not an adverbial of place.",no,no,no,no,no
alistuma,,all,UNK,2174471,3474403,28,tahe,tahtele,"Ühel pool veel 21-aastane äraolevalt süüdimatu , kogenematu ja vahel koguni lapsikult trotslik Thomas Anders ( 1.03.1963 ) , kes alistus täielikult oma jäigalt enesekeskse naise Nora tahtele .",,,,no,"The phrase 'tahtele' refers to 'will' or desire and does not imply a location, so it is not adverbial of place.",no,no,no,no,no
alistuma,,all,loc,2858201,4583162,18,hiinlanna,hiinlannadele,"Nad kasutasid ära poolfinaalis teist aega näidanud sakslannade Julia Lapke ja Carina Bari nõrkuse ning alistusid vaid hiinlannadele Rui Xule ja Yangyang Zhangile , kes on jõudnud tänavu ka täiskasvanute MK-etapil kuue parema hulka .",,alive,,yes,,,,,,
alistuma,,all,loc,1830632,2913861,20,hoolealune,hoolealustele,Ainult neli päeva Eesti jalgpallikoondist ohjanud Arno Pijpers tegi eile uues ametis eduka debüüdi - Kõrgõzstan alistus Kuressaares tema hoolealustele 0 : 1.,,alive,,yes,,,,,,
alistuma,,all,loc,4335699,6974834,7,TUL,TULile,Spordiselts Kalevi alistus kreeka-rooma maadluses Soome TULile 4 : 6.,,,ORG,yes,,,,,,
alistuma,,all,loc,12624798,20201959,5,Keila,Keilale,Canon Eesti noortemeeskond alistus Keilale 59 : 63 ( 33 : 31 ) .,,location,LOC,yes,,,,,,
alistuma,,all,loc,898659,1431866,12,Inter,Interile,"FC Lahti alistus kodus Tampere Unitedile , Kotka TP Turus sealsele Interile .",,,ORG,yes,,,,,,
alluma,,all,UNK,8293799,13298574,8,hüdrolüüs,hüdrolüüsile,Proteiin nagu ka süsivesikud alluvad vatsas mikrobiaalsele hüdrolüüsile .,,,,no,"The phrase 'hüdrolüüsile' refers to a process (hydrolysis) rather than a place, so it is not an adverbial of place.",no,no,no,no,no
alluma,,all,UNK,7275935,11695698,6,lagunemisprotsess,lagunemisprotsessidele,"Taime- ja loomajäänused mullas alluvad lagunemisprotsessidele , mille tagajärjel osa orgaanilist ainet mineraliseerub , osa aga kasutatakse mikroorganismide vahendusel uute orgaaniliste ainete – huumusainete – moodustamiseks .",,,,no,The phrase 'lagunemisprotsessidele' refers to processes and does not specify or describe a place.,no,no,no,no,no
alluma,,all,UNK,2575897,4133512,8,Rahvusvaheline,Rahvusvahelisele,"Soome ajaleht Helsingin Sanomat kahtlustab , et Rahvusvahelisele Suusaliidule ( FIS ) allunud labor lahjendas tahtlikult 2001. aasta Lahti MM-võistluste eel suusatajailt võetud vereproove .",,,ORG,no,"The phrase 'Rahvusvahelisele' is not an adverbial of place because it refers to an organization or entity, not a location.",no,no,no,no,no
alluma,,all,UNK,10647119,17064483,7,keeleseadus,keeleseadustele,Firmade logod ei allu ühegi riigi keeleseadustele .,,,,no,"The phrase 'keeleseadustele' specifies laws rather than a location, so it is not an adverbial of place.",no,no,no,no,no
alluma,,all,UNK,65493,112488,5,distsipliin,distsipliinile,"Kui juba erakonna liige distsipliinile ei allu , mida siis oodata erakonna satelliitidelt ?",,,,no,The phrase 'distsipliinile' is classified as 'no' because it refers to discipline and not to a physical or conceptual location.,no,no,no,no,no
alluma,,all,loc,3644100,5868623,1,armeegrupp,Armeegrupile,Armeegrupile allus ka Wehrmacht'i XXVI armeekorpus .,,,,yes,,,,,,
alluma,,all,loc,14258854,22634317,11,Jordaania,Jordaaniale,Kuni 1967 . aasta sõjani kuulus Ida-Jeruusalemm Läänekalda koosseisu ning allus Jordaaniale .,,location,LOC,yes,,,,,,
alluma,,all,loc,1004503,1599818,15,ametikoht,ametikohale,"Uue struktuuri kohaselt juhivad toimetuse tööd vastutavad toimetajad , kes alluvad otse uuele ühendatud ametikohale ehk AS ETA juhatajale .",,,,yes,,,,,,
