form|lause|classification
NONE
7000rpm'ist|Jutt vist käis 7000rpm'ist ?|NONE
Aleksanderplatsil|Enne 11. septembrit kõnelesidki sotsiaaldemokraadid selle variandi võimalikkusest , aga pärast seda päeva hakkasid endised kommunistid - kellel niigi Ameerika ja NATO vastane maine - ainukesena suurt rahuparteid mängima ning käisid siniste lipukeste ja valgete rahutuvidega Aleksanderplatsil marssimas .|LOC
BBVst|1994 lahkus ta BBVst , et asuda tegevjuhina tööle Banco Central Hispanos , mis teatas oma kasumite kukkumisest .|NONE
C-sektoris|Kui teangi võistluse ajal , et poeg istub C-sektoris , siis vaevalt see kuulitõuketehnikat parandab , tõi Nool näite .|LOC
NONE
NONE
Laenutuspunktis|Laenutuspunktis endas liigub lausa katkematu kliendivool - on ehitushooaeg .|LOC
Nagano-võistkonnale|Kuigi eilset jõuproovi olümpiakoondise katsevõistlusena ei arvestatud , astus Kurg pika sammu Nagano-võistkonnale lähemale .|NONE
Novatoursis|Et Novatoursis käib praegu uue hooaja reiside kampaaniamüük , uputasid vihased ja nõutud kliendid niigi tööga koormatud klienditeenindajad kõnedega täiesti üle või vastupidi - liinid olid kinni ning ühenduse saamine osutus võimatuks .|NONE
Nõugastel|Nii käibki praegu Nõugastel hoopis remont ja ettevalmistus uueks hooajaks .|LOC
Smuulil|Teatriajaloo aspirandina käisin 1967. aasta suvel Koguvas Smuulil külas , et küsitleda teda ta näidendite sünnilugude ja tegelaste prototüüpide kohta .|NONE
Surfer's|Käisin igal pool , Surfer's Paradise'ist Sydney ooperiteatrini .|NONE
Svalbardilt|Elu lahkub Svalbardilt — Külmalt rannikult .|LOC
Waltherist|Juhuslikust lasust hoolimata ei hakanud Torger püstoli töötamise põhimõtteid siiski täpsemalt selgeks tegema ning järgmisel päeval käis ta ühes metsatalus Waltherist märki laskmas .|NONE
Wyongis|1994 jooksis hurt Star Title Austraalias Wyongis 400 jardi ( 366 m ) ajaga 19,57 , seega keskmise kiirusega 67,32 km/h .|LOC
Zavodis|Käin Illusioonis või istume Zavodis või üldse kuskil oma pleisi peal .|LOC
aolinnas|araabia rändur , kes käis Hedeby aolinnas praeguse Schleswigi lähedal 950. aastal , kirjutas , et sealsed naised toonisid silmanurki musta värviga .|LOC
arhitektuuriinstituudis|Seepärast pelgab ta , et see töö pole tema jaoks , ehkki ta on õppinud Moskva arhitektuuriinstituudis .|LOC
blizzconidel|need inimesed , kes on blizzconidel käinud jne on kah saanud ...|NONE
cielile|rapdog: cielile meeldivad loomad eriti koer nagu mulle|NONE
dennises|ma käin dennises 6-ndat aastat|LOC
dollari-korrespondentkontolt|Teisel korral liikusid 10 000 000 USA dollarit PEPi dollari-korrespondentkontolt Bankers Trust Cos minema 30. novembril 1993.|NONE
eriõppusel|“ Millenniumi mõõtu hiigellaevu ei sildu Tallinna sadamates just iga päev ja seepärast käisid lootsid kevadel Kopenhaageni mereinstituudis eriõppusel , kus mängisid kruiisilaeva saabumise arvutitel läbi , ” selgitas ASi Tallinna Sadamas turundusjuht Erik Sakkov .|NONE
escape's|Liisz|unemaailm: käisid escape's ?|LOC
formeeritavasse|Detsembris astus ta formeeritavasse 2.|NONE
hingevahes|Aga mõte jooksis neil küll samas hingevahes kui igas lauses armastust ja mittearmastust , tõde ja vale kaalunud kirjanikul endal .|NONE
inlitel|plix15: jeesus kristus poti pjal istus inlitel pyxe mah akiskus et suhu hakata andma|NONE
ispelli-sõnastikust|TÕenäoliselt käib jutt Pearu Petersoni ispelli-sõnastikust .|NONE
NONE
jopestiilile|Iseasi , kuidas soonik konkreetsele jopestiilile istub .|NONE
kaVenemaale|Nafta liigub kaVenemaale|LOC
kehaval|paps: sitad pildid mul seal rates ga käib küll kehaval ajal|NONE
"""kiljates"|” Kui ema hommikul töölt saabub , jooksevad lapsed talle kiljates ja sädistades vastu : “ Emme !|"NONE"""
kinnisvaraotsinguil|33aastane Victoria on alates jaanuarist , kui selgus Beckhami üleminek L.A. Galaxysse , mitu korda Californias kinnisvaraotsinguil käinud .|NONE
Komsomoli-koosolekul|Komsomoli-koosolekul olen elus käinud vaid ühe korra , mõtlesin , et issand jumal , elame kahekümnendal sajandil ja tegeleme selliste lollustega !|NONE
kriisitendentsist|113 Järgnev väärib käesoleva analüüsi huvides tsiteerimist ( jutt käib Kaarle Tuori esitatud kolmest kriisitendentsist õiguses - õiguse sisemise ratsionaalsuse , õiguse objekti ja legitiimsuse kriisist ; tsitaat osutab niisiis probleemile õiguse objektist ) :|NONE
Kruupingil|Kruupingil istus minu nukk Mann , keda ma õhtuti kartsin .|LOC
kullos|peale selle käin kullos neljandat aastat ' joonistamine/maalimine ' kunstiringis ja olen ka 4 suve ühe kuntsnikku käe all õppinud .|LOC
Lastemängu-jaamas|Lastemängu-jaamas käib linnaosavalitsuse andmeil kuus korda nädalas iga päev paarkümmend last , et seal koos eakaaslastega mängida asjadega , mida kodus pole .|LOC
NONE
läbirääkimis|Paide Piima ostumüügijuhi Linnart Laimetsa sõnul käivad läbirääkimis= ed Venemaa esindajatega , kellest uue liini avamisel olid kohal Peterburi suuremad hulgifirmad Artis , Slobodka-Matissa ja Buteron .|NONE
masšuudil|+merilin: ega sa tartu tln masšuudil ei liigu ?|NONE
megailus|Knight17_AFK: viimati käisin talvel seal siis oli ikka megailus rsk :P|NONE
metallilaos|Transpordiameti üks põhjendus piirangu sisseseadmiseks oli Draamateatri , Estonia teatri ja Reaalkooli juhtide taotlus , milles väideti , et taksojuhid käivad Estonia metallilaos urineerimas .|LOC
milleast|kena_plix: milleast jutt käib|NONE
mujalt-Eestist|Presidendiks sobib pigem see , kes on suutnud endale kodu rajada ning riigikogu liige peaks oma korteri eest ise maksma nagu seda teevad kõik mujalt-Eestist Tallinnasse tööle käivad inimesed .|LOC
märgmõõturis|Kuivmõõturi all on tiivik ja skaala pole vees , märgmõõturis käib aga vesi läbi mõõturi .|NONE
"""nelipühikirikus"|""" Algul käisime nelipühikirikus , soos sai mormoonide juures käidud , aga nüüd oleme vennastekoguduse Peeteli kirikus , "" loetleb Pille ."|"LOC"""
NONE
nägemiskontrollis|Mõlema kodu lapsed käisid paari – kolme kaupa Norman Optika optometristi Katrin Aneti juures nägemiskontrollis .|NONE
"""omavolilistelt"|TALLINN , 15. juuni ( EPLO ) - Pühapäeval tabasid politseinikud teisipäeval vanglatööstuse välistööde brigaadist Laitsest omavolilistelt lahkunud kinnipeetava Vladimir Ivanovi .|"NONE"""
padajale|Suu oli tal paokil ja ila jooksis suunurgast padajale .|NONE
Papademos|Papademos , kelle nimetamine kiidetakse ilmselt heaks täna EL-i välisministrite kohtumisel Luxembourgis , astub sel kuul ametist lahkuva prantslase Christian Noyeri asemele .|NONE
pasteerimas|Poisid tunnistavad , et rangete karistuste kartusest nad öösiti tüdrukuid pasteerimas ega kiusamas pole käinud .|NONE
politseiparklas|Hamiltoni auto konfiskeeriti kohe pärast rikkumist ja politseiparklas käis sellel järel vormeliässa sõber .|LOC
