collectionID	sentenceStart	changed	changes	original	short
667201	771680	1	"{""amod_det"": 1}"	Kas riiklikku registrisse kande tegemisel peaks kande tegijal olema mingisugune kõrgendatud vastutus kande täiuslikkuse ja täpsuse eest , võrreldes näiteks mingisuguse teise ametkondliku andmebaasiga ?	Riiklikku registrisse kande tegemisel peaks kande tegijal olema mingisugune kõrgendatud vastutus kande täiuslikkuse ja täpsuse eest , võrreldes mingisuguse teise ametkondliku andmebaasiga ?
705056	186829	0	{}	mrt: Lebit , Ülo , Kalle , Ruudolf .. või kes iganes	Mrt : Lebit , Ülo , Kalle , Ruudolf .. või kes
553256	290	0	{}	Ajalehed ei peagi ju olema samanäolised .	Ajalehed ei peagi olema samanäolised .
448136	4391	1	"{""root_obl"": 1, ""cop_aux"": 1, ""acl_root"": 1, ""nsubj:cop_obj"": 1}"	Ainuüksi Tallinnas on väliseestlastele tagastatud sadu maju .	Tallinnas on väliseestlastele tagastatud sadu maju .
602777	461	0	{}	Ka on sealt kevaditi keeruline lund ära lükata .	On keeruline lund ära lükata .
632345	0	0	{}	PROTOKOLL , millega kohandatakse ühelt poolt Euroopa ühenduste ja nende liikmesriikide ning teiselt poolt Eesti Vabariigi vahelise assotsiatsiooni loomist käsitleva Euroopa lepingu kaubandusaspekte , et võtta arvesse Austria Vabariigi , Soome Vabariigi ja Rootsi Kuningriigi ühinemist Euroopa Liiduga ja põllumajandusläbirääkimiste Uruguay vooru tulemusi , sealhulgas kehtiva sooduskorra täiendusi	PROTOKOLL , millega kohandatakse ühelt poolt Euroopa ühenduste ja nende liikmesriikide ning teiselt poolt Eesti Vabariigi vahelise assotsiatsiooni loomist käsitleva Euroopa lepingu kaubandusaspekte , et võtta arvesse Austria Vabariigi , Soome Vabariigi ja Rootsi Kuningriigi ühinemist Euroopa Liiduga ja põllumajandusläbirääkimiste Uruguay vooru tulemusi , kehtiva sooduskorra täiendusi
471947	618	0	{}	Jääb järele kaks võimalust : nad kas ei söanda endale vastutust võtta või pakub neile rahuldust vaid poliitikamäng ise .	Jääb järele kaks võimalust : nad ei söanda endale vastutust võtta või pakub neile rahuldust poliitikamäng ise .
705048	1071307	0	{}	Olen kuulnud -nii nagu kindlasti teiegi - , et salakõrtsid on olemas .	Olen kuulnud - teiegi - , et salakõrtsid on olemas .
442544	767	0	{}	Esindaja keeldus ütlemast , milliseid samme on astutud lehekülje sulgemiseks , kuid tõenäoliselt tegelevad sellega USA võimud .	Esindaja keeldus ütlemast , milliseid samme on astutud lehekülje sulgemiseks , kuid tegelevad sellega USA võimud .
3587	2254	0	{}	Samuti peab arvestama teenuste kvaliteedi , planeerimise ja identifikaatoritega .	Peab arvestama teenuste kvaliteedi , planeerimise ja identifikaatoritega .
705227	72269	0	{}	sirts_: IVO : mina ju olin 33	Sirts_ : IVO : mina olin 33
186028	815	0	{}	""" Eile öeldi : kui ees ootab grupifinish , toetatakse mindki ."	""" öeldi : ootab grupifinish , toetatakse mindki ."
677492	579	0	{}	« Viimane veerandaeg algamas , polnud enam midagi kaotada .	« Viimane veerandaeg algamas , polnud midagi kaotada .
612041	255	1	"{""cop_root"": 1, ""nmod_nsubj:cop"": 1, ""obl_nmod"": 1, ""root_nsubj"": 1, ""discourse_advmod"": 1, ""nsubj_nmod"": 1, ""obj_nsubj"": 1}"	Nii on number 13 seriaalile igati õnnelik arv , sest just oma 13. hooajal tegi Õnne seep uurivale ajakirjandusele ära .	On number 13 seriaalile õnnelik arv , sest just oma 13. hooajal tegi Õnne seep uurivale ajakirjandusele ära .
239260	1434	0	{}	Eile ennelõunal ründasid Vene helikopterid kuulipildujatega linna keskosa ja raskesuurtükivägi pommitas Groznõi äärelinnu , teatas Interfax .	Ennelõunal ründasid Vene helikopterid kuulipildujatega linna keskosa ja raskesuurtükivägi pommitas Groznõi äärelinnu , teatas Interfax .
409180	3868	0	{}	Nii on Oskar Kallas nende kahe raamatuga tagasi toodud meie sajandi suurmeeste sekka - ja seda olenemata igasugustest suurkujude edetabelitest .	On Oskar Kallas nende kahe raamatuga tagasi toodud meie sajandi suurmeeste sekka - ja seda olenemata igasugustest suurkujude edetabelitest .
142420	457	0	{}	Lisaks levivad kuuldused , et Kalev otsib oma meediaärile juhti , keda võib tinglikult nimetada peatoimetajaks .	Lisaks levivad kuuldused , et Kalev otsib oma meediaärile juhti , keda võib nimetada peatoimetajaks .
586942	7234	1	"{""ccomp_conj"": 1}"	Pean 1. detsembril ütlema , kas lähen või mitte .	Pean 1. detsembril ütlema , lähen või mitte .
705037	821134	1	"{""obj_nsubj"": 1}"	Ma usun , et meie huvi on siiski saavutada Eesti tööstuse juurdepääs Poola turule .	Ma usun , et meie huvi on saavutada Eesti tööstuse juurdepääs Poola turule .
450831	6595	1	"{""mark_advmod"": 1, ""advcl_parataxis"": 1}"	Pessimistlikuma variandina tuleb uut tõsiselt noort luulet oodata veerandsajandi pärast - nagu meie kirjanduse müütiline ajaarvestus ette kirjutab .	Pessimistlikuma variandina tuleb uut noort luulet oodata veerandsajandi pärast - nagu meie kirjanduse müütiline ajaarvestus ette kirjutab .
662785	646	0	{}	Et tuld otse kuskil näha polnud , jooksis Natalja oma tuppa tagasi ja hakkas end riidesse panema .	Et tuld näha polnud , jooksis Natalja oma tuppa tagasi ja hakkas end riidesse panema .
264188	0	0	{}	Eesti Põlevkivi avab täna uue raudteelõigu , mis vähendab oluliselt põlevkiviveo teekonda kaevandustest Narva elektrijaamadeni .	Eesti Põlevkivi avab uue raudteelõigu , mis vähendab põlevkiviveo teekonda kaevandustest Narva elektrijaamadeni .
700939	253161	1	"{""cc_mark"": 1, ""conj_advcl"": 1, ""nmod_advcl"": 1, ""parataxis_nsubj:cop"": 1, ""nmod_det"": 1}"	IE arendus senisel kujul on lõppenud ; nii Mac kui Win platvormidel ( 6.1= on viimane eraldi tarnitav IE versioon ) IE pole vabavara selle sõna üldlevinud tähenduses .	IE arendus senisel kujul on lõppenud ; Mac kui Win platvormidel ( 6.1 = on viimane tarnitav IE versioon ) IE pole vabavara selle sõna üldlevinud tähenduses .
285109	1728	0	{}	Juba viis aastat usaldavad politseid Saar Polli küsitluste järgi vaid umbes pooled eestlased ning toetus ei ilmuta erilisi kasvu- ega kahanemise märke .	Viis aastat usaldavad politseid Saar Polli küsitluste järgi pooled eestlased ning toetus ei ilmuta erilisi kasvu- ega kahanemise märke .
604186	648	0	{}	” Väga õpetlik mäng oli , ” märkis Kerde .	” õpetlik mäng oli , ” märkis Kerde .
608102	3	1	"{""root_nsubj"": 1, ""cop_root"": 1}"	Üks Eesti märgi osa , mida ka väljaspool esitleda , on eesti muusika .	Üks Eesti märgi osa , mida esitleda , on eesti muusika .
676120	737	0	{}	siis kallis sk8boarder tuleb vict laud nurka vista	Kallis sk8boarder tuleb vict laud nurka vista
705080	31286	0	{}	Maasikas88: anna ikka	Maasikas88 : anna
85148	4456	0	{}	Ema oli selline , et vaatas inimesele otsa ja võis tast kohe laulu teha .	Ema oli selline , et vaatas inimesele otsa ja võis tast laulu teha .
536884	787	1	"{""amod_obj"": 1, ""acl_conj"": 1, ""conj_obj"": 1}"	Üleeile leiti tee äärest sarimõrvari järjekordsed ohvrid , alasti kistud surnukehad .	Leiti tee äärest sarimõrvari järjekordsed ohvrid , alasti kistud surnukehad .
471170	1477	1	"{""nsubj_nsubj:cop"": 1, ""aux_cop"": 1}"	Valik ei ole veel kuigi täiuslik , kuid mõned kenamad seinakalendrid võivad kõige kiiremaks ostuajaks juba müügilt lõppenud olla .	Valik ei ole täiuslik , kuid mõned kenamad seinakalendrid võivad kiiremaks ostuajaks müügilt lõppenud olla .
393150	1680	1	"{""obl_advcl"": 1}"	Ja juba õpingute lõpetamisaastal 1940 andis ta endast teada kui silmapaistvast kunstnikust .	Ja õpingute lõpetamisaastal 1940 andis ta endast teada kui silmapaistvast kunstnikust .
403150	301732	0	{}	Kui ma välja lähen , küll uks ise sneprisse kukub .	Kui ma välja lähen , uks ise sneprisse kukub .
405233	148041	0	{}	Oota , see ka või ?	Oota , see ?
674061	1982	1	"{""root_advcl"": 1, ""conj_root"": 1}"	Politseisse helistanud traumapunkti töötaja ütles , et mehel pole viga midagi , politseist oli öeldud , et hoopis Vello peksis taksojuhti .	Politseisse helistanud traumapunkti töötaja ütles , et mehel pole viga midagi , politseist oli öeldud , et Vello peksis taksojuhti .
347537	1237	0	{}	""" Tahaksin loota , et haigus on möödas , aga sisetunne ütleb , et päris terve ma siiski veel pole , "" nendib ta ."	""" Tahaksin loota , et haigus on möödas , aga sisetunne ütleb , et päris terve ma veel pole , "" nendib ta ."
490706	1999	0	{}	Ühelt poolt annab see suure tõlgendamisvabaduse Euroopa Komisjonile , kes hakkab laienemisläbirääkimisi pidama ja kes on oma otsuse juba teinud .	Ühelt poolt annab see suure tõlgendamisvabaduse Euroopa Komisjonile , kes hakkab laienemisläbirääkimisi pidama ja kes on oma otsuse teinud .
705049	620113	0	{}	Ka nemad on omanikud .	Nemad on omanikud .
640616	894338	0	{}	Teiseks - muusikasse on tekkinud selgelt tajutav ruumitunnetus .	- muusikasse on tekkinud tajutav ruumitunnetus .
447098	986	0	{}	Oberschneideri sõnul ei tule hotellis teha kapitaalseid ümberehitusi , sest olemasolevad ruumid on piisavalt suured ning sobivad kahetoalisteks numbriteks ja sviitideks .	Oberschneideri sõnul ei tule hotellis teha kapitaalseid ümberehitusi , sest olemasolevad ruumid on suured ning sobivad kahetoalisteks numbriteks ja sviitideks .
696745	87083	1	"{""advcl_ccomp"": 1}"	elu eesmärk : elada nii , et inimesed mäletaks mind ka peale mu surma	Elu eesmärk : elada , et inimesed mäletaks mind peale mu surma
615477	1342	1	"{""advcl_ccomp"": 1}"	Aitas teha nii , et kogu lava oleks Alla Borissovnat täis .	Aitas teha , et kogu lava oleks Alla Borissovnat täis .
705086	278793	0	{}	mascarade: paistis kyll sedamoodi	Mascarade : paistis kyll
370001	145532	0	{}	Ja peamine — ta ei pea enam tagasi minema , tagasi sinna kambrisse , kus tal pole kohta .	Ja peamine — ta ei pea tagasi minema , kambrisse , kus tal pole kohta .
657098	719	1	"{""obl_amod"": 1}"	Reismaa täidabki eilsest taas vallavanema kohustusi .	Reismaa täidabki eilsest vallavanema kohustusi .
272085	2169	0	{}	Tõsi ta on ja Willis teab omast käest , et filmilinn võib ka täiskasvanud mehi väga karmilt kohelda .	Tõsi ta on ja Willis teab omast käest , et filmilinn võib täiskasvanud mehi kohelda .
317426	1231	1	"{""nmod_advcl"": 1}"	Praegu toimib haigla kui aktiiv- ( esmase- ) , järel- ja taastusravi haigla .	Toimib haigla kui aktiiv- ( esmase- ) haigla .
589585	0	0	{}	NATO rahupartnerluse koordineerimiskeskuse ( PCC ) direktor kindralmajor Boleslaw Izydorczyk tuleb täna Eestisse kahepäevasele visiidile .	NATO rahupartnerluse koordineerimiskeskuse ( PCC ) direktor kindralmajor Boleslaw Izydorczyk tuleb Eestisse kahepäevasele visiidile .
396534	1109	1	"{""conj_obj"": 1, ""advcl_conj"": 1}"	Vähemasti möödunud nädalal oli Tartu linnapea  Andrus Ansip  ja on seda veel praegugi , muidugi kui abilinnapea Astok teda salamahti kukutanud pole .	Möödunud nädalal oli Tartu linnapea Andrus Ansip ja on seda , abilinnapea Astok teda kukutanud pole .
655245	333	1	"{""root_nmod"": 1, ""obl_root"": 1}"	nüüd poodi hennessy paradise järele ...	Poodi hennessy paradise järele ...
357679	5932	1	"{""nsubj:cop_obl"": 1, ""advcl_csubj:cop"": 1}"	Olivia , kel samuti aastajagu elektrita elu seljataga , nendib , et tegelikult oli päris kurb , kui esimene lamp põlema süttis .	Olivia , kel aastajagu elektrita elu seljataga , nendib , et oli kurb , kui esimene lamp põlema süttis .
606727	3158	0	{}	Õnneks annavad tema kasvatud taimed tublisti järglasi .	Õnneks annavad tema kasvatud taimed järglasi .
380917	144	1	"{""nsubj_obj"": 1}"	Investeerimisprojektide kandvust saab tõsisemalt läbi vaadata alles pärast mai- või juunikuud 1999. aastal , kui on näha maksude laekumine ja ettevõtete ning pankade olukorra muutused ; seadusloome täiendamise ja juurutamise tegelikud suunad , sh välisinvesteeringute suhtes ; emissiooni ja inflatsiooni kulgemise esimesed tulemused ja säilitatavate pankade nimekiri .	Investeerimisprojektide kandvust saab läbi vaadata pärast mai- või juunikuud 1999. aastal , kui on näha maksude laekumine ja ettevõtete ning pankade olukorra muutused ; seadusloome täiendamise ja juurutamise tegelikud suunad , sh välisinvesteeringute suhtes ; emissiooni ja inflatsiooni kulgemise esimesed tulemused ja säilitatavate pankade nimekiri .
562111	243	1	"{""obl_root"": 1, ""root_obl"": 1, ""conj_xcomp"": 1, ""cc:preconj_advmod"": 1, ""cc_mark"": 1, ""conj_advcl"": 1}"	Samas on tal seljas hinnaline õhtukleit , peas sädelev kroon ja kuulamas on nii alam- kui ka ülemkojaliikmed .	On tal seljas hinnaline õhtukleit , peas sädelev kroon ja kuulamas on nii alam- kui ülemkojaliikmed .
175282	417	0	{}	Peale Prodi ongi Kallasega kohtumise vastu huvi tundnud just rahandusvolinik Pedro Solbes ja infotehnoloogiavolinik Erkki Liikanen .	Peale Prodi ongi Kallasega kohtumise vastu huvi tundnud rahandusvolinik Pedro Solbes ja infotehnoloogiavolinik Erkki Liikanen .
