sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,timex_tag,ekilex_tag,ner_tag,classification,explanation,is_time,is_alive,is_event,is_org,exclude,classification2
5136432,8241256,17,teenima,,abl,protsent,protsendilt,"Teised söögikohad - pubid , baarid - ning vaba aja veetmise võimalused teenisid hea hinde 96 protsendilt hindajailt .",,,,no,,no,no,no,no,no,UNK
8640736,13863622,6,võtma,vastu,abl,riiulifirma,riiulifirmadelt,Pealegi - miks toll võtab riiulifirmadelt piiril vastu eeldeklaratsioonid ?,,location,,no,,no,no,no,no,no,UNK
4451563,7157969,22,teenima,,abl,renditulu,renditulult,"Nagu kokk kartuleid ei kasvata ja farme ei pea , on ka kavandatav Sillamäe pilvelõhkuja kinnisvaraprojekt , kus hoone omanikud teenivad renditulult .",,,,no,,no,no,no,no,no,UNK
7162933,11522018,7,teenima,,abl,video,videolt,Eestis teenis Karemäede firma igalt edasimüüdud videolt 40-50 krooni .,,,,no,,no,no,no,no,no,UNK
8688181,13940636,11,teenima,,abl,ajakirjandus,ajakirjanduselt,Mika Häkkinen püüab konkurente kõigest väest vältida ja teenib pilkenoote ajakirjanduselt .,,,,no,,no,no,no,no,no,UNK
92274,156057,8,õppima,,abl,eeskuju,eeskujudelt,"Nooreestlased õppisid prantsuse , soome ja saksa eeskujudelt ning kasvatasid ühtlasi lugeja , kes oli suuteline nii kultuurset ja hõrku loomingut maitsma .",,,,no,,no,no,no,no,no,UNK
15367429,24001818,22,teenima,,abl,stuudiopublik,stuudiopublikult,""" Ma ei saa kõike korraga liikuma , "" kurtis roosas kleidis Luisa Värk , aga vaatamata sellele teenis paar vähemalt stuudiopublikult korraliku aplausi .",,,,no,"The phrase 'stuudiopublikult' specifies the source of applause (origin) rather than a physical location, so it is not an adverbial of place.",no,no,no,no,no,UNK
999005,1590977,10,teenima,,abl,väljarentimine,väljarentimiselt,Arvutuste järgi teenib Altor Kinnisvara iga kuu selle pinna väljarentimiselt rohkem kui 100 000 krooni puhastulu .,,,,no,,no,no,no,no,no,UNK
11196512,17936577,14,teenima,,abl,pool,poolelt,"Peaminister Laar soovitas Riigikogu liikmetel vaadata neid uudisteagentuurist BNS , millega teenis opositsiooni poolelt vilekoori .",,,,no,,no,no,no,no,no,UNK
14931475,23443981,1,kuulma,,abl,eri,erilt,"erilt kuulsin , et samasse kohta oli 10 minutit enne mind tellitud Klubitaksolt auto , kuid selle takso saatsid nood “ kliendid ” tagasi .",,,,no,,no,no,no,no,no,UNK
17773907,27135984,6,teenima,,abl,koolikõrv,koolikõrvalt,Olen 9 klassi õpilane ja koolikõrvalt ise lisa ei teeni .,,,,no,,no,no,no,no,no,UNK
3091310,4962825,24,puuduma,,abl,endilse,endilselt,"Tuberkoloosi eluohtlikku vormi nakatunud 31-aastane ameeriklasest advokaat Andrew Speaker viidi teisipäeval spetsiaalsesse nakkushaiguste raviasutusse Denveris , kuid arstid kinnitasid , et neil puudub endilselt igasugune idee , mis võis meest eluohtlikku viirusesse nakatada , kirjutab Reuters .",,,,no,,no,no,no,no,no,UNK
615882,976664,7,saama,peksma,abl,loodus,looduselt,"Mullu kurtis Ilves , et sai looduselt peksa : "" Kaotasin ilmastiku tõttu 30 protsenti talirukki saagist .",,,,no,,no,no,no,no,no,UNK
3287227,5284007,19,puuduma,,abl,maht,mahult,"On väga kõnekas , et nõukogude aja kirjanikumälestused on eranditult "" katkestuslikud "" või "" killustikulised "" , mahult vähegi kapitaalsem püsiväärtuslik memuaristika aga puudub sootuks .",,,,no,Not classified as adverbial of place because 'mahult' pertains to the measure or volume rather than any physical or metaphorical location.,no,no,no,no,no,UNK
10724278,17184230,17,teenima,,abl,mõni,mõneltki,"“ Meeldiv oli sellises kohas poolehoidjaid kohata , ” tunnistab Müürsepp , kelle žest teenis talle mõneltki kohalikult sõimu ja keskmise sõrme viibutuse .",,,,no,,no,no,no,no,no,UNK
7764048,12446921,14,teenima,,abl,arve,arvelt,Eesti riik on septembris ja oktoobris teeninud ligi miljon krooni täiendavalt laekunud käibemaksu arvelt .,,,,no,,no,no,no,no,no,UNK
8334391,13356153,3,võtma,ära,abl,kõik,kõigilt,Kõik võtaks kõigilt kohe kõik ära .,,,,no,,no,no,no,no,no,UNK
3784939,6096177,5,teenima,,abl,juhtimine,juhtimiselt,Mullu teenis Sõõrumaa nõukogu juhtimiselt 88 000 krooni .,,,,no,,no,no,no,no,no,UNK
7833190,12552276,13,võtma,vastu,abl,öeldu,öeldult,"Kui ei saanud vabalt pöörduda tagasi kodumaale , kus Ivar Ivaski sõnadega öeldult  võõrad võtsid vastu võõras keeles , võtsid ära luuletusi neile võõras keeles ,  tuli tunda end kodus mujal maailmas ja kasutada uusi avanenud võimalusi .",,,,no,,no,no,no,no,no,UNK
7421433,11915211,3,õppima,,abl,käik,käigult,Sa õpid käigult .,,,,no,"The phrase 'käigult' indicates a manner or way of action rather than a physical place, so it is not adverbial of place.",no,no,no,no,no,UNK
18758891,28346066,7,teenima,,abl,iga,igalt,Ja vähe olen praegu teeninud aga igalt poolt veel raha tulemas ja ma pole veel saanud min payouti paljudes kohtades täis veel .,,,,no,,no,no,no,no,no,UNK
15724708,24538210,3,kuulma,,abl,elu,Elult,"Kuulnud Lääne Elult , et Kawabe kavatseb Läänemaale elamurajooni ehitada , hakkas Tähe naerma ja ütles : "" Jumal küll , eks ta püüab nüüd mujalt lolle leida .",,,ORG,no,,no,no,no,no,no,UNK
4088090,6580015,2,õppima,,abl,mäng-mäng,mäng-mängult,"Õpime mäng-mängult ja turniiride käigus hakkame ka uut lisama . """,,,,no,,no,no,no,no,no,UNK
246015,393336,1,puuduma,,abl,joonis,Jooniselt,Jooniselt puuduvad paar  äärmiselt olulist komponenti .,,,,no,,no,no,no,no,no,UNK
