,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
155,advcl,root,conj->advcl,551,11.978260869565217,4600,1.1308490709829044
25,conj,root,advcl->conj,472,6.555555555555556,7200,1.7700246328428073
263,nsubj,root,obj->nsubj,462,3.1428571428571432,14700,3.613800292054065
663,acl,obl,amod->acl,414,23.076923076923077,1794,0.44103113768333274
386,obl,root,obj->obl,401,2.099916212819439,19096,4.694498665106423
104,obj,root,nsubj->obj,391,4.44419186178677,8798,2.1628717666320854
195,parataxis,root,conj->parataxis,324,9.291654717522226,3487,0.8572327631559539
257,acl,obj,amod->acl,308,21.03825136612022,1464,0.35990500867803743
333,acl,nmod,amod->acl,288,20.7492795389049,1388,0.34122141533136335
105,obj,root,obl->obj,276,3.1370766083200725,8798,2.1628717666320854
385,obl,root,nsubj->obl,246,1.288227901131127,19096,4.694498665106423
448,acl,nsubj,amod->acl,212,15.440640932265111,1373,0.33753386401294083
23,conj,root,parataxis->conj,185,2.569444444444444,7200,1.7700246328428073
264,nsubj,root,obl->nsubj,183,1.2448979591836735,14700,3.613800292054065
27,conj,root,ccomp->conj,174,2.4166666666666665,7200,1.7700246328428073
705,obj,conj,nsubj->obj,143,4.651919323357189,3074,0.755702183522054
196,parataxis,root,advcl->parataxis,138,3.9575566389446517,3487,0.8572327631559539
429,obl,conj,obj->obl,127,2.8241049588614633,4497,1.1055278852630699
277,advmod,root,compound:prt->advmod,125,0.9599139917063432,13022,3.201286217899866
213,acl,conj,amod->acl,119,24.385245901639344,488,0.1199683362260125
160,advcl,root,xcomp->advcl,118,2.5652173913043477,4600,1.1308490709829044
118,xcomp,root,obl->xcomp,117,4.284145001830831,2731,0.6713801767074592
28,conj,root,acl:relcl->conj,112,1.5555555555555556,7200,1.7700246328428073
383,obl,root,nmod->obl,110,0.5760368663594471,19096,4.694498665106423
184,nsubj,conj,obj->nsubj,108,3.9116262223831946,2761,0.6787552793443041
156,advcl,root,ccomp->advcl,107,2.3260869565217392,4600,1.1308490709829044
658,amod,obl,acl->amod,105,1.8541409147095178,5663,1.3921735410817802
397,obl,advcl,obj->obl,100,3.0816640986132513,3245,0.7977402685520708
919,compound:prt,root,advmod->compound:prt,100,5.649717514124294,1770,0.4351310555738568
193,parataxis,root,ccomp->parataxis,90,2.581015199311729,3487,0.8572327631559539
384,obl,root,xcomp->obl,89,0.46606619187264353,19096,4.694498665106423
136,ccomp,root,advcl->ccomp,87,4.846796657381615,1795,0.44127697443789426
461,amod,nmod,acl->amod,85,1.9995295224653022,4251,1.0450520436409407
232,acl,nsubj:cop,amod->acl,78,12.037037037037036,648,0.15930221695585264
469,orphan,conj,advmod->orphan,77,16.176470588235293,476,0.11701829517127448
135,ccomp,root,conj->ccomp,76,4.233983286908078,1795,0.44127697443789426
158,advcl,root,parataxis->advcl,75,1.6304347826086956,4600,1.1308490709829044
652,nsubj,acl:relcl,obj->nsubj,74,2.931854199683043,2524,0.6204919685132285
345,obj,advcl,nsubj->obj,73,3.3827618164967563,2158,0.5305157163437191
741,obj,acl:relcl,nsubj->obj,70,4.11522633744856,1701,0.4181683195091132
242,advcl,conj,conj->advcl,69,7.658157602663707,901,0.22149891585991238
534,amod,obj,acl->amod,68,1.8548827059465356,3666,0.9012375422224627
337,nsubj,advcl,obj->nsubj,67,3.1279178338001867,2142,0.526582328270735
420,amod,nsubj,acl->amod,63,2.0388349514563107,3090,0.759635571595038
157,advcl,root,acl:relcl->advcl,61,1.3260869565217392,4600,1.1308490709829044
174,nmod,root,obl->nmod,58,2.473347547974414,2345,0.5764871894467197
704,obj,conj,obl->obj,58,1.8867924528301887,3074,0.755702183522054
540,obl,acl,obj->obl,58,1.6264722378014584,3566,0.8766538667663125
622,advmod,conj,compound:prt->advmod,56,1.1816838995568686,4739,1.1650203798669532
758,acl,root,amod->acl,55,17.79935275080906,309,0.0759635571595038
309,amod,root,acl->amod,55,3.6715620827770366,1498,0.36826345833312846
223,obj,acl,obl->obj,55,4.5529801324503305,1208,0.29697079951029315
637,conj,parataxis,parataxis->conj,54,3.6096256684491976,1496,0.36777178482400547
938,parataxis,conj,conj->parataxis,53,8.745874587458747,606,0.1489770732642696
319,obl,acl:relcl,obj->obl,52,1.9402985074626864,2680,0.6588425022248225
551,obl,xcomp,obj->obl,50,3.5385704175513095,1413,0.3473673341954009
665,acl,obl,acl:relcl->acl,49,2.7313266443701227,1794,0.44103113768333274
87,nsubj:cop,root,nmod->nsubj:cop,49,0.8751562779067692,5599,1.376439988789844
462,amod,nmod,nmod->amod,49,1.1526699600094095,4251,1.0450520436409407
343,obj,advcl,obl->obj,48,2.2242817423540315,2158,0.5305157163437191
194,parataxis,root,acl:relcl->parataxis,46,1.3191855463148838,3487,0.8572327631559539
154,advcl,root,csubj->advcl,45,0.9782608695652175,4600,1.1308490709829044
1165,nsubj,ccomp,obj->nsubj,45,3.4992223950233283,1286,0.3161460663660903
466,orphan,conj,nmod->orphan,45,9.453781512605042,476,0.11701829517127448
1209,compound:prt,conj,advmod->compound:prt,45,5.617977528089887,801,0.1969152404037623
26,conj,root,obl->conj,44,0.6111111111111112,7200,1.7700246328428073
431,obl,conj,nsubj->obl,44,0.9784300644874362,4497,1.1055278852630699
382,obl,root,nsubj:cop->obl,44,0.2304147465437788,19096,4.694498665106423
742,obj,acl:relcl,obl->obj,43,2.5279247501469726,1701,0.4181683195091132
714,acl:relcl,root,conj->acl:relcl,42,9.35412026726058,449,0.11038070279811393
387,obl,root,conj->obl,41,0.21470465018852114,19096,4.694498665106423
735,obj,ccomp,nsubj->obj,40,4.854368932038835,824,0.20256948575867684
528,obj,parataxis,nsubj->obj,39,5.820895522388059,670,0.16471062555620564
90,nsubj:cop,root,nsubj->nsubj:cop,39,0.6965529558849795,5599,1.376439988789844
559,nsubj,parataxis,obj->nsubj,38,2.0331728196896734,1869,0.4594688942754453
185,nsubj,conj,obl->nsubj,38,1.3763129300977905,2761,0.6787552793443041
518,appos,nsubj,conj->appos,38,3.281519861830743,1158,0.28467896178221813
148,conj,ccomp,advcl->conj,37,6.5371024734982335,566,0.13914360308180954
547,amod,conj,acl->amod,36,2.3529411764705883,1530,0.3761302344790965
567,appos,nmod,parataxis->appos,36,5.333333333333334,675,0.16593980932901314
409,appos,root,conj->appos,35,18.04123711340206,194,0.04769233038493119
101,obj,xcomp,obl->obj,35,1.9729425028184893,1774,0.43611440259210277
258,acl,obj,acl:relcl->acl,35,2.390710382513661,1464,0.35990500867803743
635,conj,parataxis,advcl->conj,34,2.272727272727273,1496,0.36777178482400547
67,conj,nsubj,appos->conj,34,2.207792207792208,1540,0.3785886020247115
856,acl:relcl,obl,acl->acl:relcl,34,4.741980474198047,717,0.1762649530205962
327,appos,obj,conj->appos,34,9.315068493150685,365,0.08973041541494786
747,obl,ccomp,obj->obl,33,2.154046997389034,1532,0.3766219079882195
89,nsubj:cop,root,obl->nsubj:cop,33,0.5893909626719057,5599,1.376439988789844
24,conj,root,xcomp->conj,32,0.4444444444444444,7200,1.7700246328428073
7,advcl,ccomp,conj->advcl,32,9.785932721712538,327,0.08038861874161082
767,acl,xcomp,amod->acl,31,59.61538461538461,52,0.01278351123719805
1170,advmod,advcl,compound:prt->advmod,31,1.6103896103896103,1925,0.4732357525308894
979,csubj,root,conj->csubj,30,4.329004329004329,693,0.17036487091112018
399,obl,advcl,nsubj->obl,30,0.9244992295839755,3245,0.7977402685520708
842,cop,root,aux->cop,30,0.47611490239644505,6301,1.5490173904920177
495,csubj:cop,root,advcl->csubj:cop,29,5.105633802816902,568,0.13963527659093256
80,appos,obl,conj->appos,29,5.979381443298969,485,0.11923082596232797
768,xcomp,conj,obl->xcomp,29,3.118279569892473,930,0.2286281817421959
650,advmod,acl,compound:prt->advmod,29,2.667893284268629,1087,0.26722455220835156
777,advcl,advcl,conj->advcl,29,9.698996655518394,299,0.0735051896138888
161,advcl,root,obl->advcl,28,0.6086956521739131,4600,1.1308490709829044
318,obl,acl:relcl,nsubj->obl,28,1.0447761194029852,2680,0.6588425022248225
851,acl:relcl,obj,acl->acl:relcl,28,3.345280764635603,837,0.2057653635679763
245,advcl,conj,ccomp->advcl,27,2.9966703662597114,901,0.22149891585991238
814,acl:relcl,nsubj,conj->acl:relcl,27,3.765690376569038,717,0.1762649530205962
432,obl,conj,xcomp->obl,27,0.600400266844563,4497,1.1055278852630699
480,conj,advcl,advcl->conj,27,3.3498759305210917,806,0.1981444241765698
671,nmod,nsubj,appos->nmod,27,0.4642365887207703,5816,1.4297865645296897
83,appos,obl,parataxis->appos,27,5.567010309278351,485,0.11923082596232797
1098,parataxis,nmod,conj->parataxis,26,9.31899641577061,279,0.06858845452265877
79,appos,obl,nmod->appos,26,5.360824742268041,485,0.11923082596232797
435,obl,conj,nmod->obl,26,0.578163219924394,4497,1.1055278852630699
219,amod,nsubj:cop,acl->amod,26,1.8143754361479414,1433,0.3522840692866309
417,xcomp,acl,obl->xcomp,26,10.0,260,0.06391755618599025
179,nmod,root,conj->nmod,25,1.0660980810234542,2345,0.5764871894467197
759,acl,root,acl:relcl->acl,25,8.090614886731391,309,0.0759635571595038
940,parataxis,conj,advcl->parataxis,25,4.125412541254125,606,0.1489770732642696
389,obl,root,advcl->obl,25,0.13091746962714707,19096,4.694498665106423
828,xcomp,advcl,obl->xcomp,25,4.132231404958678,605,0.1487312365097081
568,appos,nmod,conj->appos,24,3.5555555555555554,675,0.16593980932901314
1377,compound:prt,advcl,advmod->compound:prt,24,5.042016806722689,476,0.11701829517127448
421,amod,nsubj,nmod->amod,24,0.7766990291262136,3090,0.759635571595038
379,obl,root,parataxis->obl,24,0.12568077084206117,19096,4.694498665106423
1117,parataxis,obj,conj->parataxis,24,13.333333333333334,180,0.04425061582107018
447,acl,nsubj,acl:relcl->acl,24,1.7479970866715222,1373,0.33753386401294083
338,nsubj,advcl,obl->nsubj,24,1.1204481792717087,2142,0.526582328270735
736,obj,ccomp,obl->obj,24,2.912621359223301,824,0.20256948575867684
278,advmod,root,conj->advmod,23,0.17662417447396714,13022,3.201286217899866
29,conj,root,appos->conj,23,0.3194444444444445,7200,1.7700246328428073
939,parataxis,conj,ccomp->parataxis,23,3.7953795379537953,606,0.1489770732642696
72,parataxis,nsubj,appos->parataxis,23,7.210031347962382,319,0.07842192470511881
1395,aux,root,cop->aux,23,0.34748451427708116,6619,1.6271934784425748
898,compound:prt,acl,advmod->compound:prt,23,12.637362637362637,182,0.044742289330193176
857,acl:relcl,obl,conj->acl:relcl,23,3.2078103207810322,717,0.1762649530205962
1314,nmod,acl,obl->nmod,23,22.330097087378643,103,0.025321185719834605
297,nmod,nmod,amod->nmod,22,0.31042754338930434,7087,1.7422450795773574
325,appos,obj,parataxis->appos,22,6.027397260273973,365,0.08973041541494786
45,ccomp,conj,advcl->ccomp,22,6.832298136645963,322,0.07915943496880332
173,nmod,root,appos->nmod,22,0.9381663113006397,2345,0.5764871894467197
1009,conj,obj,appos->conj,22,1.4986376021798364,1468,0.36088835569628347
244,advcl,conj,xcomp->advcl,22,2.4417314095449503,901,0.22149891585991238
1054,obl,csubj,obj->obl,22,4.029304029304029,546,0.13422686799057953
1076,advcl,parataxis,conj->advcl,22,7.586206896551724,290,0.07129265882283528
659,amod,obl,nmod->amod,22,0.38848666784389896,5663,1.3921735410817802
162,advcl,root,csubj:cop->advcl,22,0.47826086956521735,4600,1.1308490709829044
366,obl,parataxis,obj->obl,22,2.042711234911792,1077,0.26476618466273655
1139,conj,nsubj:cop,appos->conj,22,2.913907284768212,755,0.18560674969393323
120,xcomp,root,advcl->xcomp,21,0.7689491028927133,2731,0.6713801767074592
73,parataxis,nsubj,conj->parataxis,21,6.583072100313479,319,0.07842192470511881
166,advcl,root,nsubj->advcl,21,0.4565217391304348,4600,1.1308490709829044
976,csubj,root,advcl->csubj,21,3.0303030303030303,693,0.17036487091112018
493,csubj:cop,root,conj->csubj:cop,21,3.697183098591549,568,0.13963527659093256
398,obl,advcl,xcomp->obl,20,0.6163328197226503,3245,0.7977402685520708
30,conj,root,csubj->conj,20,0.2777777777777778,7200,1.7700246328428073
31,conj,root,csubj:cop->conj,20,0.2777777777777778,7200,1.7700246328428073
749,obl,ccomp,nsubj->obl,20,1.3054830287206265,1532,0.3766219079882195
716,acl:relcl,root,advcl->acl:relcl,20,4.4543429844097995,449,0.11038070279811393
978,csubj,root,xcomp->csubj,20,2.886002886002886,693,0.17036487091112018
1099,parataxis,nmod,appos->parataxis,20,7.168458781362006,279,0.06858845452265877
299,nmod,nmod,appos->nmod,20,0.28220685762664033,7087,1.7422450795773574
1285,parataxis,parataxis,conj->parataxis,20,4.662004662004662,429,0.10546396770688392
137,ccomp,root,parataxis->ccomp,20,1.1142061281337048,1795,0.44127697443789426
602,acl:relcl,nsubj:cop,acl->acl:relcl,19,5.205479452054795,365,0.08973041541494786
433,obl,conj,nsubj:cop->obl,19,0.42250389148321105,4497,1.1055278852630699
1347,nummod,parataxis,parataxis->nummod,19,5.81039755351682,327,0.08038861874161082
138,ccomp,root,xcomp->ccomp,19,1.0584958217270195,1795,0.44127697443789426
932,parataxis,obl,conj->parataxis,19,7.08955223880597,268,0.06588425022248226
261,nsubj,root,nsubj:cop->nsubj,18,0.12244897959183673,14700,3.613800292054065
1091,advmod,xcomp,compound:prt->advmod,18,2.176541717049577,827,0.2033069960223613
933,parataxis,obl,appos->parataxis,18,6.7164179104477615,268,0.06588425022248226
517,appos,nsubj,parataxis->appos,18,1.5544041450777202,1158,0.28467896178221813
854,acl:relcl,obj,conj->acl:relcl,18,2.1505376344086025,837,0.2057653635679763
527,obj,parataxis,obl->obj,17,2.5373134328358207,670,0.16471062555620564
225,obj,acl,nsubj->obj,17,1.4072847682119205,1208,0.29697079951029315
639,conj,parataxis,ccomp->conj,17,1.1363636363636365,1496,0.36777178482400547
353,nmod,obl,conj->nmod,17,0.1744305356043505,9746,2.3959250099563887
1132,advcl,acl:relcl,conj->advcl,17,6.538461538461539,260,0.06391755618599025
1240,acl,advcl,amod->acl,17,21.518987341772153,79,0.019421103610358578
719,acl:relcl,root,acl->acl:relcl,17,3.78619153674833,449,0.11038070279811393
690,parataxis,advcl,conj->parataxis,16,15.238095238095239,105,0.025812859228957603
624,advmod,conj,orphan->advmod,16,0.3376239713019624,4739,1.1650203798669532
613,conj,obl,nmod->conj,16,0.7778317938745746,2057,0.5056862041330076
601,acl:relcl,nsubj:cop,conj->acl:relcl,16,4.383561643835616,365,0.08973041541494786
408,appos,root,parataxis->appos,16,8.24742268041237,194,0.04769233038493119
579,appos,conj,parataxis->appos,16,6.106870229007633,262,0.06440922969511326
233,acl,nsubj:cop,acl:relcl->acl,16,2.4691358024691357,648,0.15930221695585264
200,parataxis,root,nsubj->parataxis,15,0.43016919988528823,3487,0.8572327631559539
0,obj,csubj,nsubj->obj,15,2.824858757062147,531,0.130539316672157
449,acl,nsubj,nmod->acl,15,1.0924981791697013,1373,0.33753386401294083
575,appos,nsubj:cop,conj->appos,15,7.317073170731707,205,0.050396534685107706
1270,acl,appos,amod->acl,15,23.4375,64,0.015733552291936063
