sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
5138393,45,53,Kristina,gen,""" Täit minekut siiski veel pole , "" tunnetab Kristina .",nsubj,"gen,prop,sg"
1944382,60,66,mahuks,,"Peegli sõnul on reaalne , et tänavuseks otseinvesteeringute mahuks kujuneb neli miljardit krooni ka ilma Swedbankita .",nsubj,"af,aux,cond,pres,ps"
16134246,226,235,Riigikogu,gen,"Nimelt oli eelmisel aastal seitse niisugust ministeeriumi , kelle ministrid olime sunnitud Riigikogu ette kutsuma selleks , et saada teavet , miks riigieelarve seadust ei ole selle ministeeriumi haldusalas täidetud nii , nagu Riigikogu selle vastu võttis .",nsubj,"com,gen,sg"
14332338,23,34,spordihalli,gen,", Kalev ! ” ähvardasid spordihalli katuse pealt kergitada .",nsubj,"com,gen,sg"
4217237,35,39,mina,gen,"Korvpall on meeskonnamäng ning nii mina kui ka mängijad tahavad mängudest võtta maksimumi "" , sõnas Brazys .",nsubj,"com,gen,sg"
13793072,22,26,Aiki,gen,Kujundamisel soovitab Aiki näiteks värvidega mäkerdava lapse pildi kõrvale lisada ka lapse joonistuse .,nsubj,"gen,prop,sg"
9754521,21,38,Julgeolekunõukogu,gen,"USA algatusel kiitis Julgeolekunõukogu eelmisel nädalal heaks resolutsiooni , milles ähvardati Afganistani uute sanktsioonidega , kui ei anta välja terrorismi suunamises kahtlustatavat miljonäri Usamah bin Ladenit .",nsubj,"gen,prop,sg"
709753,0,6,Maali-,gen,Maali- ja teatrikunstnik ning graafik Peet Aren ( 29.06.1889-26.01. 1970 ) aitas pedagoogina oluliselt uuendada eesti teatri lavakujundust .,nsubj,"com,gen,sg"
4980827,0,6,Oviiri,gen,"Oviiri toetaks 15% volikogude juhtidest , kusjuures naissoost vastajatest valiks teda koguni 24% .",nsubj,"gen,prop,sg"
12998206,61,69,Kristina,gen,"« Tore , et ülejäänud kamba selja taga hoidsin , » rõõmustas Kristina .",nsubj,"gen,prop,sg"
12551280,0,7,Lõviosa,gen,"Lõviosa ehk 2 , 1 miljonit krooni rahast eraldas EFS mängufilmi “ Kolm kiusatust ” väntamiseks .",nsubj,"com,gen,sg"
15801477,26,31,poole,gen,"Seega võib väita , et üle poole TÜ arstiteaduskonna tudengitest oskab näha seoseid ladina keele ja teiste erialaainete vahel .",nsubj,"card,gen,l,sg"
435936,46,50,sula,gen,""" Külmaga oli haigeid vähem , kuid vahepealne sula pani viirused jälle paremini levima , "" leidis arst .",nsubj,"com,gen,sg"
18637354,0,4,Ohja,gen,"Ohja , City of Heroes , seda tahaks isegi proovida .",nsubj,"gen,prop,sg"
2937887,24,31,L.Reile,gen,"Kilgi kinnitusel kuulus L.Reile 2000. aastate algul 14 ha kinnistuid Tallinna kesklinnas , suure osa sellest müüsid endised juhatuse liikmed võileivahinnaga maha .",nsubj,"gen,prop,sg"
2162503,11,20,Rainerile,gen,"Kõve ütles Rainerile , et asi on lihtsamast lihtsam ja telefon on siiski võimalik konfiskeerida ja muud asjad Raineri kollegile kätte anda .",nsubj,"gen,prop,sg"
8684413,31,36,Laari,gen,26% mitte-eestlastest ei toeta Laari .,nsubj,"gen,prop,sg"
13958566,36,44,päritolu,gen,"Rootslaste väravasuul seisnud soome päritolu Tommy Salo tõrjus kahe esimese perioodi vältel kõik ohtlikud pealevisked , viiv enne esimest vaheaega kaotas Soome koondise kaitsja Toni Lydman oma tsoonis rumalalt litri ning lubas Fredrik Modinil skoori avada .",nsubj,"com,gen,sg"
6437889,0,5,Pärna,gen,"Pärna ei soovinud ei esmaspäeval ega eile olukorda kommenteerida , viidates hilisõhtuni kestvatele nõupidamistele .",nsubj,"gen,prop,sg"
12038259,0,8,Kristina,gen,"Kristina Šimgun teadis , et kõik kaaslannad valimistusid ja mõtlesid temale .",nsubj,"gen,prop,sg"
13759310,28,42,sisekontrolli-,gen,a ) kehtestavad asjakohased sisekontrolli- ja -teatamismenetlused rahapesuga seotud toimingute ennetamiseks ja tõkestamiseks ;,nsubj,"com,gen,sg"
12867847,61,64,Ilu,gen,"Budõlin tõdes , et vastased olid rasked ja matšid samuti : « Ilu pakkusin vähe , tegin rasket musta tööd .",nsubj,"com,gen,sg"
15094028,39,44,nulli,gen,"Proovige nii vähe saada kui võimalik , nulli ei arvesta",nsubj,"card,gen,l,sg"
8844010,78,83,Müüri,gen,"Suurima aplausi teenis ära liidukantsler Gerhard Schröder , kui ta lausus : “ Müüri lükkas ida ümber läände ! ”",nsubj,"com,gen,sg"
1666472,125,133,Väinsalu,gen,""" Nõmmel ei ole näiteks lasteaiakohti , sabad on aasta kuni kolme pikkused , kuid raha , et mõnda uut avada , ei ole , "" tõi Väinsalu näite valitsevast ebavõrdsusest .",nsubj,"gen,prop,sg"
