sentence_id,head_id,head_loc,verb,verb_compound,morph_case,lemma,form,sentence,opinion,simple_sentences,tags,timex_tag,ekilex_tag,ner_tag,A,E,T,L1,L2,L,S,tag,initial_cat
5399131,8658564,1,katsuma,,all,kõrbetaim,Kõrbetaimedele,"Kõrbetaimedele katsu leida korteri kõige valgem koht , hämarate vihmametsade asukad aga ei pea olema isegi mitte aknalaual .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
15270292,23846411,2,õhkuma,,el,PR-pude,PR-pudemetest,"Nendest PR-pudemetest õhkub sellist jõulisust ja suursugusust , et ” Siberi habemeajaja ” muutus sündmuseks veel enne ekraanidele jõudmist .",,,,,,,no,no,no,no,no,no,no,,a_n50
15331149,23942314,6,ennustama,,all,netifoorum,netifoorumitele,mingit tehnilist hüpet ma küll netifoorumitele ei ennusta .,,,,,,,no,no,no,no,yes,yes,no,L,a_n50
12437255,19912298,5,suurenema,,all,palk,palgale,"Sellega suurenes nende tähelepanu palgale , mis töö tegelikku intensiivsust ja tulemuslikkust arvestades pole kuigi palju madalam erasektori keskastme töötaja palgast .",,,,,,,no,no,no,no,no,no,no,,a_n50
3753353,6044920,2,pöörduma,,all,lend,lennule,Järgmisele lennule pöördub lennuk Tallinnast Kopenhaageni suunas .,,,,,,,no,yes,no,no,no,no,no,E,a_n50
10076363,16164075,8,kuuluma,,adit,arheosoikumine,arheosoikumisse,"Aga sellisena kuulub ta sisuliselt eesti huumori arheosoikumisse , kuhugi samasse rubriiki “ Meelejahutaja ” , “ Rameto ” ja Pikriga , kus profiiti võisid lõigata naljad stiilis “ gastrolleestlane - kastruleestlane ” .",,,,,,,no,no,yes,no,no,no,no,T,a_n50
7961192,12762542,13,moodustuma,,el,tsemenditolm,tsemenditolmust,"Valada sellesse loginal pöörlevasse astjasse vett , kuni kõik seguneb , sinisest tsemenditolmust ja kollasest liivast hall kört moodustub .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
12729759,20365595,3,tahtma,,all,Salatoimik,Salatoimikutele,"Tahtsin « Salatoimikutele » kriipsu peale tõmmata juba enne , kui see tegelikult lõppes , » paristab Anderson oma kodus Londonis Notting Hilli trendirajoonis .",,,,,,,no,no,no,no,yes,yes,no,L,a_n50
17034415,26180081,7,pidama,,el,Ventspils,Ventspilsist,Roeder pidas Levadiat Newcastle'i eelmisest vastasest Ventspilsist tugevamaks .,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,location,LOC,no,no,no,yes,no,yes,no,L,a_n50
4233828,6813632,7,alistuma,,all,šveitslane,šveitslastele,"Murs-Lulla alistusid napilt 1 : 2 šveitslastele Andreas Sutter - Jonas Weingart , Jaani-Ruul jäid kindlalt 0 : 2 alla Tšehhi paarile Michal Biza - Premysl Kubala .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
1518677,2416707,2,suutma,,el,koht,kohast,Hoolimata kohast riikliku naftafirma juhatuses ning kuulumisest parlamenti pole presidendi poeg suutnud endale tõsist mainet kujundada .,???,"Presidendi poeg kuulub riikliku naftafirma juhatusse.
Presidendi poeg kuulub parlamenti.
Presidendi poeg pole suutnud endale tõsist mainet kujundada.",,,,,no,no,no,yes,no,yes,no,L,a_n50
6752792,10863306,3,tulema,,all,Jaani,Jaanile,Siis tuleb Jaanile meelde Reinu õpetus .,,,|AL|ALT|,,location,PER,yes,no,no,no,no,no,no,A,a_n50
769389,1226822,17,jääma,ilma,el,aktsiis,aktsiisist,"Erik Kaldase sõnul käib praegu uurimine , kus kütust solgitakse ja kui suures ulatuses riik mootorikütuse aktsiisist ilma jääb .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
1708610,2719631,13,leidma,,all,audiitor,audiitorile,Prokuröri hinnangul on Kallase ( 52 ) süü Eesti Panga juhina keskpanga audiitorile valeandmete esitamises kohtus tõendamist leidnud ning seetõttu tuleb teda karistada rahatrahviga .,???,"Siim Kallas on 52-aastane.
Prokurör leidis, et Kallase süü on kohtus tõendamist leidnud.
Kallas esitas Eesti Panga juhina keskpanga audiitorile valeandmeid.
Seetõttu tuleb teda karistada rahatrahviga.",|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
16460744,25407442,2,tahtma,,el,igavus,igavusest,"Tahaks igavusest mingit nende mängu proovida , koodi oleks vaja korgi alt .",???,"Tahaks igavusest mingit nende mängu proovida.
Selle mängu jaoks oleks vaja koodi.
Kood on “korgi alt”.",,,,,no,no,no,no,no,no,yes,S,a_n50
10904358,17463756,10,minema,vaja,ad,Pikaro,Pikarol,Külma verd on 25 aastat miilitsas ja politseis töötanud Pikarol vaja läinud õige mitmel korral .,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,,LOC,yes,no,no,no,no,no,no,A,a_n50
11197462,17937929,9,elama,,el,akadeemia,akadeemiast,Praegu on mul elamistingimused väga head : elan akadeemiast jalgsi umbes kümne minuti kaugusel .,,,|L|AL|EL|LS|LT|ALT|ELT|LST|,,organisation,,no,no,no,yes,no,yes,no,L,a_n50
12618274,20191803,6,lootma,,all,dopinguagentuur,dopinguagentuurile,"Kaspergi loodab ROK-i moodustatavale rahvusvahelisele dopinguagentuurile , kuid ta kindlus ei veena .",,,,,,,no,no,no,yes,no,yes,no,L,a_n50
5269131,8452143,14,lööma,,el,Panionio,Panioniost,"Täisedu , üheksa võiduga jätkab üllataja Ateena Peristeri , kes viimati lõi Ateena Panioniost 78 : 76.",syntax,"Üllataja Peristeri B.C. jätkab täiseduga.
Peristeri on võitnud üheksa mängu.
Peristeri alistas viimati Panionios B.C. tulemusega 78 : 76.",|L|AL|EL|LS|LT|ALT|ELT|LST|,,,ORG,no,no,no,yes,no,yes,no,L,a_n50
4072265,6554869,17,andma,välja,all,muusikaõpetaja,muusikaõpetajale,"Riho Pätsi Koolimuusika Fond annab igal aastal välja stipendiumeid viimase kolme aasta jooksul eriliselt silma paistnud muusikaõpetajale , instrumendiõpetajale , heliloojale , muusikapedagoogika uurijale ja koolimuusika edendajale .",,,|A|AE|AL|AS|AT|AET|ALT|AST|,,alive,,yes,no,no,no,no,no,no,A,a_n50
