sentence_id,start,end,word_form,current_case,sentence,current_deprel,current_analysis
12673049,2,12,Õhtulehele,nom,""" Õhtulehele "" ütles Toomas Sepp : "" Tunnen kaasa Mait Metsamaa perele , sest isa surm on alati raske ja tal on mitu väikest last .",obl,"nom,prop,sg"
2708199,0,6,Loheks,nom,"Loheks sobib aga ükskõik mis - elektrijaamad , raudtee , ülikool , nüüd isegi fašism .",obl,"nom,prop,sg"
5449297,0,7,Deltale,nom,Deltale kuuluvad ka Sabena tehniline tegevus ja hotellindus .,obl,"nom,prop,sg"
12553929,0,6,Õnneks,nom,"Õnneks sai ta peo , millist ta väärib .",obl,"nom,prop,sg"
12790921,0,8,Kaselale,nom,Kaselale tuli peatreeneri otsus üllatusena .,obl,"nom,prop,sg"
12978822,38,50,Marcialongal,nom,"Kas sa nimetad hooaega , kui võistled Marcialongal , Tartu Maratonil ja Vasaloppetil , vahelejäänuks ?",obl,"nom,prop,sg"
10753806,29,37,Taalmale,nom,Naksitrallide juures meeldib Taalmale kõige rohkem nende omadus olla kõigest vaba .,obl,"nom,prop,sg"
14654711,0,8,Dzihaadi,nom,Dzihaadi ootavad araablased on valmis Husseinile appi tormama iga hetk .,obl,"nom,prop,sg"
1888349,25,30,kino-,nom,"Juba 70. aastatel paaris kino- ja mitmes telefilmis mänginud inglane , kelle nimi kehamõõtude pärast on eesti keeles Lihapall , mängib nüüd värskes põnevusfilmis "" Black Dog "" .",obl,"com,nom,sg"
16302694,0,6,Hetkel,nom,Hetkel istub AGP slotis Leadtek GF2 MX64(175/286),obl,"nom,prop,sg"
13133511,0,10,Kunstnikel,nom,"Kunstnikel tuli välja mõelda ehtekomplektid just neid kivikesi kasutades , sest kõik tahtsid just selle kiviga ehteid .",obl,"nom,prop,sg"
12412122,2,9,Filmile,nom,"” Filmile lisas vürtsi ka tõik , et isa , kunagine pärnakas Avo Västrik oli ise kohal ja pärast filmi lahkesti publikule selgitusi jagamas .",obl,"nom,prop,sg"
13310508,0,5,Makke,nom,"Makke meelest tasub kõigil noortel meestel aega teenima tulla , sest see annab hea kehalise koormuse .",obl,"nom,prop,sg"
14323182,0,7,Saagiks,nom,"Saagiks said poisid 1,7 miljoni Soome marga eest juveele ja 100 000 marka sularaha .",obl,"nom,prop,sg"
12411428,0,10,Üüriarvele,nom,"Üüriarvele tuleb märkida üüri suurus , kusjuures kõik kulud ning muud maksed ja võlgnevused ja viivised peavad olema eraldi välja kirjutatud .",obl,"nom,prop,sg"
18540823,0,8,laugpära,nom,"laugpära Scorpios olen ma näind koeravedu , see käis nii , et tagaakna alune paneel ( see käib sekundiga ära ) oli ära võetud ja hundi pea oli sealt väljas .",obl,"com,nom,sg"
2233434,0,12,Tseremoonial,nom,"Tseremoonial osalevad vabariigi president Lennart Meri , peaminister Edgar Savisaar , kaitseminister Erika Salumäe , kultuuriminister Eino Baskin , majandusminister Liina Tõnisson , haridusminister Lauri Leesi jpt tuntud kultuuri- ja ühiskonnategelased .",obl,"nom,prop,sg"
13091652,0,8,Intriige,nom,Intriige oskab Savisaar punuda kõigist teistest poliitikutest paremini ja koalitsioonil ei ole kerge .,obl,"nom,prop,sg"
2796830,0,7,Kulpile,nom,"Kulpile järgnesid Erki Parik ( Otepää Gümnaasium 11. klass ) ja Karina Kesvatera ( Tsirguliina Keskkool 11. klass ) , kes said tasuta pileti 2. juunil peetavale Eesti - Horvaatia vahelisele mängule .",obl,"nom,prop,sg"
6475011,0,7,Saagiks,nom,"Saagiks sai tapja 5000 krooni ja arvuti , mille ta oma võlatõendite hävitamiseks kaasa võttis .",obl,"nom,prop,sg"
9189219,0,10,Linnapuuks,nom,"Linnapuuks sobib hästi ka tamm , kuid see puu kasvab kaua .",obl,"nom,prop,sg"
6930869,22,30,Zemaniks,nom,"Kutsuge mind lihtsalt Zemaniks , või kuidas iganes soovite , "" ütlesin Gireile .",obl,"nom,prop,sg"
8599428,0,8,Kaameral,nom,"Kaameral tuli sõita rööpaid pidi , et pika liikumise peal tüdruk kindlalt kaadris oleks .",obl,"nom,prop,sg"
12904243,0,14,Lõuna-Euroopat,nom,Lõuna-Euroopat tabanud kuumalaine tõi ebatavaliselt kõrged temperatuurid veel enne kalendrisuve algust ka Saksamaale .,obl,"nom,prop,sg"
3226388,107,114,Butinal,nom,Ent kuus minutit hiljem lasti Lampardil karistusalas vabalt sobivat löögikohta otsida ja see ka leida ning Butinal tuli oma võrgust neljas pall välja lüüa .,obl,"nom,prop,sg"
