COLLECTION	SPANSTART	TYPE	TEXT
446323	4966	O	Helle Kõll ( 182 )
446323	4966	S	Helle Kõll
446323	4966	Odeprel	root flat punct parataxis punct
446323	4966	Sdeprel	root flat _ _ _
			
424122	0	O	Merehaigus tuleb sellest , et sõiduvahendis ( autos , laevas , lennukis , kiigel jne ) liikudes annavad silmad ja tasakaaluelund inimese ajule vastuolulist informatsiooni .
424122	0	S	Merehaigus tuleb sellest , et sõiduvahendis liikudes annavad silmad ja tasakaaluelund inimese ajule vastuolulist informatsiooni .
424122	0	Odeprel	nsubj root obl punct mark obl punct parataxis punct conj punct conj punct conj nmod punct advcl acl nsubj cc conj nmod obl amod obj punct
424122	0	Sdeprel	nsubj root obl punct mark obl _ _ _ _ _ _ _ _ _ _ advcl acl nsubj cc conj nmod obl amod obj punct
			
496101	1017	O	Neile vähestele üürnikele , kelle elamu alles tagastamisel , lisab turvatunnet omandireformi kohustatud subjekti ( majavalitsuse , elamujaoskonna , elamute haldamise asutuse jne ) kohustus sõlmida üürnikuga tüüpüürileping enne elamu tagastamist .
496101	1017	S	Neile vähestele üürnikele , kelle elamu alles tagastamisel , lisab turvatunnet omandireformi kohustatud subjekti kohustus sõlmida üürnikuga tüüpüürileping enne elamu tagastamist .
496101	1017	Odeprel	det amod obl punct nmod nmod advmod acl:relcl punct root obj obl xcomp nmod punct parataxis punct conj punct nmod nmod conj nmod punct obj acl nmod obj case nmod obl punct
496101	1017	Sdeprel	det amod obl punct nmod nmod advmod acl:relcl punct root obj obl xcomp nmod _ _ _ _ _ _ _ _ _ _ obj acl nmod obj case nmod obl punct
			
285318	2576	O	"Tõenäoliselt oligi noormõõdukate mässukatse süütenööriks , mis pani kaks nädalat hiljem Mõõdukate kongressil plahvatama sotsiaaldemokraatliku pommi ning tituleerima erakonda kui "" inimlikkuse mõõdet "" ( Mõõdukate Rahva Hääl , 19.5. 2001 ) ."
285318	2576	S	"Tõenäoliselt oligi noormõõdukate mässukatse süütenööriks , mis pani kaks nädalat hiljem Mõõdukate kongressil plahvatama sotsiaaldemokraatliku pommi ning tituleerima erakonda kui "" inimlikkuse mõõdet "" ."
285318	2576	Odeprel	advmod cop amod nmod root punct nsubj acl:relcl nummod obl advmod nmod obl xcomp amod obj cc conj obj mark punct nmod advcl punct punct nmod nmod parataxis punct parataxis punct punct
285318	2576	Sdeprel	advmod cop amod nmod root punct nsubj acl:relcl nummod obl advmod nmod obl xcomp amod obj cc conj obj mark punct nmod advcl punct _ _ _ _ _ _ _ punct
			
635013	92716	O	Sa ajasid selle triidi usutriidiga sassi ( vt . Vaimset distsipliini ) Siin ei räägita usust , vaid tapmisest .
635013	92716	S	Sa ajasid selle triidi usutriidiga sassi Siin ei räägita usust , vaid tapmisest .
635013	92716	Odeprel	nsubj root det obj obl compound:prt punct parataxis nmod obj punct advmod aux conj obl punct cc conj punct
635013	92716	Sdeprel	nsubj root det obj obl compound:prt _ _ _ _ _ advmod aux conj obl punct cc conj punct
			
392750	645	O	Tulnuks me päev varem , näinuks me bussipeatustes liberaalse Läti Tee suuri valimisplakateid , millele üles reastatud neli tuntud valmieralast , nende seas ka Valmiera teatri näitleja Januss Johansons ( nii kirjutatakse Jaanus Johansoni nime läti keeles ) .
392750	645	S	Tulnuks me päev varem , näinuks me bussipeatustes liberaalse Läti Tee suuri valimisplakateid , millele üles reastatud neli tuntud valmieralast , nende seas ka Valmiera teatri näitleja Januss Johansons .
392750	645	Odeprel	root nsubj obl advmod punct conj nsubj obl amod nmod nmod amod obj punct obl compound:prt acl:relcl obj xcomp obj punct nmod case advmod nmod nmod conj appos flat punct advmod parataxis nmod flat obj amod obl punct punct
392750	645	Sdeprel	root nsubj obl advmod punct conj nsubj obl amod nmod nmod amod obj punct obl compound:prt acl:relcl obj xcomp obj punct nmod case advmod nmod nmod conj appos flat _ _ _ _ _ _ _ _ _ punct
			
406890	624	O	Tema naine Maarika Vardja ( 38 ) oli ametilt notar omanimelises notaribüroos .
406890	624	S	Tema naine Maarika Vardja oli ametilt notar omanimelises notaribüroos .
406890	624	Odeprel	nmod nsubj:cop appos flat punct parataxis punct cop obl root amod obl punct
406890	624	Sdeprel	nmod nsubj:cop appos flat _ _ _ cop obl root amod obl punct
			
561933	793	O	Kolmapäeval testis WADA ( maailma antidopingubüroo ) meid jälle , ja minu jaoks oli see viimase aasta jooksul vähemalt 15. kord .
561933	793	S	Kolmapäeval testis WADA meid jälle , ja minu jaoks oli see viimase aasta jooksul vähemalt 15. kord .
561933	793	Odeprel	obl root nsubj punct nmod parataxis punct obj advmod punct cc obl case cop nsubj:cop amod obl case advmod amod conj punct
561933	793	Sdeprel	obl root nsubj _ _ _ _ obj advmod punct cc obl case cop nsubj:cop amod obl case advmod amod conj punct
			
536633	4502	O	Mängida saab juba esimesel korral ( kui vähegi suudetakse pallile pihta saada ) .
536633	4502	S	Mängida saab juba esimesel korral .
536633	4502	Odeprel	root aux advmod amod obl punct mark advmod parataxis obl compound:prt xcomp punct punct
536633	4502	Sdeprel	root aux advmod amod obl _ _ _ _ _ _ _ _ punct
			
3172	110520	O	Aristoteles defineerib tragöödiat  tegevuse jäljendusena  : “ Seega on tragöödia tõsise ja lõpetatud , teatud suurust omava tegevuse jäljendus , /---/ jäljendus , mis jäljendab tegevaid isikuid endid , mitte neist jutustades ... ” ( Aristoteles 1982 : 341 ) .
3172	110520	S	Aristoteles defineerib tragöödiat tegevuse jäljendusena : “ Seega on tragöödia tõsise ja lõpetatud , teatud suurust omava tegevuse jäljendus , / - - - / jäljendus , mis jäljendab tegevaid isikuid endid , mitte neist jutustades ... ” .
3172	110520	Odeprel	nsubj root obj nmod obl punct punct advmod cop obj amod cc conj punct conj obj acl nmod obj punct punct punct punct punct punct appos punct nsubj acl:relcl acl obj obj punct advmod obl advcl punct punct punct parataxis nummod punct nummod punct punct
3172	110520	Sdeprel	nsubj root obj nmod obl punct punct advmod cop obj amod cc conj punct conj obj acl nmod obj punct punct punct punct punct punct appos punct nsubj acl:relcl acl obj obj punct advmod obl advcl punct punct _ _ _ _ _ _ punct
			
382931	525	O	AS Angroo juhatuse esimees  Nikolai Vinogradov  ( Keskerakond ) : “ Mingeid juhtnööre hääletamiseks ei ole mulle veel antud .
382931	525	S	AS Angroo juhatuse esimees Nikolai Vinogradov : “ Mingeid juhtnööre hääletamiseks ei ole mulle veel antud .
382931	525	Odeprel	nmod appos nmod root appos flat punct parataxis punct punct punct det obj obl aux aux obl advmod parataxis punct
382931	525	Sdeprel	nmod appos nmod root appos flat _ _ _ punct punct det obj obl aux aux obl advmod parataxis punct
			
368800	1419	O	Peaosi kehastavad Siim Kornel ( Jeesus Kristus ) , Imre Õunapuu ( Juudas ) , Karmen Rõivassepp ( Maarja ) , Madis Mumm ( Pilatus ) , Jürgen Urbanik ( Kaiafas ) ja Sten Hoolma ( Herodes ) .
368800	1419	S	Peaosi kehastavad Siim Kornel , Imre Õunapuu , Karmen Rõivassepp , Madis Mumm , Jürgen Urbanik ja Sten Hoolma .
368800	1419	Odeprel	obj root nsubj flat punct appos flat punct punct conj flat punct parataxis punct punct conj flat punct parataxis punct punct conj flat punct parataxis punct punct conj flat punct parataxis punct cc conj flat punct parataxis punct punct
368800	1419	Sdeprel	obj root nsubj flat _ _ _ _ punct conj flat _ _ _ punct conj flat _ _ _ punct conj flat _ _ _ punct conj flat _ _ _ cc conj flat _ _ _ punct
			
444925	1726	O	Täiendavate kohalike maksude ( müügimaks , mootorsõidukimaks , isikumaks ( nn peamaks ) jt ) kehtestamist ei pea linnavalitsus põhjendatuks .
444925	1726	S	Täiendavate kohalike maksude kehtestamist ei pea linnavalitsus põhjendatuks .
444925	1726	Odeprel	acl amod nmod punct parataxis punct conj punct conj punct nmod parataxis punct nmod punct obj aux root nsubj xcomp punct
444925	1726	Sdeprel	acl amod nmod _ _ _ _ _ _ _ _ _ _ _ _ obj aux root nsubj xcomp punct
			
676176	1546	O	Selle aja ( 7,5 sec ) jooksin siis kui ma veel kergejõustikus käisin .
676176	1546	S	Selle aja jooksin siis kui ma veel kergejõustikus käisin .
676176	1546	Odeprel	det obl punct nummod parataxis punct root advmod mark nsubj advmod obl advcl punct
676176	1546	Sdeprel	det obl _ _ _ _ root advmod mark nsubj advmod obl advcl punct
			
345534	0	O	TALLINN , 18. detsember ( EPLO ) - Inna ja Olev Mathiesen annetasid sihtasutusele Eesti Rahvuskultuuri Fond ( ERKF ) 100 000 krooni omanimelise allfondi moodustamiseks , et toetada Eesti lähiajaloo uurimist .
345534	0	S	TALLINN , 18. detsember - Inna ja Olev Mathiesen annetasid sihtasutusele Eesti Rahvuskultuuri Fond 100 000 krooni omanimelise allfondi moodustamiseks , et toetada Eesti lähiajaloo uurimist .
345534	0	Odeprel	nsubj punct amod appos punct parataxis punct punct conj cc conj flat root obl nmod nmod obj punct appos punct nummod obj amod nmod obl punct mark advcl nmod nmod obj punct
345534	0	Sdeprel	nsubj punct amod appos _ _ _ punct conj cc conj flat root obl nmod nmod obj _ _ _ nummod obj amod nmod obl punct mark advcl nmod nmod obj punct
			
660268	67871	O	munk Dionysos Exiquus , kes hakkas välja arvutama Jeesuse sünniaega , et saada lahti kalendrist , mis arvestas aega ( vist ) keiser Nero sünnist .
660268	67871	S	munk Dionysos Exiquus , kes hakkas välja arvutama Jeesuse sünniaega , et saada lahti kalendrist , mis arvestas aega keiser Nero sünnist .
660268	67871	Odeprel	root appos flat punct nsubj acl:relcl compound:prt xcomp nmod obj punct mark advcl compound:prt obl punct nsubj acl:relcl obj punct parataxis punct nmod appos obl punct
660268	67871	Sdeprel	root appos flat punct nsubj acl:relcl compound:prt xcomp nmod obj punct mark advcl compound:prt obl punct nsubj acl:relcl obj _ _ _ nmod appos obl punct
			
459409	5159	O	17.95 Rimma Plistkina ( 48 ) 1975
459409	5159	S	17.95 Rimma Plistkina 1975
459409	5159	Odeprel	nummod root flat punct parataxis punct nummod
459409	5159	Sdeprel	nummod root flat _ _ _ nummod
			
288422	505	O	Tabelit juhib endiselt sakslane Erik Zabel ( Deutsche Telekom ) .
288422	505	S	Tabelit juhib endiselt sakslane Erik Zabel .
288422	505	Odeprel	obj root advmod nsubj appos flat punct parataxis flat punct punct
288422	505	Sdeprel	obj root advmod nsubj appos flat _ _ _ _ punct
			
209843	2751	O	Vene luure aktiivsuse kasvu ühe põhjusena tõstab kaitsepolitsei esile , et Venemaa ühiskonnas on üldse kasvanud eriteenistuste , eriti föderaalse julgeolekuteenistuse ( FSB ) mõjuvõim .
209843	2751	S	Vene luure aktiivsuse kasvu ühe põhjusena tõstab kaitsepolitsei esile , et Venemaa ühiskonnas on üldse kasvanud eriteenistuste , eriti föderaalse julgeolekuteenistuse mõjuvõim .
209843	2751	Odeprel	nmod nmod nmod obj nummod nmod root nsubj compound:prt punct mark nmod obl aux advmod ccomp nmod punct advmod amod conj punct parataxis punct nsubj punct
209843	2751	Sdeprel	nmod nmod nmod obj nummod nmod root nsubj compound:prt punct mark nmod obl aux advmod ccomp nmod punct advmod amod conj _ _ _ nsubj punct
			
400977	225517	O	Ainult ühe laulja ( Mai Mölder ) puhul hinnati mõlemad ( küllalt napid ja teksti poolest peaaegu kattuvad ) lauluvariandid ühtemoodi .
400977	225517	S	Ainult ühe laulja puhul hinnati mõlemad lauluvariandid ühtemoodi .
400977	225517	Odeprel	advmod nummod obl punct parataxis flat punct case root det punct advmod parataxis cc conj case advmod conj punct obj advmod punct
400977	225517	Sdeprel	advmod nummod obl _ _ _ _ case root det _ _ _ _ _ _ _ _ _ obj advmod punct
			
705333	147480	O	"Ashley: cela , melk ütles sulle mingi "" naljaka "" ( temaarust ) komplimendi ?"
705333	147480	S	"Ashley : cela , melk ütles sulle mingi "" naljaka "" komplimendi ?"
705333	147480	Odeprel	root punct appos punct nsubj parataxis obl det punct amod punct punct parataxis punct obj punct
705333	147480	Sdeprel	root punct appos punct nsubj parataxis obl det punct amod punct _ _ _ obj punct
			
588645	3204	O	Vastupidi – seni tunduvalt rohkem kodus – on mängi-nud Philadelphia ( 15-10 ) , New York ( 16-11 ) ja Golden State ( 15-9 ) .
588645	3204	S	Vastupidi – seni tunduvalt rohkem kodus – on mängi-nud Philadelphia , New York ja Golden State .
588645	3204	Odeprel	advmod punct advmod advmod advmod obl punct aux root nsubj punct parataxis punct conj punct punct conj flat punct parataxis punct flat punct cc conj flat punct parataxis punct conj punct punct
588645	3204	Sdeprel	advmod punct advmod advmod advmod obl punct aux root nsubj _ _ _ _ _ punct conj flat _ _ _ _ _ cc conj flat _ _ _ _ _ punct
			
400979	417147	O	See karakteristik oli positiivselt seotud nii tüdrukute korrigeeritud järeltesti tulemuse ( antud eksperimendi tulemuste põhjal ) kui ka tüdrukute järeltesti tulemusega ( Mikk & Luik , 2005 ) .
400979	417147	S	See karakteristik oli positiivselt seotud nii tüdrukute korrigeeritud järeltesti tulemuse kui ka tüdrukute järeltesti tulemusega .
400979	417147	Odeprel	det nsubj:cop cop advmod root advmod obl conj nmod obl punct acl nmod parataxis case punct cc advmod nmod nmod conj punct parataxis flat conj punct parataxis punct punct
400979	417147	Sdeprel	det nsubj:cop cop advmod root advmod obl conj nmod obl _ _ _ _ _ _ cc advmod nmod nmod conj _ _ _ _ _ _ _ punct
			
443042	1171	O	Ja veidi hiljem saabubki linnakese uhkeimasse mõisa võõras nimega Daryl Van Horne ( Jack Nicholson ) .
443042	1171	S	Ja veidi hiljem saabubki linnakese uhkeimasse mõisa võõras nimega Daryl Van Horne .
443042	1171	Odeprel	cc advmod advmod root nmod amod nmod nsubj nmod appos flat flat punct appos flat punct punct
443042	1171	Sdeprel	cc advmod advmod root nmod amod nmod nsubj nmod appos flat flat _ _ _ _ punct
			
616224	0	O	Euroopa Komisjon ( EK ) saatis Slovakkiale esimese hoiatuse , sest Slovakkia polevat ELi telekommunikatsioonimäärust ellu viies järjekindel .
616224	0	S	Euroopa Komisjon saatis Slovakkiale esimese hoiatuse , sest Slovakkia polevat ELi telekommunikatsioonimäärust ellu viies järjekindel .
616224	0	Odeprel	nmod nsubj punct appos punct root obl amod obj punct mark nsubj:cop cop nmod obj obl advcl advcl punct
616224	0	Sdeprel	nmod nsubj _ _ _ root obl amod obj punct mark nsubj:cop cop nmod obj obl advcl advcl punct
			
705288	180117	O	DRage: ( 16:55:28 )-  quit :(
705288	180117	S	DRage : - quit :(
705288	180117	Odeprel	root punct punct parataxis punct punct parataxis punct
705288	180117	Sdeprel	root punct _ _ _ punct parataxis punct
			
653517	6991	O	"See tuli jutuks ja ( eks ) abikaasa õde ütles : "" Väga eestipärase saad mõnest Runneli luuletusest ."
653517	6991	S	"See tuli jutuks ja abikaasa õde ütles : "" Väga eestipärase saad mõnest Runneli luuletusest ."
653517	6991	Odeprel	nsubj root xcomp cc punct parataxis punct nmod nsubj conj punct punct advmod obj parataxis det nmod obl punct
653517	6991	Sdeprel	nsubj root xcomp cc _ _ _ nmod nsubj conj punct punct advmod obj parataxis det nmod obl punct
			
