lause;form
Seevastu tüdrukud on isa Toivo sõnul Markole hoogsalt amokki jooksnud .;Markole
“ Lahkusin poliitikast 1999. aastal .;poliitikast
Nüüd käib koheva karvaga kass tähtsal ilmel aias ringi , põõnutab põõsaste all ja on pererahva rõõmuks isegi paar nurjatut hiirt kinni nabinud .;ilmel
Kuna nii suurte ruumide koristamine on tööl käivale naisele raske , käib Kelamitel abiks üks lahke vanadaam .;Kelamitel
Olen paaril aastavahetusel koolides tasuta jõuluvana mängimas käinud .;aastavahetusel
“ Lahkusin ajakirjandusest ju oma tippajal - pärast aasta ajakirjaniku tiitli saamist , ” mainib ta .;tippajal
Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .;Kohilas
Käisin Kohilas ühel sealse kooli üritusel ning nägin , kuidas mõnel lapsel olid kinnastel näpuotsad katki , jalanõud sealmaal , et kohe-kohe hakkab varvas paistma .;üritusel
Käime Karliga laupäeviti Musamaris laulutunnis .;laulutunnis
Helen Sürje istub Ateenas modellide ühisköögis ja räägib Kreekast , mahlade varastamisest , Ita Everist ning arhitektuurist .;Ateenas
