text,id,label,review,text_id,las,uas,la
Estonia puhul peeti sellist omadust justkui loomulikuks .,4038,"[{""start"": 0, ""end"": 13, ""text"": ""Estonia puhul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,310,83.3,100.0,83.3
1990. aasta suvel vaatas Bureau Veritas Estline'i omanduseks saanud laeva uuesti üle ja kirjutas klassitunnistusse taas  Deep Sea  .,4043,"[{""start"": 0, ""end"": 17, ""text"": ""1990. aasta suvel"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,345,93.8,100.0,93.8
"Samuti on ümberlükkamatu tõsiasi , et nende laevade puhul tähendanuks visiiri lahtirebenemine lõppu .",4044,"[{""start"": 38, ""end"": 57, ""text"": ""nende laevade puhul"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,350,90.9,90.9,90.9
Pika kirja lõpus tsiteerib ta Ülo Koitu : “ Eestlane olla oli uhke ja hää .,4053,"[{""start"": 0, ""end"": 16, ""text"": ""Pika kirja lõpus"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,447,92.3,100.0,92.3
Ülejäänud haiglatel on lepingud Kristini matusebürooga surnukambrite kasutamiseks .,4095,"[{""start"": 0, ""end"": 19, ""text"": ""Ülejäänud haiglatel"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,858,42.9,42.9,57.1
Kristini morgis on palgal ka üks naisinimene .,4098,"[{""start"": 0, ""end"": 15, ""text"": ""Kristini morgis"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,864,83.3,100.0,83.3
"Eesti taasiseseisvumise järel tehti panus kommertspankadele , kuigi kooperatiivpankade asutamine Nõukogude Liidu 1988. aasta pangandusreformi raames oli lubatud .",4122,"[{""start"": 0, ""end"": 29, ""text"": ""Eesti taasiseseisvumise järel"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1016,75.0,100.0,75.0
Esimesed hoiu-laenuühistud Eestis tekkisid erastamisprotsessi käigus .,4131,"[{""start"": 43, ""end"": 68, ""text"": ""erastamisprotsessi käigus"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1116,80.0,80.0,80.0
"Ka Leedus on üheks põhjuseks , nagu eespool kirjutasime , kommertspankade kontorite sulgemine .",4140,"[{""start"": 0, ""end"": 9, ""text"": ""Ka Leedus"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1179,83.3,100.0,83.3
"Tõnis Blank on HLÜ eeliseid välja toonud järgmiselt : “ HLÜdel on mitmeid eeliseid : teades ja tundes kohalikke ettevõtjaid , on võimalik võtta suuremaid riske ; laenu saamine on kergem ; kehtib sotsiaalne kontroll - liikmete taust on teada ; laenatakse välja ka tunduvalt väiksemaid summasid kui kommertspangad ; väikesemahuliste projektide korral on ka võimalik kahjum väiksem ; põhimõtteliselt on kergem tagasi teenida väiksemat investeeringut kui suurt .",4145,"[{""start"": 314, ""end"": 348, ""text"": ""väikesemahuliste projektide korral"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1206,93.9,95.5,97.0
"Keskerakonna nimekirjas figureerib taas Haapsalu ekslinnapea Tiit Beeren , kes vahepeal on juhtinud Maardu linna .",4189,"[{""start"": 0, ""end"": 23, ""text"": ""Keskerakonna nimekirjas"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1814,64.3,64.3,71.4
Teise võimalusena korruptsiooni vastu võitlemisel analüüsib toll enda ja piirivalve andmeid .,4197,"[{""start"": 0, ""end"": 49, ""text"": ""Teise võimalusena korruptsiooni vastu võitlemisel"", ""labels"": [""syntax_ignore_entity_obl""]}]",unnatural,1907,85.7,85.7,100.0
