text,id,label,review,annotator,annotation_id,created_at,updated_at,lead_time
Eesti taasisesisvumisel olid liidutehaste töölised Ilnitski kinnitusel kõige kaitsetumad .,3000,"[{""start"": 71, ""end"": 76, ""text"": ""kõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1,1011,2022-12-02T13:57:09.741761Z,2022-12-02T13:57:09.741814Z,15.33
Leedu pangandusturu potentsiaal on Neivelti sõnul väga suur .,2999,"[{""start"": 50, ""end"": 54, ""text"": ""väga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1010,2022-12-02T13:56:52.420610Z,2022-12-02T13:56:52.420669Z,5.503
"Tänasel trio Fragile kontserdil kuursaalis esinevad kaks muusikut ja üks maalikunstnik - kitarrist Robert Jürjendal koos trummar Arvo Urbiga ning kunstnik Tõnu Talve , kelle kohapeal valmiv maal pärast kontserti oksjonil maha müüakse .",2998,"[{""start"": 174, ""end"": 182, ""text"": ""kohapeal"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1009,2022-12-02T13:56:45.209894Z,2022-12-02T13:56:45.209941Z,4.727
Pea hakkab veel ringi käima ja kukun maha .,2997,"[{""start"": 11, ""end"": 15, ""text"": ""veel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1008,2022-12-02T13:56:39.036380Z,2022-12-02T13:56:39.036436Z,3.577
"Kui valged oleks , saaks rohkem teha .",2996,"[{""start"": 25, ""end"": 31, ""text"": ""rohkem"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1007,2022-12-02T13:56:33.783724Z,2022-12-02T13:56:33.783781Z,6.678
Vaim ei jõudnud enam üleelamistele vastu panna .,2995,"[{""start"": 16, ""end"": 20, ""text"": ""enam"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1006,2022-12-02T13:56:25.740202Z,2022-12-02T13:56:25.740254Z,5.001
"Et talunik ei taganenud , peatas noormees äkitselt sõiduki .",2994,"[{""start"": 42, ""end"": 50, ""text"": ""äkitselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1005,2022-12-02T13:56:19.301068Z,2022-12-02T13:56:19.301121Z,6.126
"Igalt poolt öeldi Vehmile , et asja uuritakse , aga vaevalt küll , et keegi lubab ennast filmida .",2993,"[{""start"": 52, ""end"": 59, ""text"": ""vaevalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1,1004,2022-12-02T13:56:11.719777Z,2022-12-02T13:56:11.719831Z,4.078
"See oli nii õudne , et mul tuli mõte : narkomaailma jubedusest võiks teha filmi .",2992,"[{""start"": 8, ""end"": 11, ""text"": ""nii"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1003,2022-12-02T13:56:06.414525Z,2022-12-02T13:56:06.414579Z,7.447
""" Nad ütlesid mulle , et kui nad oleksid teadnud , kuidas heroiin mõjub , poleks nad seda iial tarbima hakanud , "" ütles filmi režissöör Priit Vehm .",2991,"[{""start"": 90, ""end"": 94, ""text"": ""iial"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1002,2022-12-02T13:55:57.669402Z,2022-12-02T13:55:57.669480Z,6.408
Sõrmused viis ta hiljem pandimajja .,2990,"[{""start"": 17, ""end"": 23, ""text"": ""hiljem"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1001,2022-12-02T13:55:49.176800Z,2022-12-02T13:55:49.176853Z,2.811
"NATO esindaja Yves Brodeur ei öelnud , milliseid nõudmisi edasiantud abitaotlus sisaldab , märkides vaid , et need nõudmised on osa rahvusvahelise terrorismi vastu suunatud kampaaniast ning igale liikmemaale on antud õigus otsustada , mil moel ta abi osutab .",2989,"[{""start"": 100, ""end"": 104, ""text"": ""vaid"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,1000,2022-12-02T13:55:45.072791Z,2022-12-02T13:55:45.072844Z,4.346
Peaminister Mart Laar ei võrdsusta endisi tippkommuniste akadeemik Karl Rebast ja Arnold Greeni ning peab Greeni minevikku teaduse elutööpreemia saanud Rebase omast tunduvalt kommunistlikumaks .,2988,"[{""start"": 165, ""end"": 174, ""text"": ""tunduvalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,999,2022-12-02T13:55:39.157887Z,2022-12-02T13:55:39.157960Z,7.722
Tee nii 10-20 korda .,2987,"[{""start"": 4, ""end"": 7, ""text"": ""nii"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,998,2022-12-02T13:55:30.117919Z,2022-12-02T13:55:30.117972Z,2.563
"MINA kirjutamine suurelt ja rasvaselt tekitab tunde , et oledki suurem ja tublim .",2986,"[{""start"": 17, ""end"": 37, ""text"": ""suurelt ja rasvaselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,997,2022-12-02T13:55:26.005888Z,2022-12-02T13:55:26.005942Z,8.438
Vaimne ja füüsiline koormus peavad olema tasakaalus ja trenni arvelt võidetud aeg kaob niikuinii käest .,2985,"[{""start"": 87, ""end"": 96, ""text"": ""niikuinii"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,996,2022-12-02T13:55:15.939265Z,2022-12-02T13:55:15.939364Z,5.81
""" Lapsed ootavad tunnustust , aga enamasti jääb kõlama see , et ma ei ole sinuga rahul .",2984,"[{""start"": 34, ""end"": 42, ""text"": ""enamasti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,995,2022-12-02T13:55:08.693810Z,2022-12-02T13:55:08.693863Z,5.728
"Kui kevad uksele koputab , pole õppimisel enam minekut .",2983,"[{""start"": 42, ""end"": 46, ""text"": ""enam"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,994,2022-12-02T13:55:00.835703Z,2022-12-02T13:55:00.835757Z,8.369
""" Georgetowni Ülikooli välisteenistuse kateedri professori William Taylori sõnul tuleneb see osaliselt sellest , et mõned võtmetähtsusega ametikohad valitsuses on täitmata .",2982,"[{""start"": 93, ""end"": 102, ""text"": ""osaliselt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,993,2022-12-02T13:54:50.965248Z,2022-12-02T13:54:50.965311Z,4.601
""" Eestis on vaja luua uus koondis , lähtuvalt tulevikustrateegiast 2006. aasta MM-i nimel . """,2981,"[{""start"": 34, ""end"": 89, ""text"": "", lähtuvalt tulevikustrateegiast 2006. aasta MM-i nimel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,992,2022-12-02T13:54:45.068726Z,2022-12-02T13:54:45.068776Z,5.039
Täna esitab Lambin soomlasele Vesa Surenkinile kutse tulla turniirile Eesti meeskonda juhendama .,2980,"[{""start"": 0, ""end"": 4, ""text"": ""Täna"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1,991,2022-12-02T13:54:38.849770Z,2022-12-02T13:54:38.849824Z,3.22
"Lühisõnumi saatmine portaalis maksab vastavalt paketile kas 2.50 , 1.",2979,"[{""start"": 56, ""end"": 59, ""text"": ""kas"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,990,2022-12-02T13:54:34.166687Z,2022-12-02T13:54:34.166740Z,8.118
"Ellujäänud karupoeg on emane , üldse oli pesakonnas kaks emast ja üks isane karupoeg .",2978,"[{""start"": 31, ""end"": 36, ""text"": ""üldse"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1,989,2022-12-02T13:54:24.655152Z,2022-12-02T13:54:24.655205Z,8.602
"Kui ma pärast sakslasega vestlust juba spordi pärast küsisin sama küsimust taanlaselt , tuli välja , et tal ei olnud mingit assotsiatsooni Taani lipu ja Estonia vahel .",2977,"[{""start"": 34, ""end"": 38, ""text"": ""juba"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,988,2022-12-02T13:54:13.719390Z,2022-12-02T13:54:13.719446Z,18.235
Kuigi isegi Henrik kasutab ladinakeelses tekstis mõnes kohas pool-saksakeelset vormi Estlandia .,2976,"[{""start"": 6, ""end"": 11, ""text"": ""isegi"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,987,2022-12-02T13:53:53.490593Z,2022-12-02T13:53:53.490641Z,9.709
"Juhus või mitte , kuid ka pärast esimest laienemisringi ei ole inglisekeelses NATO riikide nimekirjas ühtki ia-lõpulist riiki .",2975,"[{""start"": 23, ""end"": 25, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,986,2022-12-02T13:53:37.076003Z,2022-12-02T13:53:37.076055Z,3.906
"Ja tsiteeritud artikkel räägib hoopis sellest , kui hea on elada USA-s .",2974,"[{""start"": 31, ""end"": 37, ""text"": ""hoopis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,985,2022-12-02T13:53:31.930729Z,2022-12-02T13:53:31.930789Z,3.366
Kõik Antarktikas teostatud teadusvaatlused ja tulemused on lepinguosalistele vabalt kättesaadavad .,2973,"[{""start"": 77, ""end"": 83, ""text"": ""vabalt"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,984,2022-12-02T13:53:27.129904Z,2022-12-02T13:53:27.129959Z,5.367
Leping sõlmiti 1.detsembril 1959.a Washingtonis ja jõustus 23.juunil 1961.a. Lepingu kohaselt tuleb Antarktikat kasutada üksnes rahumeelsetel eesmärkidel .,2972,"[{""start"": 121, ""end"": 127, ""text"": ""üksnes"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,983,2022-12-02T13:53:20.213960Z,2022-12-02T13:53:20.214012Z,28.17
"Üleujutuste senised kahjud ulatuvad juba üle 250 miljoni dollari ( 4,5 miljardi Eesti kroonini ) .",2971,"[{""start"": 36, ""end"": 40, ""text"": ""juba"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,982,2022-12-02T13:52:50.754087Z,2022-12-02T13:52:50.754137Z,51.625
Sandomierzi linnale on aga lähenemas teine kõrgvee tsoon .,2970,"[{""start"": 23, ""end"": 26, ""text"": ""aga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,981,2022-12-02T13:51:57.927980Z,2022-12-02T13:51:57.928030Z,4.908
Tulvaveed ujutasid lühikese ajaga üle ühe jõeäärse küla ning uputavad veel nelja .,2969,"[{""start"": 70, ""end"": 74, ""text"": ""veel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,980,2022-12-02T13:51:51.806865Z,2022-12-02T13:51:51.806920Z,7.528
"Rüütlil õnnestus põgeneda enne , kui politseipatrull sündmuskohale jõudis .",2968,"[{""start"": 26, ""end"": 30, ""text"": ""enne"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1,979,2022-12-02T13:51:42.331579Z,2022-12-02T13:51:42.331630Z,6.492
Õlleaktsiisi laekumise suurenemise põhjuseks on lisaks suve soojadele ilmadele ka õlletehaste otsused suurendada keskmisest kõrgema alkoholisisaldusega õllede tootmist .,2967,"[{""start"": 79, ""end"": 81, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,978,2022-12-02T13:51:34.539672Z,2022-12-02T13:51:34.539727Z,7.461
"Hiinast sai maailma suurima mobiilikasutajate arvuga riik tänavu juulis , kui mobiiliomanike arv jõudis 120,6 miljonini .",2966,"[{""start"": 58, ""end"": 64, ""text"": ""tänavu"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,977,2022-12-02T13:51:21.926658Z,2022-12-02T13:51:21.926728Z,85.409
"Kontserdiga kell 18 Pärnu uue kunsti muuseumis soovib Robert Black tõestada elukutselistele muusikutele , muusikaõpilastele ja koolilastele , et nüüdisheliloojate looming kontrabassile võib olla väga põnev .",2965,"[{""start"": 195, ""end"": 199, ""text"": ""väga"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,976,2022-12-02T13:49:55.143199Z,2022-12-02T13:49:55.143254Z,5.982
"Laupäeval raputab talveunne suikunud Pärnut äsja Brasiilia-turneelt naasnud ameerika kontrabassimängija Robert Black , kirjutab Pärnu Postimees .",2964,"[{""start"": 44, ""end"": 48, ""text"": ""äsja"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,975,2022-12-02T13:49:46.403072Z,2022-12-02T13:49:46.403152Z,7.757
"Valitsus kiitis täna heaks ja saatis Riigikogule õigusteenuse seaduse eelnõu , mis laiendab õigusabi pakkujate ringi .",2963,"[{""start"": 16, ""end"": 20, ""text"": ""täna"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,974,2022-12-02T13:49:37.176709Z,2022-12-02T13:49:37.176787Z,2.874
Valitsus tahab laiendada õigusabi ka teistele kohtumenetluse liikidele ning tagada riigipoolse kaitsja halduskohtus ja tsiviilkohtus .,2962,"[{""start"": 34, ""end"": 36, ""text"": ""ka"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,973,2022-12-02T13:49:32.753481Z,2022-12-02T13:49:32.753539Z,34.836
"Remont lõpetatakse siis , kui see valmis saab .",2961,"[{""start"": 19, ""end"": 23, ""text"": ""siis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,972,2022-12-02T13:48:56.268446Z,2022-12-02T13:48:56.268509Z,4.74
""" Milano ammendas end minu jaoks täielikult .",2960,"[{""start"": 33, ""end"": 43, ""text"": ""täielikult"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,971,2022-12-02T13:48:50.008240Z,2022-12-02T13:48:50.008293Z,5.348
Sigrid asus hiljuti tööle modelliagentuuri Next Pariisi kontori alluvusse .,2959,"[{""start"": 12, ""end"": 19, ""text"": ""hiljuti"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,970,2022-12-02T13:48:43.428691Z,2022-12-02T13:48:43.428750Z,3.5
"Ma ei tahaks komisjoni suhtes kriitiline olla - tegemist on kõigi aegade kõige mahukama eelnõuga ja nad on teinud suurt tööd , "" märkis Rask .",2958,"[{""start"": 73, ""end"": 78, ""text"": ""kõige"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,969,2022-12-02T13:48:38.663720Z,2022-12-02T13:48:38.663773Z,19.673
"Justiitsminister Märt Raski sõnul oleks Eesti õigussüsteemi huvides , kui riigikogu kinnitaks võlaõigusseaduse jaanipäevaks , sest vastasel juhul lükkub selle rakendumine veel pool aastat edasi .",2957,"[{""start"": 171, ""end"": 175, ""text"": ""veel"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,968,2022-12-02T13:48:16.439696Z,2022-12-02T13:48:16.439751Z,5.532
"Siis on võimalik teksti suvepuhkuse järel lihvida , "" lausus Adams , kes loodab , et seadus võetakse sel aastal vastu .",2956,"[{""start"": 0, ""end"": 4, ""text"": ""Siis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",no,1,967,2022-12-02T13:48:09.893705Z,2022-12-02T13:48:09.893785Z,7.627
"Riigikogu juhid lubasid siis Merile , et enne suvepuhkust võetakse seadus vastu .",2955,"[{""start"": 24, ""end"": 28, ""text"": ""siis"", ""labels"": [""stanza_syntax_ignore_entity_advmod""]}]",yes,1,966,2022-12-02T13:48:00.954731Z,2022-12-02T13:48:00.954783Z,6.206
